"会社名","SOC","あなたの名刺所有枚数","全体の名刺所有枚数","最終名刺交換日","コンタクト登録数","最終コンタクト日","URL","郵便番号","住所","電話番号","代表者の役職名","代表者の氏名","主業：大分類","主業：中分類","従業：大分類","従業：中分類","従業員数","資本金（千円）","売上高（百万円）","決算年月","創業年月","設立年月","株式公開区分","法人番号","会社キーワード","企業動向","導入ITサービス","会社メモ"
"株式会社１４Ｒ","3315340136156","","","","","","","981-3624","宮城県黒川郡大和町宮床久保田26-1","","","","","","","","","","","","","","","7370001017917","","","",""
"３Ｓサービス株式会社","2068722422280","","","","","","","233-0007","神奈川県横浜市港南区大久保一丁目15-12","","","","","","","","","","","","","","","2020001099747","","","",""
"株式会社８８エステート","6666145566796","","","","","","","679-2213","兵庫県神崎郡福崎町馬田62-17","","","","","","","","","","","","","","","2140001106524","","","",""
"有限会社ゑびす","8788287768394","","","","","","","813-0024","福岡県福岡市東区名子三丁目11-9","","","","","","","","","","","","","","","8290002004392","","","",""
"有限会社アヲヤマ","7046889068187","","","","","","","611-0044","京都府宇治市伊勢田町名木一丁目1-75","","","","","","","","","","","","","","","8130002033614","","","",""
"株式会社アイア","8738421620414","","","","","","","279-0032","千葉県浦安市千鳥15-39","","","","","","","","","","","","","","","4040001032613","","","",""
"株式会社アイ・アシスト","3223656373444","","","","","","","601-8007","京都府京都市南区東九条北河原町26-4","","","","","","","","","","","","","","","8130001034687","","","",""
"アイ・アール株式会社","7454552094420","","","","","","","901-0152","沖縄県那覇市小禄一丁目27-17 ソシアA101号室","","","","","","","","","","","","","","","6360001014701","","","",""
"株式会社アイアール","7609712636345","","","","","","","270-2224","千葉県松戸市大橋1102-6","","","","","","","","","","","","","","","5040001039376","","","",""
"有限会社アイアールイー","4762785649623","","","","","","","310-0824","茨城県水戸市西大野238-1","","","","","","","","","","","","","","","7050002006166","","","",""
"株式会社アイアールイー","6226172246003","","","","","","","210-0867","神奈川県川崎市川崎区扇町6-10","","","","","","","","","","","","","","","1012401021936","","","",""
"アイ・アール・エム株式会社","8612373854237","","","","","","","370-0849","群馬県高崎市八島町70-51","","","","","","","","","","","","","","","8070001009002","","","",""
"株式会社ＩＲＣ","2890494034973","","","","","","","929-0345","石川県河北郡津幡町字太田ほ15-2","","","","","","","","","","","","","","","7220001018079","","","",""
"株式会社ＩＲＣ","7524667887941","","","","","","","517-0505","三重県志摩市阿児町甲賀4541-1","","","","","","","","","","","","","","","2190001008179","","","",""
"株式会社ＩＲソリューションズ","4620547408355","","","","","","","371-0012","群馬県前橋市東片貝町600-9","","","","","","","","","","","","","","","8070001032177","","","",""
"アイアンドアイパーキングシステム株式会社","4878973232227","","","","","","","613-0043","京都府久世郡久御山町島田古堤防中村29-3 豊マンション303号","","","","","","","","","","","","","","","7130001059801","","","",""
"株式会社アイイークリニツク","7577556964880","","","","","","","176-0004","東京都練馬区小竹町一丁目49-12","","","","","","","","","","","","","","","1011601000080","","","",""
"株式会社相内運輸","8699271850433","","","","","","","059-0025","北海道登別市大和町二丁目15-1","","","","","","","","","","","","","","","3430001057217","","","",""
"愛運輸株式会社","3550120438636","","","","","","","675-0019","兵庫県加古川市野口町水足1519-1","","","","","","","","","","","","","","","3140001042413","","","",""
"有限会社アイエアー","3438142939981","","","","","","","370-1202","群馬県高崎市宮原町6-26","","","","","","","","","","","","","","","5070002008360","","","",""
"株式会社アイエイケー","7236741836140","","","","","","","541-0047","大阪府大阪市中央区淡路町一丁目4-9","","","","","","","","","","","","","","","5120001162830","","","",""
"有限会社アイエイシー商事","9170887730413","","","","","","","071-8138","北海道旭川市末広八条九丁目","","","","","","","","","","","","","","","3450002000025","","","",""
"アイエイト株式会社","3953509071175","","","","","","","939-2603","富山県富山市婦中町羽根1772-1","","","","","","","","","","","","","","","8230001015909","","","",""
"あいえいプラン株式会社","7024587131638","","","","","","","343-0815","埼玉県越谷市元柳田町7-15","","","","","","","","","","","","","","","3030001083963","","","",""
"株式会社アイエコ","4868136659603","","","","","","","252-0203","神奈川県相模原市中央区東淵野辺五丁目6-1","","","","","","","","","","","","","","","9012801009094","","","",""
"株式会社Ｉ．ＡＣシステム","7847618860348","","","","","","","772-0012","徳島県鳴門市撫養町小桑島西73-10","","","","","","","","","","","","","","","4480001009666","","","",""
"株式会社ＩＳ","9195296327053","","","","","","","989-2454","宮城県岩沼市南長谷角方104-3","","","","","","","","","","","","","","","9370001044257","","","",""
"アイエス株式会社","3757288162998","","","","","","","333-0834","埼玉県川口市大字安行領根岸856","","","","","","","","","","","","","","","6030001110599","","","",""
"株式会社アイエス","8474199946322","","","","","","","257-0027","神奈川県秦野市西田原41-3","","","","","","","","","","","","","","","8021001023146","","","",""
"株式会社アイエス","2894228478055","","","","","","","983-0036","宮城県仙台市宮城野区苦竹一丁目4-30 1301号","","","","","","","","","","","","","","","7370001041611","","","",""
"アイエスアイ工業株式会社","8336109782699","","","","","","","132-0001","東京都江戸川区新堀一丁目8-5","","","","","","","","","","","","","","","4011701001356","","","",""
"株式会社アイエスイー","1194017928597","","","","","","","671-2201","兵庫県姫路市書写906-5","","","","","","","","","","","","","","","2140001059524","","","",""
"株式会社アイエスイナモト","6279960305726","","","","","","","270-1443","千葉県柏市鷲野谷890-10 2F","","","","","","","","","","","","","","","2040001081447","","","",""
"有限会社アイ・エス・イー・ワールド","2298565801569","","","","","","","245-0019","神奈川県横浜市泉区ゆめが丘47-15","","","","","","","","","","","","","","","8020002071641","","","",""
"株式会社アイ・エス・エンジニアリング","7550014437670","","","","","","","331-0074","埼玉県さいたま市西区大字宝来1212-1","","","","","","","","","","","","","","","7030001095732","","","",""
"有限会社アイ・エス・オー","8586906121588","","","","","","","880-0837","宮崎県宮崎市村角町東原3175-4","","","","","","","","","","","","","","","9350002007917","","","",""
"有限会社アイエス開発","4353698720952","","","","","","","739-1732","広島県広島市安佐北区落合南四丁目21-22","","","","","","","","","","","","","","","4240002000103","","","",""
"株式会社アイ・エス・グリーン","6241951293449","","","","","","","372-0831","群馬県伊勢崎市山王町15-2","","","","","","","","","","","","","","","1070001026268","","","",""
"有限会社アイ・エス・ケイ","8227487886656","","","","","","","467-0879","愛知県名古屋市瑞穂区平郷町六丁目8-3","","","","","","","","","","","","","","","6180002058674","","","",""
"アイエス建興株式会社","3490384261587","","","","","","","124-0023","東京都葛飾区東新小岩七丁目25-16","","","","","","","","","","","","","","","6011801035368","","","",""
"アイエス興業株式会社","9338370040917","","","","","","","140-0004","東京都品川区南品川五丁目6-1","","","","","","","","","","","","","","","8010701018522","","","",""
"ＩＳ　Ｃｏｒｐ株式会社","2249175088524","","","","","","","362-0073","埼玉県上尾市浅間台四丁目12-60","","","","","","","","","","","","","","","9030001114671","","","",""
"株式会社ＩＳサービス","4385975052873","","","","","","","243-0431","神奈川県海老名市上今泉五丁目4-33","","","","","","","","","","","","","","","2021001049881","","","",""
