"会社名","SOC","あなたの名刺所有枚数","全体の名刺所有枚数","最終名刺交換日","コンタクト登録数","最終コンタクト日","URL","郵便番号","住所","電話番号","代表者の役職名","代表者の氏名","主業：大分類","主業：中分類","従業：大分類","従業：中分類","従業員数","資本金（千円）","売上高（百万円）","決算年月","創業年月","設立年月","株式公開区分","法人番号","会社キーワード","企業動向","導入ITサービス","会社メモ"
"株式会社４ＨＥＡＤＳ","5199062753274","","","","","","","359-0011","埼玉県所沢市大字南永井760-2","","","","","","","","","","","","","","","1030001029877","","","",""
"株式会社４ＲＥＡＬ","1948500367242","","","","","","","300-0805","茨城県土浦市宍塚311","","","","","","","","","","","","","","","9050001034819","","","",""
"アイアールエス株式会社","3621400441343","","","","","","","215-0022","神奈川県川崎市麻生区下麻生三丁目33-11","","","","","","","","","","","","","","","8020001098826","","","",""
"株式会社アイ・アール・エス","8570245197402","","","","","","","124-0023","東京都葛飾区東新小岩二丁目1-15","","","","","","","","","","","","","","","9011801000039","","","",""
"ＩＲＣ株式会社","8482983433912","","","","","","","835-0014","福岡県みやま市瀬高町河内2372-2","","","","","","","","","","","","","","","6290001063012","","","",""
"株式会社アイアールディー","3989855400223","","","","","","","174-0043","東京都板橋区坂下三丁目1-5","","","","","","","","","","","","","","","8011401020933","","","",""
"株式会社Ｉ＆Ｉグループ","6301704432410","","","","","","","701-1341","岡山県岡山市北区吉備津989","","","","","","","","","","","","","","","4260001010456","","","",""
"株式会社アイ・アンド・ティー","2630743522398","","","","","","","483-8012","愛知県江南市般若町東山402","","","","","","","","","","","","","","","7180001087327","","","",""
"株式会社アイエー","5816018510472","","","","","","","244-0801","神奈川県横浜市戸塚区品濃町545-3","","","","","","","","","","","","","","","5020001057082","","","",""
"株式会社ＩＨＩ原動機","4973783166108","","","","","","","101-0021","東京都千代田区外神田二丁目14-5","","","","","","","","","","","","","","","9010001081674","","","",""
"株式会社ＩＨＩターボ","6062873940630","","","","","","","399-5502","長野県木曽郡大桑村大字須原1417","","","","","","","","","","","","","","","5010601034498","","","",""
"有限会社アイエス","4749661074718","","","","","","","458-0847","愛知県名古屋市緑区浦里五丁目191","","","","","","","","","","","","","","","7180002058608","","","",""
