"会社名","SOC","あなたの名刺所有枚数","全体の名刺所有枚数","最終名刺交換日","コンタクト登録数","最終コンタクト日","URL","郵便番号","住所","電話番号","代表者の役職名","代表者の氏名","主業：大分類","主業：中分類","従業：大分類","従業：中分類","従業員数","資本金（千円）","売上高（百万円）","決算年月","創業年月","設立年月","株式公開区分","法人番号","会社キーワード","企業動向","導入ITサービス","会社メモ"
"株式会社４５１０デザイン事務所","7636492064920","","","","","","","604-8151","京都府京都市中京区橋弁慶町224","","","","","","","","","","","","","","","4130001055159","","","",""
"株式会社ＷＯＪＥ","8459513361477","","","","","","","531-0072","大阪府大阪市北区豊崎三丁目15-5 TKビル503","","","","","","","","","","","","","","","2120001198654","","","",""
"Ｉ＆ＥＬＶＯ株式会社","5066740703717","","","","","","","980-0012","宮城県仙台市青葉区錦町一丁目4-5 チサン2F","","","","","","","","","","","","","","","8370001021109","","","",""
"株式会社あいうえる","7352582521536","","","","","","","530-0045","大阪府大阪市北区天神西町5-17","","","","","","","","","","","","","","","2120001106468","","","",""
"株式会社ｉＨＲ","8885318886275","","","","","","","231-0057","神奈川県横浜市中区曙町二丁目19-1 曙町新井ビル6F","","","","","","","","","","","","","","","1012801016866","","","",""
"株式会社アイ・エイチ・エム","2116060419281","","","","","","","103-0004","東京都中央区東日本橋二丁目6-11","","","","","","","","","","","","","","","3010001140618","","","",""
"株式会社アイエス産業","4486639878867","","","","","","","918-8231","福井県福井市問屋町一丁目43","","","","","","","","","","","","","","","9210001000011","","","",""
"株式会社ＩＮＥライティング","4458134114531","","","","","","","169-0074","東京都新宿区北新宿二丁目21-1 新宿フロントタワー15F","","","","","","","","","","","","","","","8013301036596","","","",""
"株式会社アイエム・ラボ","6747919072522","","","","","","","732-0803","広島県広島市南区南蟹屋二丁目3-2803","","","","","","","","","","","","","","","5240001027360","","","",""
"株式会社ＡＩＯ","8154145046884","","","","","","","400-0858","山梨県甲府市相生二丁目9-10","","","","","","","","","","","","","","","6090001016155","","","",""
"株式会社アイオンライン","3578823234324","","","","","","","107-0061","東京都港区北青山二丁目7-26 2F","","","","","","","","","","","","","","","7010901030253","","","",""
"株式会社愛京家倶楽部","7378846478148","","","","","","","615-0014","京都府京都市右京区西院巽町37-1 TAKE7・2F","","","","","","","","","","","","","","","8130001031024","","","",""
"株式会社アイクルー","9506407497814","","","","","","","314-0121","茨城県神栖市溝口神地1703","","","","","","","","","","","","","","","9050001022666","","","",""
"株式会社アイケアＴ","4877509628373","","","","","","","470-0134","愛知県日進市香久山五丁目1801 MIO香久山1F","","","","","","","","","","","","","","","8180001062114","","","",""
"株式会社アイケイ","3979543577669","","","","","","","450-0002","愛知県名古屋市中村区名駅三丁目26-8 KDX名古屋駅前ビル5階","","","","","","","","","","","","","","","8180001152063","","","",""
"株式会社アイコニック","8620114844117","","","","","","","150-0011","東京都渋谷区東二丁目24-3 渋谷THビル5F","","","","","","","","","","","","","","","9010001215158","","","",""
"株式会社アイコーワンズ","4372277722396","","","","","","","546-0012","大阪府大阪市東住吉区中野二丁目6-12","","","","","","","","","","","","","","","8120001132277","","","",""
"株式会社アイサ","3073464974341","","","","","","","164-0001","東京都中野区中野三丁目31-8 Nスクエア2F","","","","","","","","","","","","","","","8011201013880","","","",""
"株式会社アイサプライ","2667101635282","","","","","","","602-8319","京都府京都市上京区溝前町82","","","","","","","","","","","","","","","1130001028976","","","",""
"株式会社ＩＣＴ","5292555399932","","","","","","","541-0045","大阪府大阪市中央区道修町二丁目1-10","","","","","","","","","","","","","","","3120001126779","","","",""
"株式会社アイシス","7744170503717","","","","","","","103-0011","東京都中央区日本橋大伝馬町14-10","","","","","","","","","","","","","","","3010001147794","","","",""
"有限会社アイシステム","1398813369722","","","","","","","970-8026","福島県いわき市平三町目34","","","","","","","","","","","","","","","7380002027352","","","",""
"アイシーティー株式会社","6616856912173","","","","","","","231-0861","神奈川県横浜市中区元町四丁目168 BIZcomfort元町ビルB1F/3F","","","","","","","","","","","","","","","9011101069171","","","",""
"株式会社アイシーネット","6396259281281","","","","","","","192-0081","東京都八王子市横山町6-9 丸多屋ビル7F","","","","","","","","","","","","","","","3010101009754","","","",""
"アイショップいしがき株式会社","9393342970098","","","","","","","907-0004","沖縄県石垣市字登野城80 コーポレーション新盛102","","","","","","","","","","","","","","","4360002021707","","","",""
"株式会社アイズバレル","8636080689799","","","","","","","150-0041","東京都渋谷区神南一丁目14-7 ワイズ神南ビル7F","","","","","","","","","","","","","","","7020001127701","","","",""
"アイゼックス株式会社","7450430879612","","","","","","","105-0013","東京都港区浜松町二丁目1-12 VORT浜松町","","","","","","","","","","","","","","","8010701026764","","","",""
"株式会社ＩＺＡ","2099110288215","","","","","","","107-0062","東京都港区南青山六丁目12-1 TTS南青山ビル4F","","","","","","","","","","","","","","","7010401081243","","","",""
"株式会社あいたいよう","8994997003994","","","","","","","705-0021","岡山県備前市西片上1825-1","","","","","","","","","","","","","","","2260001022073","","","",""
"株式会社ＩＷＦ","4173363195391","","","","","","","150-0011","東京都渋谷区東三丁目25-3 ライオンズプラザ恵比寿3F309","","","","","","","","","","","","","","","3011001108051","","","",""
"Ａｉｄｅｒ　ｌａｂ株式会社","1825146613032","","","","","","","130-0004","東京都墨田区本所三丁目7-11 カスタリア本所吾妻橋603","","","","","","","","","","","","","","","3010501037652","","","",""
"株式会社アイティーエスエス","4600679560835","","","","","","","559-0034","大阪府大阪市住之江区南港北二丁目1-10 ATCビルITM棟12F","","","","","","","","","","","","","","","7120001102347","","","",""
"合同会社アイティーエスジャパン","4488187585221","","","","","","","683-0823","鳥取県米子市加茂町二丁目213","","","","","","","","","","","","","","","6270003000832","","","",""
