"会社名","SOC","あなたの名刺所有枚数","全体の名刺所有枚数","最終名刺交換日","コンタクト登録数","最終コンタクト日","URL","郵便番号","住所","電話番号","代表者の役職名","代表者の氏名","主業：大分類","主業：中分類","従業：大分類","従業：中分類","従業員数","資本金（千円）","売上高（百万円）","決算年月","創業年月","設立年月","株式公開区分","法人番号","会社キーワード","企業動向","導入ITサービス","会社メモ"
"２１テクノロジー株式会社","7731252679799","","","","","","","812-0044","福岡県福岡市博多区千代三丁目3-13","","","","","","","","","","","","","","","7290001046957","","","",""
"株式会社７０Ｂ","3446328190866","","","","","","","604-8111","京都府京都市中京区桝屋町53-1","","","","","","","","","","","","","","","8130001051451","","","",""
"株式会社アヲザ水産器","8773281752820","","","","","","","288-0002","千葉県銚子市明神町二丁目213","","","","","","","","","","","","","","","2040001061952","","","",""
"株式会社ああすでい","6898836283515","","","","","","","816-0813","福岡県春日市惣利一丁目30","","","","","","","","","","","","","","","4290001041333","","","",""
"アアベックス株式会社","5934118986865","","","","","","","340-0164","埼玉県幸手市香日向二丁目4-15","","","","","","","","","","","","","","","6030001032109","","","",""
"アーイ株式会社","9935733827377","","","","","","","470-1126","愛知県豊明市三崎町高鴨15-1","","","","","","","","","","","","","","","8180002063821","","","",""
"有限会社愛","4225055319659","","","","","","","277-0054","千葉県柏市南増尾一丁目9-6","","","","","","","","","","","","","","","5040002096094","","","",""
"Ａｉ株式会社","8027409185608","","","","","","","338-0837","埼玉県さいたま市桜区田島五丁目6-1","","","","","","","","","","","","","","","7030001015764","","","",""
"株式会社アイアイ","9809778835362","","","","","","","600-8310","京都府京都市下京区夷之町698 アイアイビル","","","","","","","","","","","","","","","4130001016326","","","",""
"株式会社アイアイティ","3400681234831","","","","","","","190-0004","東京都立川市柏町四丁目52-2","","","","","","","","","","","","","","","7012801008924","","","",""
"株式会社相上漆器工房","8659461799571","","","","","","","928-0000","石川県輪島市中段町長口37-6","","","","","","","","","","","","","","","1220001016468","","","",""
"株式会社ＡＪＡＸ","9815798876354","","","","","","","990-0065","山形県山形市双月町二丁目6-3","","","","","","","","","","","","","","","4030001067940","","","",""
"株式会社アイアットＯＥＣ","4170208447359","","","","","","","700-0822","岡山県岡山市北区表町三丁目11-50 ハレミライ千日前6階7階","","","","","","","","","","","","","","","9260001008512","","","",""
"有限会社アイ・アート","5359312509271","","","","","","","145-0073","東京都大田区北嶺町32-7","","","","","","","","","","","","","","","2010802000070","","","",""
"有限会社アイ・アール・アイ","5732375082338","","","","","","","062-0933","北海道札幌市豊平区平岸三条十二丁目1-33","","","","","","","","","","","","","","","2430002000028","","","",""
"アイアールイージャパン株式会社","3367478202811","","","","","","","146-0093","東京都大田区矢口三丁目28-1 東急アーバンテック矢口103","","","","","","","","","","","","","","","3010801000087","","","",""
"アイ・アール・ケア株式会社","1323764301105","","","","","","","125-0033","東京都葛飾区東水元四丁目4-3","","","","","","","","","","","","","","","5011801013713","","","",""
"有限会社アイアールサービス","6505334195860","","","","","","","461-0040","愛知県名古屋市東区矢田二丁目20-33","","","","","","","","","","","","","","","5180002050748","","","",""
"ＩＲＣ株式会社","8016000937414","","","","","","","340-0822","埼玉県八潮市大字大瀬304-1","","","","","","","","","","","","","","","6030001040771","","","",""
"Ｉ．Ｒ．Ｃ株式会社","7358078788928","","","","","","","818-0125","福岡県太宰府市五条二丁目4-22 2F","","","","","","","","","","","","","","","5290001062444","","","",""
"株式会社アイアールシー","1382751235008","","","","","","","231-0033","神奈川県横浜市中区長者町三丁目8-13 TK関内プラザ2F","","","","","","","","","","","","","","","4020001042052","","","",""
"株式会社アイ・アール・システム","5395921296258","","","","","","","206-0041","東京都多摩市愛宕四丁目6-20","","","","","","","","","","","","","","","7010101000008","","","",""
