"会社名","SOC","あなたの名刺所有枚数","全体の名刺所有枚数","最終名刺交換日","コンタクト登録数","最終コンタクト日","URL","郵便番号","住所","電話番号","代表者の役職名","代表者の氏名","主業：大分類","主業：中分類","従業：大分類","従業：中分類","従業員数","資本金（千円）","売上高（百万円）","決算年月","創業年月","設立年月","株式公開区分","法人番号","会社キーワード","企業動向","導入ITサービス","会社メモ"
"有限会社ゑびす","8788287768394","","","","","","","813-0024","福岡県福岡市東区名子三丁目11-9","","","","","","","","","","","","","","","8290002004392","","","",""
"株式会社アイアール","1082072234172","","","","","","","277-0852","千葉県柏市旭町一丁目2-1","","","","","","","","","","","","","","","7040001068209","","","",""
"有限会社Ｉ．Ｒ．ジャパンモーター","4241964173170","","","","","","","323-0808","栃木県小山市大字出井892-3","","","","","","","","","","","","","","","4060002031224","","","",""
"ＩＲｕｎｉｖｅｒｓｅ株式会社","9327176748095","","","","","","","105-0004","東京都港区新橋二丁目16-1 ニュー新橋ビル11階","","","","","","","","","","","","","","","5040001056842","","","",""
"Ｉ．＆Ｔ．Ｓ．ＨＤ株式会社","7739370538472","","","","","","","177-0032","東京都練馬区谷原五丁目28-27","","","","","","","","","","","","","","","7011201007017","","","",""
"アイアンレイ株式会社","1581463319701","","","","","","","370-1204","群馬県高崎市東中里町81-1","","","","","","","","","","","","","","","9070001006072","","","",""
"アイ・イー・コーポレーション有限会社","8392394837307","","","","","","","923-1246","石川県能美市倉重町34-1 101","","","","","","","","","","","","","","","7220002013450","","","",""
"アイ・イー・サービス株式会社","7252480632042","","","","","","","145-0062","東京都大田区北千束一丁目13-10","","","","","","","","","","","","","","","9010801000081","","","",""
"株式会社アイ・イー・ジェー","1386292999088","","","","","","","604-8852","京都府京都市中京区壬生東大竹町36-5 ミブテックビル","","","","","","","","","","","","","","","4130001028965","","","",""
"愛一建工有限会社","6459153207839","","","","","","","452-0807","愛知県名古屋市西区歌里町35","","","","","","","","","","","","","","","3180002022501","","","",""
"ＩＥトレード株式会社","5698620111674","","","","","","","558-0053","大阪府大阪市住吉区帝塚山中三丁目1-15","","","","","","","","","","","","","","","4120001144391","","","",""
"アイウッド株式会社","7554724079327","","","","","","","950-0807","新潟県新潟市東区木工新町372-9","","","","","","","","","","","","","","","6110001009098","","","",""
"相栄産業株式会社","1481470957860","","","","","","","955-0861","新潟県三条市北新保二丁目4-32","","","","","","","","","","","","","","","6110001013810","","","",""
"有限会社アイエイシー商事","9170887730413","","","","","","","071-8138","北海道旭川市末広八条九丁目","","","","","","","","","","","","","","","3450002000025","","","",""
"有限会社アイエイチエイサービス","5423332884062","","","","","","","134-0082","東京都江戸川区宇喜田町167","","","","","","","","","","","","","","","8011702014485","","","",""
"ＩＨテクノロジー株式会社","4018634077469","","","","","","","793-0027","愛媛県西条市朔日市556-1","","","","","","","","","","","","","","","2500001010771","","","",""
"アイエーシー株式会社","6065874232518","","","","","","","569-0011","大阪府高槻市道鵜町三丁目5-1","","","","","","","","","","","","","","","3120901010322","","","",""
"アイエス株式会社","9855637413646","","","","","","","189-0013","東京都東村山市栄町三丁目17-6","","","","","","","","","","","","","","","6013101006405","","","",""
"株式会社アイエス","7284507631196","","","","","","","982-0251","宮城県仙台市太白区茂庭中ノ瀬中23-1","","","","","","","","","","","","","","","9370001001480","","","",""
"株式会社アイエス","4099371038435","","","","","","","814-0121","福岡県福岡市城南区神松寺三丁目4-8 402号","","","","","","","","","","","","","","","7290001058432","","","",""
"アイ・エス・アイ興発株式会社","2889962495220","","","","","","","041-0808","北海道函館市桔梗三丁目14-1","","","","","","","","","","","","","","","7440001004908","","","",""
"株式会社アイエスアイサービス","7218581785771","","","","","","","594-0065","大阪府和泉市観音寺町850-3","","","","","","","","","","","","","","","1120101045369","","","",""
"有限会社アイ・エス・エス商会","3286967172948","","","","","","","515-0507","三重県伊勢市村松町1368-13","","","","","","","","","","","","","","","6190002008109","","","",""
"株式会社ＩＳＳリアライズ","1944230476468","","","","","","","550-0013","大阪府大阪市西区新町一丁目33-8","","","","","","","","","","","","","","","8120001048977","","","",""
