"会社名","SOC","あなたの名刺所有枚数","全体の名刺所有枚数","最終名刺交換日","コンタクト登録数","最終コンタクト日","URL","郵便番号","住所","電話番号","代表者の役職名","代表者の氏名","主業：大分類","主業：中分類","従業：大分類","従業：中分類","従業員数","資本金（千円）","売上高（百万円）","決算年月","創業年月","設立年月","株式公開区分","法人番号","会社キーワード","企業動向","導入ITサービス","会社メモ"
"株式会社３６ｂｅｓｔ","7138736113297","","","","","","","933-0233","富山県射水市海老江1467-99","","","","","","","","","","","","","","","8230001016097","","","",""
"株式会社３ＬＤＫ，","2362389822150","","","","","","","180-0004","東京都武蔵野市吉祥寺本町一丁目18-3","","","","","","","","","","","","","","","9012401024535","","","",""
"株式会社７＆Ｓ","6775345443696","","","","","","","274-0063","千葉県船橋市習志野台四丁目","","","","","","","","","","","","","","","7040001085014","","","",""
"アァートヒル殖産株式会社","8654914924515","","","","","","","675-0017","兵庫県加古川市野口町良野58-1","","","","","","","","","","","","","","","8140001045907","","","",""
"Ａｉ株式会社","8027409185608","","","","","","","338-0837","埼玉県さいたま市桜区田島五丁目6-1","","","","","","","","","","","","","","","7030001015764","","","",""
"アイア株式会社","5424183896198","","","","","","","150-0002","東京都渋谷区渋谷一丁目1-5","","","","","","","","","","","","","","","2013201011110","","","",""
"株式会社アイアイ","9809778835362","","","","","","","600-8310","京都府京都市下京区夷之町698 アイアイビル","","","","","","","","","","","","","","","4130001016326","","","",""
"株式会社アイアイ","7095830974622","","","","","","","577-0814","大阪府東大阪市南上小阪10-32","","","","","","","","","","","","","","","4122001000112","","","",""
"株式会社ｉ．ｉ．ｉ．","7602509101345","","","","","","","541-0051","大阪府大阪市中央区備後町三丁目1-8","","","","","","","","","","","","","","","8120001093940","","","",""
"有限会社アイアイアド・カンパニー","6719762599785","","","","","","","104-0061","東京都中央区銀座四丁目14-4 ファミールグラン銀座4丁目オーセンティア1階","","","","","","","","","","","","","","","6010002043395","","","",""
"株式会社アイ・アイ・ケイ","9874089393588","","","","","","","252-0804","神奈川県藤沢市湘南台二丁目6-10","","","","","","","","","","","","","","","8021001049661","","","",""
"有限会社アイ・アイ・シー","7358577984077","","","","","","","501-3788","岐阜県美濃市蕨生44-1","","","","","","","","","","","","","","","2200002018407","","","",""
"株式会社アイ・アース","2286586856884","","","","","","","507-0074","岐阜県多治見市大原町七丁目35","","","","","","","","","","","","","","","2200001020157","","","",""
"株式会社アイアップ","9423610435749","","","","","","","150-0002","東京都渋谷区渋谷一丁目5-7","","","","","","","","","","","","","","","5011001051761","","","",""
"有限会社アイアピア","3098015305772","","","","","","","562-0036","大阪府箕面市船場西二丁目5-31 104号","","","","","","","","","","","","","","","1120902020743","","","",""
"株式会社アイアム","8921015467917","","","","","","","344-0046","埼玉県春日部市上蛭田51-1","","","","","","","","","","","","","","","9030001050751","","","",""
