"会社名","SOC","あなたの名刺所有枚数","全体の名刺所有枚数","最終名刺交換日","コンタクト登録数","最終コンタクト日","URL","郵便番号","住所","電話番号","代表者の役職名","代表者の氏名","主業：大分類","主業：中分類","従業：大分類","従業：中分類","従業員数","資本金（千円）","売上高（百万円）","決算年月","創業年月","設立年月","株式公開区分","法人番号","会社キーワード","企業動向","導入ITサービス","会社メモ"
"株式会社２１沖縄","7295053496402","","","","","","","901-2133","沖縄県浦添市城間二丁目4-3","","","","","","","","","","","","","","","1360001009920","","","",""
"株式会社２１プランニング","8052584256144","","","","","","","165-0033","東京都中野区若宮一丁目49-1","","","","","","","","","","","","","","","8011201015670","","","",""
"株式会社２１早稲田","8038135551146","","","","","","","162-0041","東京都新宿区早稲田鶴巻町521","","","","","","","","","","","","","","","7011101072920","","","",""
"株式会社２３０Ｒｅｔａｉｌｉｎｇ","1274591624304","","","","","","","135-0047","東京都江東区富岡一丁目14-19 向殿ビル","","","","","","","","","","","","","","","7010601034620","","","",""
"株式会社２×４ｃｏｎｓｔｒｕｃｔｉｏｎ","1226987279974","","","","","","","236-0057","神奈川県横浜市金沢区能見台四丁目3-15 四番館1404号","","","","","","","","","","","","","","","8020001050373","","","",""
"株式会社２．Ｂ．ＢＬＡＣＫ","7634235003783","","","","","","","615-8161","京都府京都市西京区樫原蛸田町30-239","","","","","","","","","","","","","","","3130001031004","","","",""
"株式会社２ｐｌｕｓ・ａｌｐｈａ","1509271195708","","","","","","","151-0051","東京都渋谷区千駄ケ谷五丁目17-15 升川ビル502","","","","","","","","","","","","","","","4011001051176","","","",""
"有限会社３ＫＧ","4026942203266","","","","","","","060-0042","北海道札幌市中央区大通西十七丁目1-7","","","","","","","","","","","","","","","2430002039314","","","",""
"４Ｍ合同会社","6409250884445","","","","","","","544-0001","大阪府大阪市生野区新今里三丁目6-7","","","","","","","","","","","","","","","4120003009774","","","",""
"７２７カンパニー合同会社","3375912686568","","","","","","","249-0007","神奈川県逗子市新宿一丁目2-19 G","","","","","","","","","","","","","","","7021003005911","","","",""
"株式会社をぐら屋","7688534021639","","","","","","","535-0013","大阪府大阪市旭区森小路二丁目9-2","","","","","","","","","","","","","","","6120001000205","","","",""
"有限会社ヲサカ大正堂","3792800897727","","","","","","","680-0822","鳥取県鳥取市今町一丁目319","","","","","","","","","","","","","","","6270002000362","","","",""
"有限会社ヲリタ","7023637365676","","","","","","","659-0068","兵庫県芦屋市業平町5-20 トミー・ラ・グラース芦屋401","","","","","","","","","","","","","","","4120002034848","","","",""
"有限会社ヲワリヤ","1965021243670","","","","","","","518-0717","三重県名張市中町361","","","","","","","","","","","","","","","1190002012940","","","",""
"株式会社あをいサービス","2572052967191","","","","","","","910-0005","福井県福井市大手二丁目3-1","","","","","","","","","","","","","","","9210001000003","","","",""
"有限会社アイ","3829930168349","","","","","","","416-0952","静岡県富士市青葉町39","","","","","","","","","","","","","","","3080102013187","","","",""
"株式会社藍","7457982387835","","","","","","","177-0045","東京都練馬区石神井台八丁目18-26","","","","","","","","","","","","","","","8011601019791","","","",""
"株式会社アイ","7725315792174","","","","","","","629-2402","京都府与謝郡与謝野町字算所440","","","","","","","","","","","","","","","6130001040679","","","",""
"株式会社Ａｉ","5198945261765","","","","","","","601-8313","京都府京都市南区吉祥院中島町29","","","","","","","","","","","","","","","5130001054647","","","",""
"有限会社アイ","8941006187690","","","","","","","328-0014","栃木県栃木市泉町23-16","","","","","","","","","","","","","","","1060002031598","","","",""
"有限会社あい","6458130845092","","","","","","","252-0804","神奈川県藤沢市湘南台一丁目19-2","","","","","","","","","","","","","","","4021002048030","","","",""
"株式会社アイ","2553966848026","","","","","","","028-6105","岩手県二戸市堀野長地31-2","","","","","","","","","","","","","","","2400001008256","","","",""
"株式会社藍","2342243073170","","","","","","","770-0022","徳島県徳島市佐古二番町2-14","","","","","","","","","","","","","","","7480001008186","","","",""
"有限会社あい","9775774546310","","","","","","","309-1211","茨城県桜川市岩瀬884","","","","","","","","","","","","","","","3050002044013","","","",""
"アイア株式会社","5424183896198","","","","","","","150-0002","東京都渋谷区渋谷一丁目1-5","","","","","","","","","","","","","","","2013201011110","","","",""
"有限会社アイ・愛","8520571125944","","","","","","","939-8211","富山県富山市二口町一丁目11-5","","","","","","","","","","","","","","","4230002000070","","","",""
"株式会社逢愛","9454189490770","","","","","","","990-0042","山形県山形市七日町一丁目4-30","","","","","","","","","","","","","","","1390001000034","","","",""
"有限会社あいあい","1580360411281","","","","","","","702-8057","岡山県岡山市南区あけぼの町34-18","","","","","","","","","","","","","","","5260002014117","","","",""
"有限会社アイアイアド・カンパニー","6719762599785","","","","","","","104-0061","東京都中央区銀座四丁目14-4 ファミールグラン銀座4丁目オーセンティア1階","","","","","","","","","","","","","","","6010002043395","","","",""
"有限会社アイ・アイイスズ","8762654301076","","","","","","","761-8075","香川県高松市多肥下町1523-1","","","","","","","","","","","","","","","1470002000487","","","",""
"株式会社アイアイインターナショナル","8983889677685","","","","","","","600-8310","京都府京都市下京区夷之町698","","","","","","","","","","","","","","","2130001053040","","","",""
"株式会社アイ・アイ・エー","7352004570975","","","","","","","791-0245","愛媛県松山市南梅本町1319-1","","","","","","","","","","","","","","","6500001000182","","","",""
"有限会社アイアイ企画","6274277215826","","","","","","","885-0112","宮崎県都城市乙房町1989-1","","","","","","","","","","","","","","","9330002025219","","","",""
"株式会社アイアイケア","2312381711051","","","","","","","600-8072","京都府京都市下京区綾材木町193 プルミエール四条1階","","","","","","","","","","","","","","","8130001056079","","","",""
"株式会社ＩＩＤＡインテリジェンス・セールスエージェンシー","4499110988052","","","","","","","532-0032","大阪府大阪市淀川区三津屋北一丁目12-13","","","","","","","","","","","","","","","8120001129034","","","",""
"株式会社アイアイファーマシー","8236363852298","","","","","","","221-0843","神奈川県横浜市神奈川区松ケ丘82-6","","","","","","","","","","","","","","","7020001050812","","","",""
"株式会社アイアイホールディングス","6058526477507","","","","","","","600-8310","京都府京都市下京区夷之町698","","","","","","","","","","","","","","","8130001051674","","","",""
"アイアイメディカル株式会社","5002720363837","","","","","","","709-0812","岡山県赤磐市沼田1274-6","","","","","","","","","","","","","","","7260001008679","","","",""
"有限会社アイ・アイメディカル","9321596735191","","","","","","","350-0806","埼玉県川越市大字天沼新田340-10","","","","","","","","","","","","","","","6030002080313","","","",""
"有限会社アイ愛薬局","4629154790707","","","","","","","989-3126","宮城県仙台市青葉区落合二丁目11-16","","","","","","","","","","","","","","","4370002009255","","","",""
"アイアグリ株式会社","2075349356373","","","","","","","300-0015","茨城県土浦市北神立町2-12","","","","","","","","","","","","","","","6050001010368","","","",""
