"会社名","SOC","あなたの名刺所有枚数","全体の名刺所有枚数","最終名刺交換日","コンタクト登録数","最終コンタクト日","URL","郵便番号","住所","電話番号","代表者の役職名","代表者の氏名","主業：大分類","主業：中分類","従業：大分類","従業：中分類","従業員数","資本金（千円）","売上高（百万円）","決算年月","創業年月","設立年月","株式公開区分","法人番号","会社キーワード","企業動向","導入ITサービス","会社メモ"
"株式会社アイエム","6287109080864","","","","","","","453-0042","愛知県名古屋市中村区大秋町一丁目18","","","","","","","","","","","","","","","9180001029137","","","",""
"株式会社アイガー","9469657396179","","","","","","","541-0055","大阪府大阪市中央区船場中央二丁目1-4 船場センタービル4号館2F","","","","","","","","","","","","","","","6120001073077","","","",""
"愛岐毛織株式会社","1788206611142","","","","","","","483-8431","愛知県江南市東野町神田60","","","","","","","","","","","","","","","2180001087331","","","",""
"アイケイ株式会社","6173977951766","","","","","","","493-8001","愛知県一宮市北方町北方沼上5-5","","","","","","","","","","","","","","","4180001081902","","","",""
"ＩＫＣＳ株式会社","7748176694192","","","","","","","533-0031","大阪府大阪市東淀川区西淡路四丁目3-4","","","","","","","","","","","","","","","1120001081654","","","",""
"有限会社アイ．コーディネイト","7353537261526","","","","","","","679-2412","兵庫県神崎郡神河町山田707-3","","","","","","","","","","","","","","","9140002054030","","","",""
"株式会社アイ・コーポレーション","4683002756173","","","","","","","658-0032","兵庫県神戸市東灘区向洋町中六丁目9","","","","","","","","","","","","","","","7140001005738","","","",""
"有限会社愛三物産","9164861009172","","","","","","","491-0832","愛知県一宮市若竹一丁目5-3","","","","","","","","","","","","","","","8180002079504","","","",""
"株式会社愛昌","5271249545926","","","","","","","462-0021","愛知県名古屋市北区成願寺二丁目3-45","","","","","","","","","","","","","","","9180001106183","","","",""
"愛繊工業株式会社","4915307306765","","","","","","","460-0002","愛知県名古屋市中区丸の内三丁目16-11 丸の内パークマンション1204","","","","","","","","","","","","","","","9180001033650","","","",""
"株式会社ＩＺＡ","2099110288215","","","","","","","107-0062","東京都港区南青山六丁目12-1 TTS南青山ビル4F","","","","","","","","","","","","","","","7010401081243","","","",""
"愛知アサヒ販売株式会社","8760082171796","","","","","","","441-8086","愛知県豊橋市問屋町8-1","","","","","","","","","","","","","","","2180301005001","","","",""
"愛知繊維株式会社","5126086773838","","","","","","","441-3134","愛知県豊橋市大岩町久保田48-10","","","","","","","","","","","","","","","6180301005014","","","",""
"愛知羊毛工業株式会社","5588363143523","","","","","","","494-0001","愛知県一宮市開明馬保里20-1","","","","","","","","","","","","","","","4180001084120","","","",""
"株式会社アイ・ティー・シー・ジャパン","5954304665376","","","","","","","603-8179","京都府京都市北区紫竹上梅ノ木町6-2","","","","","","","","","","","","","","","8130001002405","","","",""
"株式会社アイテック","4910369219846","","","","","","","634-0811","奈良県橿原市小綱町7-33","","","","","","","","","","","","","","","1150001010271","","","",""
"株式会社アイトスファースト","8984274435549","","","","","","","911-0033","福井県勝山市栄町三丁目4-12","","","","","","","","","","","","","","","6210001010228","","","",""
"株式会社アイ・ビー・アール","9030140305781","","","","","","","541-0059","大阪府大阪市中央区博労町二丁目6-7 東邦ビル8階","","","","","","","","","","","","","","","8120001093949","","","",""
"藍プランニング有限会社","5501731137408","","","","","","","711-0937","岡山県倉敷市児島稗田町2660-24","","","","","","","","","","","","","","","5260002022466","","","",""
