"会社名","SOC","あなたの名刺所有枚数","全体の名刺所有枚数","最終名刺交換日","コンタクト登録数","最終コンタクト日","URL","郵便番号","住所","電話番号","代表者の役職名","代表者の氏名","主業：大分類","主業：中分類","従業：大分類","従業：中分類","従業員数","資本金（千円）","売上高（百万円）","決算年月","創業年月","設立年月","株式公開区分","法人番号","会社キーワード","企業動向","導入ITサービス","会社メモ"
"９６８７ＴＲＡＤＥ株式会社","6371906169750","","","","","","","483-8002","愛知県江南市中般若町西68-1","","","","","","","","","","","","","","","3180001108350","","","",""
"株式会社ｉ．ｉ．ｉ．","7602509101345","","","","","","","541-0051","大阪府大阪市中央区備後町三丁目1-8","","","","","","","","","","","","","","","8120001093940","","","",""
"有限会社アイ・アイ・シー","7358577984077","","","","","","","501-3788","岐阜県美濃市蕨生44-1","","","","","","","","","","","","","","","2200002018407","","","",""
"アイアム株式会社","9761929190921","","","","","","","108-0071","東京都港区白金台四丁目3-4","","","","","","","","","","","","","","","2010401033967","","","",""
"株式会社アイアール研究所","4040298287885","","","","","","","222-0033","神奈川県横浜市港北区新横浜二丁目5-22","","","","","","","","","","","","","","","5020001038776","","","",""
"ＩＲＰ株式会社","5135486233983","","","","","","","541-0056","大阪府大阪市中央区久太郎町一丁目6-15","","","","","","","","","","","","","","","9120001123952","","","",""
"アイ・アンド・シー・コーポレーション株式会社","9781242175109","","","","","","","465-0092","愛知県名古屋市名東区社台三丁目125","","","","","","","","","","","","","","","6180001123727","","","",""
"株式会社アイ・アンド・ティーサポート","3420459390481","","","","","","","658-0072","兵庫県神戸市東灘区岡本一丁目9-29","","","","","","","","","","","","","","","2140001009421","","","",""
"有限会社アイアンバロン","3451639152121","","","","","","","154-0012","東京都世田谷区駒沢五丁目19-10","","","","","","","","","","","","","","","3010902022848","","","",""
"有限会社アイアンフィスト","7943716553022","","","","","","","466-0807","愛知県名古屋市昭和区山花町10","","","","","","","","","","","","","","","2180002045247","","","",""
"株式会社アイ・インターナショナル","4976497663035","","","","","","","151-0053","東京都渋谷区代々木二丁目26-5 バロール代々木310","","","","","","","","","","","","","","","5011001000066","","","",""
"株式会社ＩＶＹトレーディング","3438751473619","","","","","","","640-8390","和歌山県和歌山市有本317-10","","","","","","","","","","","","","","","8120001145691","","","",""
"株式会社アイエイシーコマース","9277627358303","","","","","","","102-0072","東京都千代田区飯田橋三丁目11-13","","","","","","","","","","","","","","","4010401052263","","","",""
"株式会社ＩＨＩトレーディング","8008516903520","","","","","","","101-0062","東京都千代田区神田駿河台二丁目9","","","","","","","","","","","","","","","7010001035194","","","",""
"アイ・エス株式会社","4100802294021","","","","","","","578-0957","大阪府東大阪市本庄中二丁目2-25","","","","","","","","","","","","","","","4122001025431","","","",""
"株式会社アイ・エス・エー","7080518701079","","","","","","","353-0006","埼玉県志木市館二丁目4-6 802号室","","","","","","","","","","","","","","","3013301021413","","","",""
"株式会社アイ・エス・エイ・エム","4881026972348","","","","","","","541-0046","大阪府大阪市中央区平野町一丁目8-13","","","","","","","","","","","","","","","1120001104381","","","",""
"アイエスシー株式会社","3926176292858","","","","","","","101-0032","東京都千代田区岩本町二丁目10-9 手塚ビル4F","","","","","","","","","","","","","","","7010001063542","","","",""
"アイ．エス．ジャパン株式会社","1184506774572","","","","","","","530-0047","大阪府大阪市北区西天満四丁目15-18 プラザ梅新","","","","","","","","","","","","","","","8120001028442","","","",""
"アイエステック有限会社","6937451550966","","","","","","","300-0420","茨城県稲敷郡美浦村郷中1981-7","","","","","","","","","","","","","","","6040002055966","","","",""
"Ｉ．Ｓ．Ｄ．Ｊａｐａｎ株式会社","8723552971738","","","","","","","545-0052","大阪府大阪市阿倍野区阿倍野筋一丁目1-43 あべのハルカス31階","","","","","","","","","","","","","","","4120901039773","","","",""
"アイエフシー株式会社","3791660000703","","","","","","","561-0814","大阪府豊中市豊南町東二丁目7-4","","","","","","","","","","","","","","","3120901027713","","","",""
"株式会社ＩＦＣ","9662001955881","","","","","","","799-0431","愛媛県四国中央市寒川町2627-2","","","","","","","","","","","","","","","8500001020575","","","",""
"株式会社アイ・エフ・ビー","3163007610027","","","","","","","541-0056","大阪府大阪市中央区久太郎町四丁目1-3","","","","","","","","","","","","","","","9120001080715","","","",""
"アイ・エム・アイ株式会社","8787951815907","","","","","","","111-0042","東京都台東区寿三丁目3-2","","","","","","","","","","","","","","","6010501022981","","","",""
"株式会社ＩＭＥ","2026512395865","","","","","","","103-0006","東京都中央区日本橋富沢町4-1 ミズホビル5F","","","","","","","","","","","","","","","7010601031452","","","",""
"株式会社アイ・エム・エジェンシィ","1577554537335","","","","","","","202-0015","東京都西東京市保谷町四丁目9-5","","","","","","","","","","","","","","","5012701008051","","","",""
"アイエムエス株式会社","3827771533017","","","","","","","151-0062","東京都渋谷区元代々木町14-3-3 B","","","","","","","","","","","","","","","5011001025625","","","",""
"株式会社アイ・エム・エス","2022591669712","","","","","","","102-0074","東京都千代田区九段南一丁目5-6 りそな九段ビル5階","","","","","","","","","","","","","","","8010001170899","","","",""
"株式会社アイエムシー","1004954546091","","","","","","","151-0051","東京都渋谷区千駄ケ谷三丁目56-2","","","","","","","","","","","","","","","4011001047827","","","",""
"株式会社Ｉ．Ｍ自販","6951878151848","","","","","","","143-0016","東京都大田区大森北六丁目31-5","","","","","","","","","","","","","","","2010801018155","","","",""
"アイエムティー株式会社","6470844159506","","","","","","","543-0034","大阪府大阪市天王寺区松ケ鼻町10-15","","","","","","","","","","","","","","","7120001098395","","","",""
"アイオイ商事有限会社","3474321667025","","","","","","","770-0842","徳島県徳島市通町二丁目25 801号室","","","","","","","","","","","","","","","1480002013975","","","",""
"株式会社アイオイ商事","2746974112123","","","","","","","486-0818","愛知県春日井市東野町西二丁目5-5","","","","","","","","","","","","","","","4180001073552","","","",""
"株式会社あい企画","5646843647796","","","","","","","553-0006","大阪府大阪市福島区吉野四丁目15-2","","","","","","","","","","","","","","","8120001034110","","","",""
"株式会社アイキ鐵鋼販売","7828546626795","","","","","","","104-0032","東京都中央区八丁堀四丁目9-13","","","","","","","","","","","","","","","3010001035256","","","",""
"株式会社アイクリーク","2813300300786","","","","","","","222-0037","神奈川県横浜市港北区大倉山一丁目16-13 1階","","","","","","","","","","","","","","","1020002078429","","","",""
"有限会社アイクル","9667242888463","","","","","","","473-0918","愛知県豊田市高美町三丁目36","","","","","","","","","","","","","","","4180302021169","","","",""
"株式会社愛恵","3842941560714","","","","","","","612-8495","京都府京都市伏見区久我森の宮町2-180","","","","","","","","","","","","","","","8130001055254","","","",""
"アイ・ケィ・アイ株式会社","4146971939900","","","","","","","107-0052","東京都港区赤坂五丁目4-11 山口建設第2ビル","","","","","","","","","","","","","","","2010401000430","","","",""
"株式会社アイコ","8728477960557","","","","","","","121-0011","東京都足立区中央本町四丁目1-18","","","","","","","","","","","","","","","7011801005469","","","",""
"株式会社愛光通商","5607639541474","","","","","","","350-1123","埼玉県川越市脇田本町14-20 遠藤ビル4F","","","","","","","","","","","","","","","7030001058020","","","",""
"アイコーシステム株式会社","5437231636735","","","","","","","533-0024","大阪府大阪市東淀川区柴島二丁目18-20","","","","","","","","","","","","","","","8120001097529","","","",""
"ｉ－ｃｏｔ株式会社","6668907297352","","","","","","","590-0446","大阪府泉南郡熊取町成合北574-1","","","","","","","","","","","","","","","9120101040866","","","",""
"株式会社アイ・コーポレーション","4683002756173","","","","","","","658-0032","兵庫県神戸市東灘区向洋町中六丁目9","","","","","","","","","","","","","","","7140001005738","","","",""
"株式会社アイコンアグリ","6204584980390","","","","","","","550-0004","大阪府大阪市西区靱本町二丁目3-2 なにわ筋本町MIDビル","","","","","","","","","","","","","","","3120001111335","","","",""
"アイコン・ユーロパブ株式会社","2670779279859","","","","","","","160-0015","東京都新宿区大京町14-5","","","","","","","","","","","","","","","5011101042685","","","",""
"株式会社アイサントレーディング","4785340076013","","","","","","","474-0036","愛知県大府市月見町一丁目262-1","","","","","","","","","","","","","","","6180001084762","","","",""
"株式会社愛在北海道","5139863708028","","","","","","","063-0054","北海道札幌市西区宮の沢四条五丁目1-22","","","","","","","","","","","","","","","1430001061492","","","",""
"株式会社アイザック","4600219635753","","","","","","","484-0894","愛知県犬山市大字羽黒古市場2-1","","","","","","","","","","","","","","","7180001109031","","","",""
"株式会社アイザック","1190104712890","","","","","","","370-0044","群馬県高崎市岩押町12-13","","","","","","","","","","","","","","","4070002006183","","","",""
"アイザックビジネスコーポレーション株式会社","2564559500468","","","","","","","651-0084","兵庫県神戸市中央区磯辺通二丁目2-10","","","","","","","","","","","","","","","3140001024733","","","",""
"ＩＣＳ－ｎｅｔ株式会社","2469863125349","","","","","","","380-0824","長野県長野市大字南長野南石堂町1972","","","","","","","","","","","","","","","6100001030550","","","",""
"株式会社アイシーエレクトロニクス","9039874510046","","","","","","","189-0022","東京都東村山市野口町三丁目20-18","","","","","","","","","","","","","","","1012701000012","","","",""
"株式会社アイシーコスメ","9511765156836","","","","","","","450-0002","愛知県名古屋市中村区名駅四丁目5-26 ユニモール桜ビル2F","","","","","","","","","","","","","","","1010101010350","","","",""
"株式会社アイ・シー・シー","6273197602287","","","","","","","541-0053","大阪府大阪市中央区本町四丁目5-3","","","","","","","","","","","","","","","3120001073154","","","",""
"アイ・シー・シー・エス株式会社","1156248984480","","","","","","","107-0052","東京都港区赤坂六丁目19-40 秀和ビル7F","","","","","","","","","","","","","","","5010401000535","","","",""
"有限会社アイ・シー・ジー","3207949177527","","","","","","","108-0074","東京都港区高輪二丁目16-42 205号","","","","","","","","","","","","","","","3010402017101","","","",""
"有限会社愛松物産","8013794230360","","","","","","","791-3164","愛媛県伊予郡松前町大字中川原491-2","","","","","","","","","","","","","","","2500002008360","","","",""
"株式会社アイ・シー・ランド","5666979505154","","","","","","","103-0013","東京都中央区日本橋人形町三丁目3-6 人形町ファーストビル2階","","","","","","","","","","","","","","","1010001035324","","","",""
"株式会社愛新陶器","6882090522283","","","","","","","489-0809","愛知県瀬戸市共栄通二丁目70","","","","","","","","","","","","","","","4180001078601","","","",""
"アイ・ジェイ・トレーディング株式会社","4522670247424","","","","","","","332-0015","埼玉県川口市川口五丁目17-20","","","","","","","","","","","","","","","4010001130832","","","",""
"株式会社アイ・ジー・エム","1892489293807","","","","","","","108-0014","東京都港区芝五丁目26-24 田町スクエア6階","","","","","","","","","","","","","","","6011101000205","","","",""
"アイ・ジー・オー株式会社","9635881154661","","","","","","","550-0012","大阪府大阪市西区立売堀二丁目4-19 日東ビル7F","","","","","","","","","","","","","","","4120001094959","","","",""
"株式会社アイ・ジャパン","7774358278043","","","","","","","804-0091","福岡県北九州市戸畑区三六町1-18","","","","","","","","","","","","","","","9290801000178","","","",""
"アイスシステム・ジャパン株式会社","8150786008560","","","","","","","277-0042","千葉県柏市逆井四丁目10-5","","","","","","","","","","","","","","","2040001065086","","","",""
"株式会社アイスター","8269109720975","","","","","","","242-0007","神奈川県大和市中央林間三丁目4-7","","","","","","","","","","","","","","","2021001047547","","","",""
"アイステップ株式会社","7302423682814","","","","","","","231-0801","神奈川県横浜市中区新山下三丁目13-14","","","","","","","","","","","","","","","1010701011343","","","",""
"ＩＣＥＢＥＲＧ株式会社","3157017086437","","","","","","","104-0045","東京都中央区築地二丁目7-10 築地シティプラザ6F","","","","","","","","","","","","","","","6010001203520","","","",""
"有限会社ＩＣＥＢＥＲＧ","3324235406824","","","","","","","541-0046","大阪府大阪市中央区平野町三丁目3-7","","","","","","","","","","","","","","","9170002008479","","","",""
"アイスランディックジャパン株式会社","3282639101039","","","","","","","105-0001","東京都港区虎ノ門四丁目1-13 プライムテラス神谷町","","","","","","","","","","","","","","","4010401033313","","","",""
"株式会社愛蕊国際貿易","6868259507226","","","","","","","980-0801","宮城県仙台市青葉区木町通一丁目8-7 908号","","","","","","","","","","","","","","","3370001023407","","","",""
"アイズスタンダード株式会社","3981142704524","","","","","","","835-0024","福岡県みやま市瀬高町下庄975-2","","","","","","","","","","","","","","","8290001066475","","","",""
"株式会社アイセイ","8353336892615","","","","","","","231-0027","神奈川県横浜市中区扇町一丁目1-25 キンガビル4F","","","","","","","","","","","","","","","4020001085984","","","",""
"株式会社アイセイ","1695222266773","","","","","","","150-0036","東京都渋谷区南平台町1-9","","","","","","","","","","","","","","","1011001000210","","","",""
"株式会社アイソトロニクス","6707872913725","","","","","","","210-0024","神奈川県川崎市川崎区日進町9-1 センチュリープラザ205号","","","","","","","","","","","","","","","6020001071801","","","",""
