"会社名","SOC","あなたの名刺所有枚数","全体の名刺所有枚数","最終名刺交換日","コンタクト登録数","最終コンタクト日","URL","郵便番号","住所","電話番号","代表者の役職名","代表者の氏名","主業：大分類","主業：中分類","従業：大分類","従業：中分類","従業員数","資本金（千円）","売上高（百万円）","決算年月","創業年月","設立年月","株式公開区分","法人番号","会社キーワード","企業動向","導入ITサービス","会社メモ"
"株式会社アアルト","9976648282866","","","","","","","243-0018","神奈川県厚木市中町二丁目8-6","","","","","","","","","","","","","","","2021001019686","","","",""
"有限会社アイアイささぐり","5715788410739","","","","","","","811-2417","福岡県糟屋郡篠栗町中央四丁目15-8","","","","","","","","","","","","","","","3290002035970","","","",""
"株式会社Ｉ＆Ａ","7229006442094","","","","","","","239-0823","神奈川県横須賀市浦賀丘二丁目18-1","","","","","","","","","","","","","","","1021001042689","","","",""
"株式会社ＩＨ商店","4876703672114","","","","","","","890-0056","鹿児島県鹿児島市下荒田四丁目6-1 2階","","","","","","","","","","","","","","","8340001002251","","","",""
"ＩＳＩコーポレーション株式会社","1409179449129","","","","","","","038-0059","青森県青森市大字油川千刈113-1","","","","","","","","","","","","","","","4420001016271","","","",""
"有限会社アイ・エヌ・ジー","8000968067865","","","","","","","671-1121","兵庫県姫路市広畑区東新町二丁目3","","","","","","","","","","","","","","","1140002047132","","","",""
"有限会社アイコウ","9894376226418","","","","","","","101-0065","東京都千代田区西神田一丁目4-11","","","","","","","","","","","","","","","5010002006865","","","",""
"ＡＩＫＯＳＨＡ　ＪＡＰＡＮ株式会社","7959251089426","","","","","","","160-0022","東京都新宿区新宿二丁目12-13 新宿アントレサロンビル2F","","","","","","","","","","","","","","","7011101078884","","","",""
"有限会社アイ・シーブイエス","3005271133546","","","","","","","675-0068","兵庫県加古川市加古川町中津840-3","","","","","","","","","","","","","","","7140002036914","","","",""
"株式会社愛翔","4642412107559","","","","","","","793-0010","愛媛県西条市飯岡3572-5","","","","","","","","","","","","","","","2500001010680","","","",""
"一般財団法人愛信会","9657532427415","","","","","","","791-0204","愛媛県東温市志津川454","","","","","","","","","","","","","","","9500005007015","","","",""
"株式会社アイジェンシー","5085557150099","","","","","","","150-0001","東京都渋谷区神宮前一丁目20-11","","","","","","","","","","","","","","","4011101000207","","","",""
"株式会社アイ・スペシャル","9284153642180","","","","","","","102-0092","東京都千代田区隼町2-12","","","","","","","","","","","","","","","4010001080078","","","",""
"愛知県職員生活協同組合","5616345581145","","","","","","","460-0001","愛知県名古屋市中区三の丸二丁目3-2","","","","","","","","","","","","","","","3180005003390","","","",""
"アイティエイチ株式会社","7527383769251","","","","","","","374-0066","群馬県館林市大街道二丁目7-5","","","","","","","","","","","","","","","5070001031363","","","",""
"有限会社アイテム","4352919772617","","","","","","","543-0001","大阪府大阪市天王寺区上本町五丁目4-11 1109号","","","","","","","","","","","","","","","9120002059766","","","",""
"株式会社ＩＤＳ","1050986044849","","","","","","","154-0001","東京都世田谷区池尻三丁目21-16","","","","","","","","","","","","","","","4010901000985","","","",""
"株式会社ＩＤＥＮＴＩＴＹ","7452805336569","","","","","","","505-0041","岐阜県美濃加茂市太田町2689-14","","","","","","","","","","","","","","","8200001033087","","","",""
"株式会社あいのや","4719194964208","","","","","","","986-0814","宮城県石巻市南中里二丁目6-35","","","","","","","","","","","","","","","5370301000021","","","",""
"有限会社アイビー企画","7015431769556","","","","","","","855-0823","長崎県島原市湊町66","","","","","","","","","","","","","","","2310002017835","","","",""
"株式会社アイビビッド","1909255665584","","","","","","","184-0004","東京都小金井市本町一丁目8-14 サンリープ小金井ビル2階","","","","","","","","","","","","","","","4012401024977","","","",""
"株式会社アイメアー","1120395598451","","","","","","","183-0055","東京都府中市府中町一丁目6-9","","","","","","","","","","","","","","","1012402008882","","","",""
