"会社名","SOC","あなたの名刺所有枚数","全体の名刺所有枚数","最終名刺交換日","コンタクト登録数","最終コンタクト日","URL","郵便番号","住所","電話番号","代表者の役職名","代表者の氏名","主業：大分類","主業：中分類","従業：大分類","従業：中分類","従業員数","資本金（千円）","売上高（百万円）","決算年月","創業年月","設立年月","株式公開区分","法人番号","会社キーワード","企業動向","導入ITサービス","会社メモ"
"株式会社アイ・アール・エス","8570245197402","","","","","","","124-0023","東京都葛飾区東新小岩二丁目1-15","","","","","","","","","","","","","","","9011801000039","","","",""
"株式会社アイアンエイジ","8737517931741","","","","","","","224-0061","神奈川県横浜市都筑区大丸26-13 大丸工場IM103","","","","","","","","","","","","","","","8021001062474","","","",""
"株式会社あいあんクック","2488767802481","","","","","","","190-0002","東京都立川市幸町二丁目26-1","","","","","","","","","","","","","","","7012801007918","","","",""
"有限会社アイアンドエム・イワサキ","7146280869462","","","","","","","270-1437","千葉県白井市木592-1","","","","","","","","","","","","","","","5040002056890","","","",""
"合同会社あいうえオート","7546124596643","","","","","","","144-0043","東京都大田区羽田六丁目18-6","","","","","","","","","","","","","","","5030003016655","","","",""
"株式会社アイエー","2425547118683","","","","","","","270-2221","千葉県松戸市紙敷二丁目6-7","","","","","","","","","","","","","","","5040002050704","","","",""
"有限会社アイエイチアール神戸","6157131585259","","","","","","","651-2123","兵庫県神戸市西区天王山27-3","","","","","","","","","","","","","","","4140002004056","","","",""
"株式会社ＩＡＭ　ＳＯＬＵＴＩＯＮ","9995113109100","","","","","","","542-0012","大阪府大阪市中央区谷町九丁目2-27 谷九ビル801号室","","","","","","","","","","","","","","","9120001194630","","","",""
"株式会社ＩＳＳ","5935763576011","","","","","","","170-0005","東京都豊島区南大塚三丁目34-13","","","","","","","","","","","","","","","3013301028672","","","",""
"株式会社ＩＳＳ","3539003488018","","","","","","","545-0001","大阪府大阪市阿倍野区天王寺町北三丁目8-8","","","","","","","","","","","","","","","1120001136581","","","",""
"有限会社アイエスコーポレーション","6129608022823","","","","","","","920-0376","石川県金沢市福増町北846-2","","","","","","","","","","","","","","","5220002000748","","","",""
"株式会社アイエーマネージメントサービス","4647295149168","","","","","","","244-0801","神奈川県横浜市戸塚区品濃町545-3","","","","","","","","","","","","","","","6020001090074","","","",""
"株式会社ＩＭＩ","7519523024360","","","","","","","515-0202","三重県松阪市菅生町184-14","","","","","","","","","","","","","","","7190001011764","","","",""
"株式会社アイ・エム自販","7217309889118","","","","","","","143-0016","東京都大田区大森北六丁目31-5","","","","","","","","","","","","","","","4010801000111","","","",""
"ＩＬＣ株式会社","7682090895499","","","","","","","812-0002","福岡県福岡市博多区空港前三丁目11-25","","","","","","","","","","","","","","","6290001077160","","","",""
"ＡＡＩＫＡ　Ｊａｐａｎ株式会社","6040049733734","","","","","","","231-0015","神奈川県横浜市中区尾上町四丁目57 横浜尾上町ビルディング8F849号室","","","","","","","","","","","","","","","1020001153505","","","",""
"相川部品有限会社","4943433070679","","","","","","","345-0023","埼玉県北葛飾郡杉戸町大字本郷1438","","","","","","","","","","","","","","","9030002070229","","","",""
"有限会社アイガラス","4283463672803","","","","","","","840-0051","佐賀県佐賀市田代二丁目17-1","","","","","","","","","","","","","","","9300002002204","","","",""
"アイケイアール株式会社","2126877979656","","","","","","","578-0901","大阪府東大阪市加納三丁目8-19","","","","","","","","","","","","","","","5122001025348","","","",""
"有限会社アイケイトレーディング","3671731027108","","","","","","","550-0014","大阪府大阪市西区北堀江三丁目10-17 314号","","","","","","","","","","","","","","","3140002039648","","","",""
"株式会社アイケイワイピストン","6583588445801","","","","","","","432-8065","静岡県浜松市中央区高塚町1788-5","","","","","","","","","","","","","","","9080401000038","","","",""
"有限会社アイ興商","2169815095583","","","","","","","212-0011","神奈川県川崎市幸区幸町四丁目39","","","","","","","","","","","","","","","9020002080658","","","",""
