"会社名","SOC","あなたの名刺所有枚数","全体の名刺所有枚数","最終名刺交換日","コンタクト登録数","最終コンタクト日","URL","郵便番号","住所","電話番号","代表者の役職名","代表者の氏名","主業：大分類","主業：中分類","従業：大分類","従業：中分類","従業員数","資本金（千円）","売上高（百万円）","決算年月","創業年月","設立年月","株式公開区分","法人番号","会社キーワード","企業動向","導入ITサービス","会社メモ"
"株式会社１ｐｒｏｊｅｃｔ","5053606855104","","","","","","","510-0017","三重県四日市市羽津町17-29","","","","","","","","","","","","","","","6190001023265","","","",""
"株式会社２７モータースポーツ","1690971225595","","","","","","","421-2106","静岡県静岡市葵区牛妻2095-6","","","","","","","","","","","","","","","7080001010562","","","",""
"有限会社２ＬＩＮＥ　ＣＯＮＣＥＰＴ","3163833521090","","","","","","","701-0135","岡山県岡山市北区東花尻48-1","","","","","","","","","","","","","","","9260002015557","","","",""
"株式会社２輪ワールド","3123771932424","","","","","","","771-1220","徳島県板野郡藍住町東中富直道傍示63-13","","","","","","","","","","","","","","","6480001008583","","","",""
"株式会社３１０ＧＲＯＵＰ","5317703531292","","","","","","","339-0033","埼玉県さいたま市岩槻区大字黒谷1085","","","","","","","","","","","","","","","2030001096207","","","",""
"株式会社３－ＷＩＮ","4344021049889","","","","","","","023-0022","岩手県奥州市水沢中城50-1","","","","","","","","","","","","","","","5400601001211","","","",""
"株式会社４ＨＥＡＤＳ","5199062753274","","","","","","","359-0011","埼玉県所沢市大字南永井760-2","","","","","","","","","","","","","","","1030001029877","","","",""
"株式会社５センス","7903961786592","","","","","","","121-0011","東京都足立区中央本町四丁目2-1","","","","","","","","","","","","","","","4011801026690","","","",""
"株式会社６ＤＥＧＲＥＥＳ","7235535873923","","","","","","","579-8013","大阪府東大阪市西石切町五丁目5-27","","","","","","","","","","","","","","","6122001013178","","","",""
"８４ｐｒｏｊｅｃｔ株式会社","6526530316687","","","","","","","791-8025","愛媛県松山市衣山五丁目1515-44","","","","","","","","","","","","","","","8500001019980","","","",""
"８９ｐａｉｎｔ株式会社","3421559140773","","","","","","","243-0307","神奈川県愛甲郡愛川町半原4432-8","","","","","","","","","","","","","","","5021001031250","","","",""
"株式会社Ａｉ","5618138960862","","","","","","","234-0054","神奈川県横浜市港南区港南台八丁目36-21","","","","","","","","","","","","","","","2020001050164","","","",""
