"会社名","SOC","あなたの名刺所有枚数","全体の名刺所有枚数","最終名刺交換日","コンタクト登録数","最終コンタクト日","URL","郵便番号","住所","電話番号","代表者の役職名","代表者の氏名","主業：大分類","主業：中分類","従業：大分類","従業：中分類","従業員数","資本金（千円）","売上高（百万円）","決算年月","創業年月","設立年月","株式公開区分","法人番号","会社キーワード","企業動向","導入ITサービス","会社メモ"
"３６５ｗｉｎｅ株式会社","8266452233017","","","","","","","550-0027","大阪府大阪市西区九条二丁目14-18","","","","","","","","","","","","","","","2120001184159","","","",""
"ヱスビースパイス工業株式会社","7123646822013","","","","","","","343-0102","埼玉県北葛飾郡松伏町大字築比地1032","","","","","","","","","","","","","","","9010001001161","","","",""
"株式会社あをきのひもの","6694199586869","","","","","","","413-0013","静岡県熱海市銀座町10-20","","","","","","","","","","","","","","","7080101012491","","","",""
"株式会社アアム","7535863614496","","","","","","","246-0001","神奈川県横浜市瀬谷区卸本町9279-53","","","","","","","","","","","","","","","5020001004662","","","",""
"株式会社藍","9906641951422","","","","","","","710-0012","岡山県倉敷市鳥羽152-22","","","","","","","","","","","","","","","5260001016543","","","",""
"株式会社あいあい","4775051122215","","","","","","","123-0864","東京都足立区鹿浜四丁目5-7","","","","","","","","","","","","","","","3011801005456","","","",""
"有限会社アイアイささぐり","5715788410739","","","","","","","811-2417","福岡県糟屋郡篠栗町中央四丁目15-8","","","","","","","","","","","","","","","3290002035970","","","",""
"株式会社アイアイテー","6518507485027","","","","","","","061-3241","北海道石狩市新港西三丁目700-2","","","","","","","","","","","","","","","4430001023903","","","",""
"アイアグリ関東株式会社","2929600201000","","","","","","","374-0133","群馬県邑楽郡板倉町大字岩田1260-3","","","","","","","","","","","","","","","3070001022471","","","",""
"アイアム株式会社","9761929190921","","","","","","","108-0071","東京都港区白金台四丁目3-4","","","","","","","","","","","","","","","2010401033967","","","",""
"株式会社アイアール","6745334016348","","","","","","","810-0011","福岡県福岡市中央区高砂一丁目1-25 ニューガイアオフィス天神601号","","","","","","","","","","","","","","","1290001029331","","","",""
"株式会社アイ・アール・ジー・インターナショナル","8664611334856","","","","","","","150-0001","東京都渋谷区神宮前五丁目47-8","","","","","","","","","","","","","","","1011001033061","","","",""
"ＩＲＴ株式会社","1408691460457","","","","","","","003-0808","北海道札幌市白石区菊水八条三丁目1-20","","","","","","","","","","","","","","","1430001073422","","","",""
"アイアールビー株式会社","1632384867160","","","","","","","183-0006","東京都府中市緑町一丁目30-8 ニューハイムオギノ102","","","","","","","","","","","","","","","7012401029965","","","",""
"株式会社あいあんクック","2488767802481","","","","","","","190-0002","東京都立川市幸町二丁目26-1","","","","","","","","","","","","","","","7012801007918","","","",""
"有限会社アイ・アンド・アイ","3382906268269","","","","","","","955-0083","新潟県三条市荒町一丁目11-51","","","","","","","","","","","","","","","5110002018108","","","",""
"有限会社アイ＆ティー","9896002911145","","","","","","","861-2104","熊本県熊本市東区秋津三丁目10-76","","","","","","","","","","","","","","","3330002015472","","","",""
"株式会社ＩＲＯＮ　ＰＡＤＤＯＣＫ","3242839870300","","","","","","","501-6065","岐阜県羽島郡笠松町門間1803-1","","","","","","","","","","","","","","","6200001012258","","","",""
"ｉ－ｗｉｓｈ株式会社","5095075143582","","","","","","","223-0066","神奈川県横浜市港北区高田西三丁目22-14","","","","","","","","","","","","","","","8020001114319","","","",""
"有限会社アイ・エイ・エス","8213481539047","","","","","","","444-3175","愛知県岡崎市真伝一丁目15-7","","","","","","","","","","","","","","","2180302003961","","","",""
"株式会社ＩＨＭ","2146201104750","","","","","","","141-0022","東京都品川区東五反田一丁目6-3 いちご東五反田ビル2階","","","","","","","","","","","","","","","5010701007833","","","",""
"ＩＨミートパッカー株式会社","6818088106919","","","","","","","034-0001","青森県十和田市大字三本木野崎1","","","","","","","","","","","","","","","4013201011513","","","",""
"有限会社Ａｉエクセレント","9601944259231","","","","","","","004-0877","北海道札幌市清田区平岡七条一丁目13-25","","","","","","","","","","","","","","","3430002012170","","","",""
"株式会社アイエーシー","1640360435519","","","","","","","446-0051","愛知県安城市箕輪町鳥屋金25-7","","","","","","","","","","","","","","","8180301021918","","","",""
"株式会社アイエス","2334780939282","","","","","","","759-1341","山口県山口市阿東生雲西分2042-5","","","","","","","","","","","","","","","8250001000033","","","",""
"株式会社アイエスインターナショナル","1459756399060","","","","","","","270-2213","千葉県松戸市五香一丁目7-12","","","","","","","","","","","","","","","4040001034683","","","",""
"有限会社アイ・エス・インターナショナル","3077548635222","","","","","","","277-0072","千葉県柏市つくしが丘五丁目8-6","","","","","","","","","","","","","","","7040002088552","","","",""
"株式会社アイエスエー","4908875894228","","","","","","","463-0052","愛知県名古屋市守山区小幡宮ノ腰8-21","","","","","","","","","","","","","","","2180001042807","","","",""
"株式会社アイ・エスコーポレーション","6522279540365","","","","","","","358-0013","埼玉県入間市大字上藤沢565-1","","","","","","","","","","","","","","","2030001023532","","","",""
"アイエスコーポレーション株式会社","5764598246054","","","","","","","314-0135","茨城県神栖市堀割一丁目4-25","","","","","","","","","","","","","","","2010001119332","","","",""
"アイエスサービス株式会社","2468503328050","","","","","","","250-0208","神奈川県小田原市下大井716","","","","","","","","","","","","","","","4021001035194","","","",""
"アイエス・ジー株式会社","9205149711426","","","","","","","851-2130","長崎県西彼杵郡長与町まなび野三丁目34-1","","","","","","","","","","","","","","","5310001013733","","","",""
"アイエスドリンク販売株式会社","7160174881809","","","","","","","340-0002","埼玉県草加市青柳七丁目65-14","","","","","","","","","","","","","","","2030001034570","","","",""
"株式会社ＩＳフーズ","8643219021584","","","","","","","790-0822","愛媛県松山市高砂町二丁目1-1","","","","","","","","","","","","","","","2500001005631","","","",""
"有限会社アイ・エスフーズ","1170120572219","","","","","","","952-0206","新潟県佐渡市畑野甲409-1","","","","","","","","","","","","","","","2110002000002","","","",""
"有限会社アイエスワイ","1996119983884","","","","","","","425-0072","静岡県焼津市大住3","","","","","","","","","","","","","","","7080002016773","","","",""
"株式会社ＩＸサミット","7328663056053","","","","","","","064-0810","北海道札幌市中央区南十条西十丁目1-20 さくらビル8F","","","","","","","","","","","","","","","5430001069631","","","",""
"ｉ－エッグプラス株式会社","6386555107308","","","","","","","102-0083","東京都千代田区麴町二丁目2-4 麹町セントラルビル1F","","","","","","","","","","","","","","","3010001141137","","","",""
"アイエッチファーム株式会社","1084831891534","","","","","","","930-2205","富山県富山市金山新東265","","","","","","","","","","","","","","","3230001014799","","","",""
"有限会社アイエヌイー","5081670071629","","","","","","","963-0201","福島県郡山市大槻町原田東9-65","","","","","","","","","","","","","","","5380002013610","","","",""
"株式会社アイ・エヌ・ケイ","7210050494912","","","","","","","157-0061","東京都世田谷区北烏山八丁目5-1","","","","","","","","","","","","","","","1010901034771","","","",""
"株式会社Ｉ・Ｎコーポレーション","9711849220343","","","","","","","514-0004","三重県津市栄町二丁目364","","","","","","","","","","","","","","","7190001003976","","","",""
"有限会社アイエヌジー","9816052734645","","","","","","","470-0162","愛知県愛知郡東郷町大字春木涼松176-361","","","","","","","","","","","","","","","5180002062710","","","",""
"株式会社Ｉ・Ｎ・Ｇ","5231674623037","","","","","","","836-0845","福岡県大牟田市正山町21","","","","","","","","","","","","","","","9330001011830","","","",""
"株式会社アイエヌジー","4172475798563","","","","","","","677-0054","兵庫県西脇市野村町786-1","","","","","","","","","","","","","","","6140001096233","","","",""
"株式会社アイエヌティー","5587427133280","","","","","","","455-0076","愛知県名古屋市港区川間町三丁目7","","","","","","","","","","","","","","","1180001051189","","","",""
"株式会社アイエフ","5463154945522","","","","","","","136-0071","東京都江東区亀戸二丁目44-12 7階","","","","","","","","","","","","","","","5010601002471","","","",""
"株式会社アイエフエー","5805117259211","","","","","","","101-0044","東京都千代田区鍛冶町二丁目10-10 秋山ビル5F","","","","","","","","","","","","","","","3010001081192","","","",""
"株式会社アイ・エフ・エス","1016860368136","","","","","","","763-0083","香川県丸亀市土器町北二丁目74","","","","","","","","","","","","","","","7470001007239","","","",""
"株式会社アイ・エフ・シー","4205431147317","","","","","","","315-0001","茨城県石岡市石岡3202","","","","","","","","","","","","","","","7050001011258","","","",""
"株式会社ＩＦＣ","3946274410026","","","","","","","949-6680","新潟県南魚沼市六日町456-4","","","","","","","","","","","","","","","1110001026148","","","",""
"アイ・エム・アイ株式会社","8787951815907","","","","","","","111-0042","東京都台東区寿三丁目3-2","","","","","","","","","","","","","","","6010501022981","","","",""
"株式会社アイエムエーエンタープライズ","3683040707915","","","","","","","150-0011","東京都渋谷区東一丁目29-3","","","","","","","","","","","","","","","9010401081613","","","",""
"株式会社アイ・エム・エス","1887007249221","","","","","","","151-0073","東京都渋谷区笹塚一丁目52-6","","","","","","","","","","","","","","","5011001000099","","","",""
"株式会社アイ・エム・コーポレーション","3561157315085","","","","","","","496-0019","愛知県津島市百島町中割41-2","","","","","","","","","","","","","","","7180001096716","","","",""
"株式会社アイ・エム・シー","2519337838669","","","","","","","540-0001","大阪府大阪市中央区城見二丁目2-22 マルイ卜OBPビル5階","","","","","","","","","","","","","","","6120001138953","","","",""
"株式会社ＩＭＣ","4279723972811","","","","","","","583-0883","大阪府羽曳野市向野三丁目9-5","","","","","","","","","","","","","","","3120101049269","","","",""
"株式会社ＩＭシステム","2618050064629","","","","","","","600-8232","京都府京都市下京区南町576-3 IMビル2階","","","","","","","","","","","","","","","2130001029503","","","",""
"アイエム・フーズ有限会社","9840164062918","","","","","","","720-0017","広島県福山市千田町二丁目19-5","","","","","","","","","","","","","","","6240002039040","","","",""
"ＩＬグローバル株式会社","5019737391563","","","","","","","810-0041","福岡県福岡市中央区大名二丁目10-4","","","","","","","","","","","","","","","2340001019086","","","",""
"相生産業株式会社","8490134060687","","","","","","","145-0076","東京都大田区田園調布南23-6","","","","","","","","","","","","","","","6010801000084","","","",""
"有限会社愛和環境","3893338834039","","","","","","","939-2417","富山県富山市八尾町西川倉1410-4","","","","","","","","","","","","","","","8230002006650","","","",""
"株式会社アイカプラネット","6738374599562","","","","","","","178-0063","東京都練馬区東大泉二丁目42-8 725号","","","","","","","","","","","","","","","9011602022216","","","",""
"株式会社アイカワイーティングカンパニー","6036515490799","","","","","","","812-0022","福岡県福岡市博多区神屋町3-6","","","","","","","","","","","","","","","3290001029627","","","",""
"有限会社相川商店","5656732882242","","","","","","","294-0045","千葉県館山市北条1632","","","","","","","","","","","","","","","8040002099128","","","",""
"株式会社相川商店","4244771088875","","","","","","","290-0054","千葉県市原市五井中央東一丁目8-9","","","","","","","","","","","","","","","6040001053509","","","",""
"株式会社相川商店","5159629699635","1","2","2025/09/08","1","2025/12/08","https://aikawa-v.co.jp/","060-0033","北海道札幌市中央区北三条東八丁目350-1","011-231-0735","代表取締役","相川　富雄","卸売、小売","飲食料品卸売","","","10 ～ 30","10,000 ～ 50,000","1,000 ～ 3,000","2025/03","1932/04","1966/04","非公開","2430001000103","冷凍食品卸売,青果卸売,鶏卵卸売,野菜卸売,漬物卸売,行者にんにく,真狩産リーキ,黒大根,卸,卸売市場,野菜,相川商店,果物,青果,飲食店,東京,新鮮,学校給食,札幌,卸売,北海道,土曜市,契約農家,相川","","Font Awesome,Google Developers,Google Fonts,Google アナリティクス,Google マップ,Googleタグマネージャ,エックスサーバー,シックスコア",""
"有限会社アイカワフーズ","9105335716293","","","","","","","400-0028","山梨県甲府市音羽町2-53","","","","","","","","","","","","","","","3090002000045","","","",""
"株式会社アイカン","8814677222354","","","","","","","511-0105","三重県桑名市多度町小山66","","","","","","","","","","","","","","","3190001012717","","","",""
"株式会社アイガー","6887566724103","","","","","","","613-0035","京都府久世郡久御山町下津屋北野11-1","","","","","","","","","","","","","","","9130001033275","","","",""
"株式会社相木魚問屋","5695042118430","","","","","","","914-0061","福井県敦賀市蓬萊町16-11","","","","","","","","","","","","","","","1210001011239","","","",""
"株式会社アイ企画","4126966197803","","","","","","","490-1203","愛知県あま市木折戸井田23","","","","","","","","","","","","","","","2180001098378","","","",""
"有限会社相企画","3461148576691","","","","","","","300-1155","茨城県稲敷郡阿見町大字吉原3597-36","","","","","","","","","","","","","","","9050002012518","","","",""
"株式会社アイ企画","9623545137110","","","","","","","651-1304","兵庫県神戸市北区京地一丁目8-3","","","","","","","","","","","","","","","8140001030867","","","",""
"合名会社相木商会","2838503034740","","","","","","","384-1201","長野県南佐久郡北相木村1800-3","","","","","","","","","","","","","","","7100003000823","","","",""
"アイキューファームズ株式会社","4731817292857","","","","","","","541-0052","大阪府大阪市中央区安土町三丁目4-14 マツダビル7階","","","","","","","","","","","","","","","5120001107380","","","",""
"有限会社愛郷ファーム","5195334207169","","","","","","","847-0326","佐賀県唐津市鎮西町早田1912","","","","","","","","","","","","","","","4300002011011","","","",""
"アイクリエイト株式会社","4154796235371","","","","","","","321-0962","栃木県宇都宮市今泉町5 ICビル","","","","","","","","","","","","","","","9060001006486","","","",""
"株式会社アイグリーン","9808247536982","","","","","","","124-0021","東京都葛飾区細田二丁目5-2","","","","","","","","","","","","","","","8011801014865","","","",""
"株式会社アイケー","8629544149861","","","","","","","812-0011","福岡県福岡市博多区博多駅前二丁目19-17 トーカン博多第5ビル312号室","","","","","","","","","","","","","","","7290001024905","","","",""
"有限会社アイケイ","3583661024313","","","","","","","986-2135","宮城県石巻市渡波鹿松19","","","","","","","","","","","","","","","5370302002644","","","",""
"株式会社アイケイ","9318138927736","","","","","","","446-0045","愛知県安城市横山町大山田中16","","","","","","","","","","","","","","","2180301013516","","","",""
"有限会社アイケイ","5015220170658","","","","","","","130-0001","東京都墨田区吾妻橋二丁目3-13","","","","","","","","","","","","","","","1010602029162","","","",""
"株式会社愛鶏園","3620667443222","","","","","","","221-0864","神奈川県横浜市神奈川区菅田町2954","","","","","","","","","","","","","","","2020001022254","","","",""
"株式会社愛鶏園","7108643202460","","","","","","","859-1403","長崎県島原市有明町湯江丙1796","","","","","","","","","","","","","","","9310001010074","","","",""
