"会社名","SOC","あなたの名刺所有枚数","全体の名刺所有枚数","最終名刺交換日","コンタクト登録数","最終コンタクト日","URL","郵便番号","住所","電話番号","代表者の役職名","代表者の氏名","主業：大分類","主業：中分類","従業：大分類","従業：中分類","従業員数","資本金（千円）","売上高（百万円）","決算年月","創業年月","設立年月","株式公開区分","法人番号","会社キーワード","企業動向","導入ITサービス","会社メモ"
"相生漁業協同組合","5223972756999","","","","","","","678-0041","兵庫県相生市相生三丁目4-22","","","","","","","","","","","","","","","3140005007544","","","",""
"株式会社アイコ・フロンティア","6378469503562","","","","","","","236-0025","神奈川県横浜市金沢区野島町10-16","","","","","","","","","","","","","","","6020001049673","","","",""
"有限会社愛神水産","4344096000273","","","","","","","851-0114","長崎県長崎市牧島町781-2","","","","","","","","","","","","","","","1310002007787","","","",""
"愛知県鮎養殖漁業生産組合","3765960892733","","","","","","","441-0105","愛知県豊川市伊奈町雨田180","","","","","","","","","","","","","","","7180305009274","","","",""
"株式会社相原","3979264750982","","","","","","","061-3601","北海道石狩市厚田区厚田2-11","","","","","","","","","","","","","","","2430001067992","","","",""
"有限会社逢山漁業","7630928615868","","","","","","","057-0014","北海道浦河郡浦河町入船町12","","","","","","","","","","","","","","","7430002062170","","","",""
"アウンモイ漁業有限会社","5372950044752","","","","","","","099-4111","北海道斜里郡斜里町前浜町4-17","","","","","","","","","","","","","","","4460302004789","","","",""
"檍第一漁業生産組合","2362651835028","","","","","","","880-0852","宮崎県宮崎市高洲町1-2","","","","","","","","","","","","","","","5350005000740","","","",""
"檍浜漁業協同組合","3664054464846","","","","","","","880-0858","宮崎県宮崎市港一丁目15","","","","","","","","","","","","","","","1350005000728","","","",""
"青瀬漁業生産組合","8613096411932","","","","","","","896-1521","鹿児島県薩摩川内市下甑町青瀬637","","","","","","","","","","","","","","","7340005003643","","","",""
"有限会社赤岩水産","1804526465770","","","","","","","086-1843","北海道目梨郡羅臼町春日町406","","","","","","","","","","","","","","","4462502000015","","","",""
"赤江第一漁業生産組合","2879972013162","","","","","","","880-0852","宮崎県宮崎市高洲町1-2","","","","","","","","","","","","","","","3350005000742","","","",""
"赤江第二漁業生産組合","8562496332347","","","","","","","880-0911","宮崎県宮崎市大字田吉2441-3","","","","","","","","","","","","","","","2350005000743","","","",""
"赤坂水産有限会社","3415944954966","","","","","","","796-0901","愛媛県西予市三瓶町周木6-112-2","","","","","","","","","","","","","","","2500002012718","","","",""
"株式会社赤沢漁業","8088957423193","","","","","","","413-0233","静岡県伊東市赤沢浮山164-10","","","","","","","","","","","","","","","8080101013200","","","",""
"有限会社あかね水産","6507346438269","","","","","","","684-0071","鳥取県境港市外江町1619-11","","","","","","","","","","","","","","","4270002007599","","","",""
"有限会社秋田水産","1138113079831","","","","","","","038-3301","青森県つがる市富萢町屏風山1-857","","","","","","","","","","","","","","","5420002011717","","","",""
"章福水産有限会社","2377777164686","","","","","","","769-2901","香川県東かがわ市引田2685-1","","","","","","","","","","","","","","","9470002018274","","","",""
"有限会社曙水産","4583288368342","","","","","","","041-1601","北海道函館市古部町73","","","","","","","","","","","","","","","1440002000085","","","",""
"株式会社浅幸商店","3310768497062","","","","","","","986-0025","宮城県石巻市湊町一丁目4-19","","","","","","","","","","","","","","","7370301000011","","","",""
"朝潮水産株式会社","8261235030161","","","","","","","415-0016","静岡県下田市中472-1","","","","","","","","","","","","","","","2080101014402","","","",""
"有限会社浅野水産","2072862421149","","","","","","","889-3204","宮崎県日南市南郷町中村乙2380","","","","","","","","","","","","","","","5350002017028","","","",""
"旭漁業生産組合","5863532401786","","","","","","","425-0033","静岡県焼津市小川3316-2","","","","","","","","","","","","","","","2080005005489","","","",""
"旭漁業株式会社","9148547582054","","","","","","","898-0003","鹿児島県枕崎市折口町126","","","","","","","","","","","","","","","6340001012566","","","",""
