"会社名","SOC","あなたの名刺所有枚数","全体の名刺所有枚数","最終名刺交換日","コンタクト登録数","最終コンタクト日","URL","郵便番号","住所","電話番号","代表者の役職名","代表者の氏名","主業：大分類","主業：中分類","従業：大分類","従業：中分類","従業員数","資本金（千円）","売上高（百万円）","決算年月","創業年月","設立年月","株式公開区分","法人番号","会社キーワード","企業動向","導入ITサービス","会社メモ"
"株式会社アイアール","3516689996120","","","","","","","454-0857","愛知県名古屋市中川区明徳町三丁目29","","","","","","","","","","","","","","","5180001018688","","","",""
"株式会社アイ・アール","7756690201782","","","","","","","278-0042","千葉県野田市吉春27-1","","","","","","","","","","","","","","","9040002098789","","","",""
"株式会社アイ・エイチ産業","2622639895815","","","","","","","721-0975","広島県福山市西深津町七丁目3-14-11","","","","","","","","","","","","","","","3240001040737","","","",""
"株式会社アイ．エス．テイ","2142556918358","","","","","","","520-2153","滋賀県大津市一里山五丁目13-13","","","","","","","","","","","","","","","5160001000012","","","",""
"有限会社アイエヌ工業","4650422522406","","","","","","","503-2409","岐阜県揖斐郡池田町舟子376-1","","","","","","","","","","","","","","","7200002015250","","","",""
"有限会社アイ・エヌ・ジー","2819162580449","","","","","","","379-2134","群馬県前橋市力丸町485-3","","","","","","","","","","","","","","","1070002008216","","","",""
"株式会社アイエヌトレーディング","9862839121565","","","","","","","729-3101","広島県福山市新市町大字戸手146-4","","","","","","","","","","","","","","","4240001033558","","","",""
"株式会社ＩＮＢプランニング","5146513057249","","","","","","","474-0042","愛知県大府市高丘町一丁目100","","","","","","","","","","","","","","","4180001095456","","","",""
"株式会社ＩＭＷホースサプライ","1312898106601","","","","","","","324-0036","栃木県大田原市下石上2113-5","","","","","","","","","","","","","","","1060002025121","","","",""
"有限会社アイ．オー．エス","1044881616292","","","","","","","731-0211","広島県広島市安佐北区三入二丁目3-13","","","","","","","","","","","","","","","6240002000076","","","",""
"株式会社アイキテック","1704332129387","","","","","","","470-2101","愛知県知多郡東浦町大字森岡栄東1-1","","","","","","","","","","","","","","","5180001018713","","","",""
"株式会社アイケーエム","8565389548270","","","","","","","630-0261","奈良県生駒市西旭ケ丘12-28 110号","","","","","","","","","","","","","","","7150001004648","","","",""
"有限会社アイケー産業","1739426938771","","","","","","","468-0055","愛知県名古屋市天白区池場一丁目1302","","","","","","","","","","","","","","","4180002056639","","","",""
"株式会社アイケン","7287189646172","","","","","","","289-1101","千葉県八街市朝日193-3","","","","","","","","","","","","","","","6040001047527","","","",""
"愛幸ポリマー株式会社","7014987102066","","","","","","","458-0929","愛知県名古屋市緑区桶狭間西408","","","","","","","","","","","","","","","4180001027707","","","",""
"有限会社アイコム石原技研","2688867120669","","","","","","","431-1304","静岡県浜松市浜名区細江町中川6438-1","","","","","","","","","","","","","","","6080402015780","","","",""
"有限会社相ゴム商店","9827171361603","","","","","","","124-0013","東京都葛飾区東立石二丁目2-5","","","","","","","","","","","","","","","6011802000081","","","",""
"アイサポート株式会社","1725473791419","","","","","","","842-0003","佐賀県神埼市神埼町本堀2598-10","","","","","","","","","","","","","","","9330001018058","","","",""
"愛三ゴム工業株式会社","5414143876515","","","","","","","470-1204","愛知県豊田市配津町矢通8","","","","","","","","","","","","","","","2180001009731","","","",""
"株式会社Ｉ．Ｃ","3573090481387","","","","","","","653-0038","兵庫県神戸市長田区若松町十丁目2-1","","","","","","","","","","","","","","","8140001087949","","","",""
"有限会社アイシン加工","9347218304827","","","","","","","509-0311","岐阜県加茂郡川辺町下吉田113-1","","","","","","","","","","","","","","","4200002017712","","","",""
"株式会社アイシンゴム","4754847640212","","","","","","","454-0857","愛知県名古屋市中川区明徳町三丁目29","","","","","","","","","","","","","","","1180001018700","","","",""
"会津ゴム工業株式会社","4743682568626","","","","","","","179-0076","東京都練馬区土支田一丁目20-13","","","","","","","","","","","","","","","1011601000139","","","",""
"株式会社アイ・セット","8454504135880","","","","","","","502-0909","岐阜県岐阜市白菊町六丁目44-1","","","","","","","","","","","","","","","1200001029950","","","",""
"愛知タイヤ工業株式会社","3307962717161","","","","","","","485-0000","愛知県小牧市大字大草年上坂5827-1","","","","","","","","","","","","","","","8180001007746","","","",""
"アイチベルトサービス有限会社","6604645650622","","","","","","","486-0901","愛知県春日井市牛山町殿田1247-3","","","","","","","","","","","","","","","6180002064904","","","",""
"有限会社会津ゴム工業","3010732013065","","","","","","","470-1126","愛知県豊明市三崎町高鴨14-7","","","","","","","","","","","","","","","7180002064515","","","",""
"アイティーエックス時津工場株式会社","6802136758064","","","","","","","851-2101","長崎県西彼杵郡時津町西時津郷1000-149","","","","","","","","","","","","","","","3310001003257","","","",""
"株式会社アイテック","3062979001878","","","","","","","791-2101","愛媛県伊予郡砥部町高尾田353-1","","","","","","","","","","","","","","","4500001016874","","","",""
"株式会社アイテック","9832588719028","","","","","","","958-0822","新潟県村上市坪根341-20","","","","","","","","","","","","","","","5110001018397","","","",""
"アイディーイー株式会社","9839625979667","","","","","","","562-0036","大阪府箕面市船場西一丁目6-7 三羽鶴ビル5階503号","","","","","","","","","","","","","","","1120901033192","","","",""
"株式会社Ｉ・Ｄ・Ｆ","4685782652866","","","","","","","986-0104","宮城県石巻市皿貝宮田7-3","","","","","","","","","","","","","","","8370301003228","","","",""
"有限会社愛電工業","5695856162646","","","","","","","452-0823","愛知県名古屋市西区あし原町90","","","","","","","","","","","","","","","6180002035351","","","",""
"株式会社アイプロ","4401538778527","","","","","","","437-1413","静岡県掛川市国安24-8","","","","","","","","","","","","","","","2080401015364","","","",""
"愛宝化学株式会社","4271811959497","","","","","","","490-1438","愛知県海部郡飛島村大宝五丁目109","","","","","","","","","","","","","","","9180001097324","","","",""
"株式会社愛洋産業","2503364795015","","","","","","","462-0828","愛知県名古屋市北区東水切町四丁目55-2","","","","","","","","","","","","","","","3180001011447","","","",""
"株式会社アイヨーコーポレーション","1587229939240","","","","","","","462-0828","愛知県名古屋市北区東水切町四丁目55-2","","","","","","","","","","","","","","","4180001011446","","","",""
"アイル株式会社","4434789325966","","","","","","","360-0238","埼玉県熊谷市妻沼西一丁目5","","","","","","","","","","","","","","","4030001088805","","","",""
"株式会社愛和","5678621839342","","","","","","","571-0017","大阪府門真市四宮四丁目5-33","","","","","","","","","","","","","","","8120001160195","","","",""
"株式会社アイワ","9687383699757","","","","","","","482-0032","愛知県岩倉市井上町種畑20","","","","","","","","","","","","","","","2180001087752","","","",""
"株式会社アーヴァン","9937214515523","","","","","","","816-0846","福岡県春日市下白水南七丁目131","","","","","","","","","","","","","","","2290001000670","","","",""
"有限会社アヴァンティ","5000582986663","","","","","","","120-0011","東京都足立区中央本町一丁目12-17","","","","","","","","","","","","","","","2011802008822","","","",""
"有限会社アオイ加工","4903959660029","","","","","","","455-0843","愛知県名古屋市港区錦町4-18","","","","","","","","","","","","","","","5180002037860","","","",""
"葵護謨工業株式会社","5446876489306","","","","","","","444-2203","愛知県豊田市豊松町人見6","","","","","","","","","","","","","","","5180301017761","","","",""
"葵産業株式会社","3831309102802","","","","","","","812-0006","福岡県福岡市博多区上牟田一丁目6-51","","","","","","","","","","","","","","","3290001011188","","","",""
"アオイテックス株式会社","7390568407053","","","","","","","123-0852","東京都足立区関原三丁目1-6","","","","","","","","","","","","","","","5011801018299","","","",""
"株式会社アオキ","6057207386745","","","","","","","577-0065","大阪府東大阪市高井田中五丁目7-3","","","","","","","","","","","","","","","8122001000125","","","",""
"株式会社青木ヱボナイト","8682879202552","","","","","","","131-0041","東京都墨田区八広六丁目29-12","","","","","","","","","","","","","","","6010601008518","","","",""
"青木工業株式会社","1741407999940","","","","","","","718-0002","岡山県新見市下熊谷100-5","","","","","","","","","","","","","","","5260001019109","","","",""
"株式会社青木ゴム工業所","7254922634720","","","","","","","124-0013","東京都葛飾区東立石一丁目19-11","","","","","","","","","","","","","","","2011801000061","","","",""
"有限会社青木ゴム製作所","1387419955856","","","","","","","350-0812","埼玉県川越市大字下小坂195-4","","","","","","","","","","","","","","","9030002072019","","","",""
"有限会社アオキパッキング工業","5787023594177","","","","","","","174-0071","東京都板橋区常盤台一丁目63-10","","","","","","","","","","","","","","","1011402000172","","","",""
"アオキポリマー株式会社","5682000408119","","","","","","","342-0059","埼玉県吉川市新栄一丁目12-1","","","","","","","","","","","","","","","6030001065430","","","",""
"有限会社アオト・ラバー","4810499343269","","","","","","","134-0013","東京都江戸川区江戸川六丁目41-1","","","","","","","","","","","","","","","9011702000204","","","",""
"あおみどり株式会社","5981686912405","","","","","","","150-0001","東京都渋谷区神宮前六丁目19-16 701","","","","","","","","","","","","","","","9010001049259","","","",""
