"会社名","SOC","あなたの名刺所有枚数","全体の名刺所有枚数","最終名刺交換日","コンタクト登録数","最終コンタクト日","URL","郵便番号","住所","電話番号","代表者の役職名","代表者の氏名","主業：大分類","主業：中分類","従業：大分類","従業：中分類","従業員数","資本金（千円）","売上高（百万円）","決算年月","創業年月","設立年月","株式公開区分","法人番号","会社キーワード","企業動向","導入ITサービス","会社メモ"
"株式会社愛英","7124442746129","","","","","","","454-0013","愛知県名古屋市中川区八熊三丁目13-6","","","","","","","","","","","","","","","1180001007711","","","",""
"アイエス産業株式会社","3936809489538","","","","","","","258-0019","神奈川県足柄上郡大井町金子2580","","","","","","","","","","","","","","","6021001050019","","","",""
"株式会社アイ・エス・ピー","1525499915346","","","","","","","799-0121","愛媛県四国中央市上分町690","","","","","","","","","","","","","","","2500001014533","","","",""
"株式会社アイ・エム・エス","6160148684351","","","","","","","416-0946","静岡県富士市五貫島275-1","","","","","","","","","","","","","","","9080101008026","","","",""
"株式会社ＩＬコントラクトパッケージング","4436493619383","","","","","","","491-0827","愛知県一宮市三ツ井五丁目15-18","","","","","","","","","","","","","","","9180001150248","","","",""
"株式会社ＩＬファーマパッケージング","9952900181586","","","","","","","491-0804","愛知県一宮市千秋町佐野清水10","","","","","","","","","","","","","","","3180001082190","","","",""
"株式会社相生紙工所","7289558178263","","","","","","","173-0004","東京都板橋区板橋二丁目67-7","","","","","","","","","","","","","","","3011401000007","","","",""
"相生製函株式会社","9749050578087","","","","","","","379-2311","群馬県みどり市笠懸町阿左美2037-1","","","","","","","","","","","","","","","1070001025856","","","",""
"相川紙工株式会社","6901833235285","","","","","","","112-0014","東京都文京区関口一丁目10-1","","","","","","","","","","","","","","","9010001000130","","","",""
"株式会社アイキャッチカレンダー","9212069753463","","","","","","","861-8043","熊本県熊本市東区戸島西二丁目2-65","","","","","","","","","","","","","","","1330002001160","","","",""
"有限会社アイキューパック","5116414250810","","","","","","","340-0002","埼玉県草加市青柳八丁目23-3","","","","","","","","","","","","","","","5030002043015","","","",""
"有限会社アイコー","6540801044403","","","","","","","452-0837","愛知県名古屋市西区十方町158","","","","","","","","","","","","","","","1180002022511","","","",""
"愛光株式会社","8720514235732","","","","","","","799-0405","愛媛県四国中央市三島中央五丁目11-5","","","","","","","","","","","","","","","9500001014188","","","",""
"愛晃段ボール株式会社","8807641545120","","","","","","","481-0036","愛知県北名古屋市山之腰天神東170","","","","","","","","","","","","","","","8180001045572","","","",""
"相阪紙管製造株式会社","2897742873341","","","","","","","577-0052","大阪府東大阪市新喜多一丁目2-6","","","","","","","","","","","","","","","4122001000145","","","",""
"愛三商事株式会社","3702163095141","","","","","","","500-8265","岐阜県岐阜市茜部神清寺二丁目62-1","","","","","","","","","","","","","","","2200002000050","","","",""
"株式会社アイザック","7178744507244","","","","","","","937-0816","富山県魚津市大海寺野1181","","","","","","","","","","","","","","","8230001006981","","","",""
"アイ・シー株式会社","8109220023948","","","","","","","769-1604","香川県観音寺市豊浜町箕浦甲2534-3","","","","","","","","","","","","","","","8470001010745","","","",""
"株式会社アイシン","1630915336634","","","","","","","486-0909","愛知県春日井市四ツ家町四ツ家205-2","","","","","","","","","","","","","","","7180001073574","","","",""
"株式会社アイズ","8568053391336","","","","","","","332-0003","埼玉県川口市東領家二丁目19-12","","","","","","","","","","","","","","","5011801029379","","","",""
"株式会社アイ・セカンド","5531802032395","","","","","","","361-0084","埼玉県行田市大字南河原1886","","","","","","","","","","","","","","","1030001087784","","","",""
"アイダン株式会社","1494481581089","","","","","","","799-1502","愛媛県今治市喜田村五丁目17-17","","","","","","","","","","","","","","","2500001013213","","","",""
"株式会社愛知","4156268241321","","","","","","","487-0032","愛知県春日井市高森台六丁目25-8","","","","","","","","","","","","","","","8180001080958","","","",""
"あいち印刷株式会社","9289880888394","","","","","","","444-0007","愛知県岡崎市大平町杉本1-1","","","","","","","","","","","","","","","5180301000049","","","",""
"愛知王子紙業株式会社","2377615915840","","","","","","","495-0001","愛知県稲沢市祖父江町祖父江外平150","","","","","","","","","","","","","","","7180001085842","","","",""
"有限会社愛知紙器","5157965534101","","","","","","","481-0046","愛知県北名古屋市石橋郷24","","","","","","","","","","","","","","","6180002040797","","","",""
"愛知紙器工業株式会社","7408148492764","","","","","","","448-0005","愛知県刈谷市今川町山ノ神76","","","","","","","","","","","","","","","5180301013620","","","",""
"アイチ紙工株式会社","9094011952155","","","","","","","486-0952","愛知県春日井市追進町三丁目57-1","","","","","","","","","","","","","","","2180001073587","","","",""
"アイチパックス株式会社","8804667544524","","","","","","","471-0849","愛知県豊田市美山町三丁目45-3","","","","","","","","","","","","","","","5180301017794","","","",""
"株式会社ＡＩＣＨＩメーデル","6050176016331","","","","","","","444-0501","愛知県西尾市吉良町駮馬内ノ山23-10","","","","","","","","","","","","","","","1180301023383","","","",""
"有限会社会津紙管","7387646166439","","","","","","","967-0501","福島県南会津郡南会津町古町小沼1951","","","","","","","","","","","","","","","6380002035348","","","",""
"会津紙工株式会社","1563450528775","","","","","","","965-0841","福島県会津若松市門田町大字日吉丑渕145-2","","","","","","","","","","","","","","","3380001017127","","","",""
"会津パツケージ株式会社","1542742281308","","","","","","","965-0844","福島県会津若松市門田町大字一ノ堰村西580-13","","","","","","","","","","","","","","","2380001017160","","","",""
"有限会社アイ・ティ・シー","7879258132088","","","","","","","797-0012","愛媛県西予市宇和町皆田1501","","","","","","","","","","","","","","","8500002012910","","","",""
"有限会社アイティーパック","4144859947739","","","","","","","321-3223","栃木県宇都宮市清原台二丁目25-6","","","","","","","","","","","","","","","4060002000559","","","",""
"株式会社アイテス","3410463018402","","","","","","","245-0053","神奈川県横浜市戸塚区上矢部町2258","","","","","","","","","","","","","","","6020001005809","","","",""
"株式会社アイテック","1192242786200","","","","","","","426-0001","静岡県藤枝市仮宿1592-1","","","","","","","","","","","","","","","9080001016244","","","",""
"株式会社アイテック","6147303862373","","","","","","","426-0041","静岡県藤枝市高柳2403-1","","","","","","","","","","","","","","","2080001016234","","","",""
"アイデアル印刷株式会社","7531503610551","","","","","","","631-0804","奈良県奈良市神功四丁目1-9","","","","","","","","","","","","","","","6150001000012","","","",""
"株式会社ＩＤサポート","7451360864116","","","","","","","234-0053","神奈川県横浜市港南区日野中央二丁目15-14 ドミール港洋107","","","","","","","","","","","","","","","5020001097946","","","",""
"株式会社アイディーティー","8356810236197","","","","","","","417-0001","静岡県富士市今泉499-10","","","","","","","","","","","","","","","3080101008031","","","",""
"アイトー紙器株式会社","2663959017405","","","","","","","489-0955","愛知県瀬戸市南ケ丘町479-1","","","","","","","","","","","","","","","4180001080169","","","",""
"株式会社相場紙器製作所","3024744998984","","","","","","","955-0851","新潟県三条市西四日町一丁目2-30-3","","","","","","","","","","","","","","","9110001013816","","","",""
"ＡＩＰＡ株式会社","4208119064906","","","","","","","799-0101","愛媛県四国中央市川之江町415-1","","","","","","","","","","","","","","","9500005005761","","","",""
"株式会社アイパック","4730362788482","","","","","","","578-0901","大阪府東大阪市加納五丁目7-2","","","","","","","","","","","","","","","5122001000037","","","",""
"株式会社愛パック","9231807003878","","","","","","","916-0025","福井県鯖江市旭町一丁目1-16","","","","","","","","","","","","","","","5210001013487","","","",""
"株式会社アイパックス","6735542772589","","","","","","","395-0244","長野県飯田市山本6722-91","","","","","","","","","","","","","","","1100001022197","","","",""
"アイパックスイケタニ株式会社","7426808805735","","","","","","","418-0112","静岡県富士宮市北山5260","","","","","","","","","","","","","","","9080101011236","","","",""
"有限会社アイパッケージ","8937564350246","","","","","","","334-0076","埼玉県川口市本蓮一丁目3-5","","","","","","","","","","","","","","","8030002099822","","","",""
"アイピーエー株式会社","4534577344331","","","","","","","553-0003","大阪府大阪市福島区福島一丁目3-1","","","","","","","","","","","","","","","1120001073247","","","",""
"株式会社アイ・ファス","2338328905034","","","","","","","529-1610","滋賀県蒲生郡日野町大字奥之池692-3","","","","","","","","","","","","","","","1200001017006","","","",""
"アイプラス株式会社","5650804505215","","","","","","","484-0049","愛知県犬山市字前田面1-153","","","","","","","","","","","","","","","7180001081313","","","",""
"有限会社愛宝","1304534746011","","","","","","","452-0962","愛知県清須市春日中沼3","","","","","","","","","","","","","","","2180002048448","","","",""
"株式会社アイボパッケージングシステムズ","8378308295148","","","","","","","166-0015","東京都杉並区成田東五丁目2-3","","","","","","","","","","","","","","","9011301000134","","","",""
"アイポリ株式会社","7787840550882","","","","","","","443-0034","愛知県蒲郡市港町18-29","","","","","","","","","","","","","","","8180301010730","","","",""
"アイム株式会社","9893566664937","","","","","","","799-0704","愛媛県四国中央市土居町津根2304","","","","","","","","","","","","","","","1500001014848","","","",""
"有限会社アイム","8281881890098","","","","","","","799-3122","愛媛県伊予市市場甲119","","","","","","","","","","","","","","","9500002008016","","","",""
"相吉産業株式会社","9214875470395","","","","","","","400-0044","山梨県甲府市上小河原町1046","","","","","","","","","","","","","","","6090001000035","","","",""
"吾平印刷株式会社","3315977286886","","","","","","","230-0002","神奈川県横浜市鶴見区江ケ崎町11-21","","","","","","","","","","","","","","","6020001019263","","","",""
"株式会社アイリス","7813892791397","","","","","","","123-0864","東京都足立区鹿浜八丁目3-6","","","","","","","","","","","","","","","7012401022870","","","",""
"株式会社ＡＩＬＥＱ","6485180943655","","","","","","","142-0052","東京都品川区東中延一丁目12-8 PJMビル8F","","","","","","","","","","","","","","","5010601044794","","","",""
"株式会社アイワ","7100855040968","","","","","","","799-0431","愛媛県四国中央市寒川町210","","","","","","","","","","","","","","","5500001014191","","","",""
"アイワ工業株式会社","1828804374599","","","","","","","795-0081","愛媛県大洲市菅田町菅田甲1011-2","","","","","","","","","","","","","","","3500001008154","","","",""
"株式会社あいわプリント","7778562198512","","","","","","","070-0033","北海道旭川市三条通四丁目右1","","","","","","","","","","","","","","","9450001000128","","","",""
"株式会社アオイグラビア","7282765706650","","","","","","","460-0022","愛知県名古屋市中区金山五丁目4-29","","","","","","","","","","","","","","","6180001033694","","","",""
"株式会社アオイ商会","9932980108614","","","","","","","166-0003","東京都杉並区高円寺南四丁目7-5 高円寺岡本ビル3階","","","","","","","","","","","","","","","5011301000022","","","",""
"葵製凾株式会社","3102275221061","","","","","","","620-0056","京都府福知山市厚中町150","","","","","","","","","","","","","","","7130001040950","","","",""
"青木紙商事有限会社","1998298205753","","","","","","","519-0506","三重県伊勢市小俣町湯田1089-5","","","","","","","","","","","","","","","8190002008148","","","",""
"株式会社青木紙工所","9272639259221","","","","","","","530-0044","大阪府大阪市北区東天満一丁目1-11","","","","","","","","","","","","","","","5120001059713","","","",""
"有限会社青木紙工所","3322103710750","","","","","","","544-0011","大阪府大阪市生野区田島六丁目17-28","","","","","","","","","","","","","","","8120002066846","","","",""
"有限会社青木商店","7424529475704","","","","","","","611-0043","京都府宇治市伊勢田町砂田100-2","","","","","","","","","","","","","","","2130002025996","","","",""
"株式会社青木製紙所","6831891112429","","","","","","","799-0431","愛媛県四国中央市寒川町664","","","","","","","","","","","","","","","5500001014183","","","",""
"株式会社青木転写","7937958272391","","","","","","","509-5202","岐阜県土岐市下石町2388-2","","","","","","","","","","","","","","","9200001021173","","","",""
"有限会社青坂紙器製作所","8352172194844","","","","","","","003-0806","北海道札幌市白石区菊水六条二丁目1-20","","","","","","","","","","","","","","","7430002000171","","","",""
