"会社名","SOC","あなたの名刺所有枚数","全体の名刺所有枚数","最終名刺交換日","コンタクト登録数","最終コンタクト日","URL","郵便番号","住所","電話番号","代表者の役職名","代表者の氏名","主業：大分類","主業：中分類","従業：大分類","従業：中分類","従業員数","資本金（千円）","売上高（百万円）","決算年月","創業年月","設立年月","株式公開区分","法人番号","会社キーワード","企業動向","導入ITサービス","会社メモ"
"有限会社ヲザキプラスチック","7477841174839","","","","","","","910-3608","福井県福井市三留町42-15-1","","","","","","","","","","","","","","","8210002000572","","","",""
"アァルピィ東プラ株式会社","5839122484522","","","","","","","564-0063","大阪府吹田市江坂町一丁目20-22","","","","","","","","","","","","","","","7120901000014","","","",""
"株式会社アイ","7375689490909","","","","","","","386-1214","長野県上田市下之郷乙328-9","","","","","","","","","","","","","","","8100001009510","","","",""
"株式会社アイアール","3516689996120","","","","","","","454-0857","愛知県名古屋市中川区明徳町三丁目29","","","","","","","","","","","","","","","5180001018688","","","",""
"株式会社アイアンドディ","3494525888121","","","","","","","541-0048","大阪府大阪市中央区瓦町二丁目2-7 山陽染工瓦町ビル4階","","","","","","","","","","","","","","","2120001073097","","","",""
"アイ・アンド・ピー株式会社","5656484183857","","","","","","","989-6135","宮城県大崎市古川稲葉新堀53-1","","","","","","","","","","","","","","","4030001070696","","","",""
"株式会社アイ・エス","5341815740637","","","","","","","708-0331","岡山県苫田郡鏡野町布原297-8","","","","","","","","","","","","","","","1260001019475","","","",""
"株式会社ＩＳＳアートマーク","7891330220639","","","","","","","720-2113","広島県福山市神辺町旭丘51","","","","","","","","","","","","","","","6240001033052","","","",""
"株式会社アイエス化成","3499936329019","","","","","","","376-0002","群馬県桐生市境野町七丁目1813-18","","","","","","","","","","","","","","","2070002022406","","","",""
"株式会社ＩＳＫ","7634822283279","","","","","","","336-0025","埼玉県さいたま市南区文蔵三丁目24-2","","","","","","","","","","","","","","","8030001043442","","","",""
"ＩＳＫ株式会社","9328252163481","","","","","","","446-0008","愛知県安城市今本町長根118-1","","","","","","","","","","","","","","","4180301016533","","","",""
"アイエス鋼業株式会社","3450846319089","","","","","","","637-0004","奈良県五條市今井四丁目2017-13","","","","","","","","","","","","","","","3150001015392","","","",""
"株式会社ＩＳスリッター","3988243925843","","","","","","","601-8379","京都府京都市南区吉祥院嶋川原田町19-2","","","","","","","","","","","","","","","2130001026401","","","",""
"株式会社アイ．エス．テイ","2142556918358","","","","","","","520-2153","滋賀県大津市一里山五丁目13-13","","","","","","","","","","","","","","","5160001000012","","","",""
"有限会社アイ・エス・ピー","4815902871164","","","","","","","306-0505","茨城県坂東市菅谷1511-1","","","","","","","","","","","","","","","3050002018719","","","",""
"株式会社アイエヌティ","4939944698441","","","","","","","532-0004","大阪府大阪市淀川区西宮原二丁目7-38 新大阪西浦ビル7階","","","","","","","","","","","","","","","9120001053398","","","",""
"株式会社アイエム","6329957733451","","","","","","","173-0013","東京都板橋区氷川町4-3","","","","","","","","","","","","","","","1011401000017","","","",""
"ＩＭＳ商事株式会社","1675522921661","","","","","","","555-0025","大阪府大阪市西淀川区姫里二丁目14-12","","","","","","","","","","","","","","","6120001050704","","","",""
"株式会社アイ・エム・シー","1177406170217","","","","","","","157-0061","東京都世田谷区北烏山七丁目9-5","","","","","","","","","","","","","","","6010902017143","","","",""
"株式会社アイ・エム・シーユナイテッド","3218757164288","","","","","","","731-1142","広島県広島市安佐北区安佐町大字飯室2541-1","","","","","","","","","","","","","","","1240001017332","","","",""
"株式会社アイエムジィー","8768438714906","","","","","","","160-0022","東京都新宿区新宿一丁目16-10 カテリーナネオハイツ703","","","","","","","","","","","","","","","9011101075104","","","",""
"株式会社アイエムジェイ","6535161465491","","","","","","","252-0816","神奈川県藤沢市遠藤2020-25","","","","","","","","","","","","","","","6021001004560","","","",""
"株式会社アイエム樹脂","6996012198833","","","","","","","501-2258","岐阜県山県市中洞511","","","","","","","","","","","","","","","4200001028768","","","",""
"有限会社アイエムテイ","9827379335954","","","","","","","121-0823","東京都足立区伊興五丁目23-8","","","","","","","","","","","","","","","1011802008831","","","",""
"株式会社アイ・エム・ディー","2827484407209","","","","","","","224-0026","神奈川県横浜市都筑区南山田町4060","","","","","","","","","","","","","","","8020001030045","","","",""
"アイ・エム・マテリアル株式会社","1035209637045","","","","","","","530-0047","大阪府大阪市北区西天満四丁目8-17 宇治電ビルディング","","","","","","","","","","","","","","","7120001053400","","","",""
"株式会社ＩＯＴＥＣ","5451521718012","","","","","","","581-0055","大阪府八尾市跡部南の町一丁目2-49","","","","","","","","","","","","","","","3122001020549","","","",""
"株式会社アイオープラスチック工業","7876178305805","","","","","","","485-0011","愛知県小牧市岩崎五丁目356","","","","","","","","","","","","","","","4180002052200","","","",""
"アイオン株式会社","8970976272798","","","","","","","540-0012","大阪府大阪市中央区谷町二丁目6-5","","","","","","","","","","","","","","","5120001093943","","","",""
"株式会社アイカ","4866340381978","","","","","","","799-3412","愛媛県大洲市長浜町晴海3-4-2","","","","","","","","","","","","","","","6500001004679","","","",""
"アイカインテリア工業株式会社","8686319964132","","","","","","","485-0056","愛知県小牧市小木南一丁目99","","","","","","","","","","","","","","","1180001075469","","","",""
"株式会社アイ化成","5658074173490","","","","","","","370-0708","群馬県邑楽郡明和町新里556-6","","","","","","","","","","","","","","","3070001022348","","","",""
"アイカハリマ工業株式会社","2381361490780","","","","","","","675-2311","兵庫県加西市北条町横尾395","","","","","","","","","","","","","","","6140001076037","","","",""
"株式会社アイカム","1331860858117","","","","","","","384-0809","長野県小諸市大字滋野甲429-4","","","","","","","","","","","","","","","1100001008345","","","",""
"有限会社相川合成樹脂工業所","4000822133208","","","","","","","158-0086","東京都世田谷区尾山台一丁目5-10","","","","","","","","","","","","","","","4010902000150","","","",""
"相川産業株式会社","2522567508698","","","","","","","370-0703","群馬県邑楽郡明和町下江黒408","","","","","","","","","","","","","","","3070001025061","","","",""
"株式会社アイカワ物産","3870077648028","","","","","","","444-0525","愛知県西尾市吉良町富田市子野60-1","","","","","","","","","","","","","","","6180301023908","","","",""
"株式会社藍ケ江化学","6001064155725","","","","","","","333-0844","埼玉県川口市上青木二丁目20-2","","","","","","","","","","","","","","","1030001073454","","","",""
"有限会社愛岐共販社","3078697842189","","","","","","","480-1219","愛知県瀬戸市窯町425-6","","","","","","","","","","","","","","","6180002071421","","","",""
"アイキ工業株式会社","2806636870062","","","","","","","349-0135","埼玉県蓮田市大字井沼620-18","","","","","","","","","","","","","","","1030001018327","","","",""
"有限会社愛起工業所","8573864943355","","","","","","","477-0032","愛知県東海市加木屋町愛敬72-2","","","","","","","","","","","","","","","7180002087482","","","",""
"有限会社アイキョー製袋","1364319778255","","","","","","","462-0001","愛知県名古屋市北区北久手町243","","","","","","","","","","","","","","","6180002042298","","","",""
"アイクス株式会社","9221019395579","","","","","","","133-0051","東京都江戸川区北小岩三丁目13-10","","","","","","","","","","","","","","","9011701001384","","","",""
"有限会社アイケイグリーンハウス","9260772555267","","","","","","","849-2201","佐賀県武雄市北方町大字志久415","","","","","","","","","","","","","","","2300002006525","","","",""
"有限会社アイケイケイ工業","1639047394162","","","","","","","386-0027","長野県上田市常磐城2245-1","","","","","","","","","","","","","","","4100002015437","","","",""
"株式会社アイケイ工販","6163392254638","","","","","","","456-0035","愛知県名古屋市熱田区白鳥三丁目8-2","","","","","","","","","","","","","","","1180001021373","","","",""
"有限会社アイケイ工房","2335716362403","","","","","","","700-0054","岡山県岡山市北区下伊福西町1-60","","","","","","","","","","","","","","","8260002000089","","","",""
"株式会社Ｉ・Ｋ・Ｇ","4762528584898","","","","","","","510-8114","三重県三重郡川越町大字亀崎新田52-33","","","","","","","","","","","","","","","8190001014147","","","",""
"株式会社アイケイ福島","9093887682560","","","","","","","960-1406","福島県伊達郡川俣町大字鶴沢鶴東48","","","","","","","","","","","","","","","4380001002937","","","",""
"株式会社アイケイポリマー","5845348970206","","","","","","","304-0822","茨城県下妻市皆葉1178-4","","","","","","","","","","","","","","","6050002020639","","","",""
"株式会社ＩＫＳ","3997034259251","","","","","","","930-0304","富山県中新川郡上市町森尻614","","","","","","","","","","","","","","","6230001018310","","","",""
"有限会社アイケープラスチック","9199327833695","","","","","","","343-0047","埼玉県越谷市大字弥十郎313-9","","","","","","","","","","","","","","","3030002088953","","","",""
"株式会社アイケープラスト","5842787031704","","","","","","","914-0141","福井県敦賀市莇生野62-56-2","","","","","","","","","","","","","","","7210001011159","","","",""
"株式会社アイコー","3058799448694","","","","","","","665-0836","兵庫県宝塚市清荒神二丁目9-1","","","","","","","","","","","","","","","3140001081139","","","",""
"合同会社アイコ","2315976960870","","","","","","","672-8064","兵庫県姫路市飾磨区細江268","","","","","","","","","","","","","","","7140003009332","","","",""
"株式会社愛光","3944692808847","","","","","","","350-0214","埼玉県坂戸市千代田五丁目4-32 「富士見工業団地内」","","","","","","","","","","","","","","","6030001068672","","","",""
"株式会社愛工金型製作所","8106854536923","","","","","","","485-0802","愛知県小牧市大字大草5419-12","","","","","","","","","","","","","","","8180001073565","","","",""
"愛工業株式会社","4538730415185","","","","","","","422-8033","静岡県静岡市駿河区登呂六丁目2-5","","","","","","","","","","","","","","","1080001000024","","","",""
"有限会社愛光工芸","2223594955078","","","","","","","577-0016","大阪府東大阪市長田西五丁目4-5","","","","","","","","","","","","","","","7122002000166","","","",""
"アイコーグラビヤ株式会社","7935098201989","","","","","","","273-0128","千葉県鎌ケ谷市くぬぎ山三丁目11-28","","","","","","","","","","","","","","","4040001027984","","","",""
"有限会社アイコー産業","1099381231474","","","","","","","270-2221","千葉県松戸市紙敷一丁目30-1","","","","","","","","","","","","","","","9040002050700","","","",""
"アイ・コーティング株式会社","1575428945630","","","","","","","610-0301","京都府綴喜郡井手町大字多賀東北河原33","","","","","","","","","","","","","","","3130001037785","","","",""
"株式会社アイコム","3951354818307","","","","","","","503-1614","岐阜県大垣市上石津町一之瀬1998","","","","","","","","","","","","","","","1200001027260","","","",""
"有限会社愛三化成工業所","2166632946645","","","","","","","443-0105","愛知県蒲郡市西浦町空ケ谷64-1","","","","","","","","","","","","","","","8180302015027","","","",""
"愛三熊本株式会社","1209090118508","","","","","","","865-0046","熊本県玉名市北牟田393-1","","","","","","","","","","","","","","","2330001012083","","","",""
"愛産樹脂工業株式会社","6086495021997","","","","","","","445-0892","愛知県西尾市法光寺町流6-4","","","","","","","","","","","","","","","5180301022241","","","",""
