"会社名","SOC","あなたの名刺所有枚数","全体の名刺所有枚数","最終名刺交換日","コンタクト登録数","最終コンタクト日","URL","郵便番号","住所","電話番号","代表者の役職名","代表者の氏名","主業：大分類","主業：中分類","従業：大分類","従業：中分類","従業員数","資本金（千円）","売上高（百万円）","決算年月","創業年月","設立年月","株式公開区分","法人番号","会社キーワード","企業動向","導入ITサービス","会社メモ"
"ヱイワ機工株式会社","2370006130410","","","","","","","920-0061","石川県金沢市問屋町二丁目54","","","","","","","","","","","","","","","4220001001368","","","",""
"ゑびす精工株式会社","8513601416224","","","","","","","592-8341","大阪府堺市西区浜寺船尾町東二丁29-2","","","","","","","","","","","","","","","4120101000610","","","",""
"株式会社をくだ屋技研","2123835583399","","","","","","","587-0011","大阪府堺市美原区丹上263","","","","","","","","","","","","","","","9120101021404","","","",""
"株式会社ヲサメ工業","7944536468803","","","","","","","230-0002","神奈川県横浜市鶴見区江ケ崎町10-32","","","","","","","","","","","","","","","1020001016876","","","",""
"ア・アイム工業株式会社","2291266902975","","","","","","","547-0014","大阪府大阪市平野区長吉川辺二丁目2-11","","","","","","","","","","","","","","","5120001093919","","","",""
"株式会社アァル技研","4642520732260","","","","","","","708-0806","岡山県津山市大田819-10","","","","","","","","","","","","","","","5260001019488","","","",""
"株式会社アイ","7375689490909","","","","","","","386-1214","長野県上田市下之郷乙328-9","","","","","","","","","","","","","","","8100001009510","","","",""
"株式会社アイアイエスマテリアル","3372512455149","","","","","","","290-0057","千葉県市原市五井金杉一丁目61","","","","","","","","","","","","","","","9040001072794","","","",""
"株式会社アイアイ興業","2805418314644","","","","","","","739-0131","広島県東広島市八本松町篠610-51","","","","","","","","","","","","","","","7240001023457","","","",""
"有限会社アイ・アール","5326820406698","","","","","","","365-0059","埼玉県鴻巣市糠田1525-6","","","","","","","","","","","","","","","7030002084115","","","",""
"株式会社アイ・アール","7756690201782","","","","","","","278-0042","千葉県野田市吉春27-1","","","","","","","","","","","","","","","9040002098789","","","",""
"アイアールイージャパン株式会社","3367478202811","","","","","","","146-0093","東京都大田区矢口三丁目28-1 東急アーバンテック矢口103","","","","","","","","","","","","","","","3010801000087","","","",""
"有限会社アイ・アールインダストリー","5552704223875","","","","","","","321-0217","栃木県下都賀郡壬生町至宝一丁目7-18","","","","","","","","","","","","","","","1060002034741","","","",""
