"会社名","SOC","あなたの名刺所有枚数","全体の名刺所有枚数","最終名刺交換日","コンタクト登録数","最終コンタクト日","URL","郵便番号","住所","電話番号","代表者の役職名","代表者の氏名","主業：大分類","主業：中分類","従業：大分類","従業：中分類","従業員数","資本金（千円）","売上高（百万円）","決算年月","創業年月","設立年月","株式公開区分","法人番号","会社キーワード","企業動向","導入ITサービス","会社メモ"
"株式会社ＩＲＩ","8334058737433","","","","","","","466-0826","愛知県名古屋市昭和区滝川町31-48","","","","","","","","","","","","","","","4180001056219","","","",""
"有限会社アイ・アールメディカル","8472308696076","","","","","","","400-0814","山梨県甲府市上阿原町1151","","","","","","","","","","","","","","","9090002000031","","","",""
"有限会社アイ・エス","8445295931095","","","","","","","114-0014","東京都北区田端二丁目3-17","","","","","","","","","","","","","","","9011502000032","","","",""
"株式会社アイエス","9880624628987","","","","","","","142-0063","東京都品川区荏原四丁目11-19","","","","","","","","","","","","","","","3010701000278","","","",""
"有限会社アイエスアイ","8769325105028","","","","","","","065-0018","北海道札幌市東区北十八条東四丁目4-28","","","","","","","","","","","","","","","8430002000039","","","",""
"アイエスシー株式会社","8821546554070","","","","","","","324-0244","栃木県大田原市蜂巣767-299","","","","","","","","","","","","","","","9060001013136","","","",""
"株式会社アイエヌジー","4349029485409","","","","","","","721-0971","広島県福山市蔵王町3228-1","","","","","","","","","","","","","","","2240001033816","","","",""
"アイ・エム・アイ株式会社","6670672679401","","","","","","","343-0824","埼玉県越谷市流通団地三丁目3-12","","","","","","","","","","","","","","","1030001063447","","","",""
"有限会社アイエム企画","3734361791958","","","","","","","232-0024","神奈川県横浜市南区浦舟町四丁目50","","","","","","","","","","","","","","","1020002057795","","","",""
"有限会社アイ・エム・ピー","5410716205868","","","","","","","979-1308","福島県双葉郡大熊町大字下野上清水91","","","","","","","","","","","","","","","2380002029774","","","",""
"株式会社相生電子","5300817455639","","","","","","","389-2301","長野県下高井郡木島平村大字穂高2881-17","","","","","","","","","","","","","","","5100001011923","","","",""
"アイオニック株式会社","2078320939993","","","","","","","270-0145","千葉県流山市名都借914-1","","","","","","","","","","","","","","","7040001038384","","","",""
"株式会社アイキャット","9786154854275","","","","","","","532-0011","大阪府大阪市淀川区西中島三丁目19-15 第3三ツ矢ビル3F","","","","","","","","","","","","","","","7120001110606","","","",""
"株式会社アイ・クエスト","1420030970411","","","","","","","101-0045","東京都千代田区神田鍛冶町三丁目4","","","","","","","","","","","","","","","8010001183918","","","",""
"有限会社アイケアー","3130707604773","","","","","","","396-0010","長野県伊那市境1449","","","","","","","","","","","","","","","8100002032404","","","",""
"合同会社ａｉ－ｓｙｓ","9102873061194","","","","","","","761-0113","香川県高松市屋島西町867-1","","","","","","","","","","","","","","","4470003001795","","","",""
"アイシンクメディカル株式会社","5697156797850","","","","","","","169-0075","東京都新宿区高田馬場三丁目2-14","","","","","","","","","","","","","","","3012801019306","","","",""
"株式会社アイジイシイ","6084006088189","","","","","","","420-0916","静岡県静岡市葵区瀬名中央四丁目7-15 102号","","","","","","","","","","","","","","","9080001000041","","","",""
"株式会社ＩｇＡ・ＪＡＰＡＮ","6105948157967","","","","","","","963-8846","福島県郡山市久留米六丁目91-3","","","","","","","","","","","","","","","9380001032293","","","",""
"アイジェックス・ファーマインターナショナル株式会社","1180067141746","","","","","","","930-0871","富山県富山市下野16 富山市新産業支援センター302号室","","","","","","","","","","","","","","","9230001016501","","","",""
"アイゼンコーポレーション株式会社","9535889373833","","","","","","","133-0056","東京都江戸川区南小岩五丁目1-1 コスモ壱番館1階","","","","","","","","","","","","","","","7011702013109","","","",""
"アイ・ソネックス株式会社","5438217501397","","","","","","","702-8004","岡山県岡山市中区江並100-7","","","","","","","","","","","","","","","2260001008667","","","",""
