"会社名","SOC","あなたの名刺所有枚数","全体の名刺所有枚数","最終名刺交換日","コンタクト登録数","最終コンタクト日","URL","郵便番号","住所","電話番号","代表者の役職名","代表者の氏名","主業：大分類","主業：中分類","従業：大分類","従業：中分類","従業員数","資本金（千円）","売上高（百万円）","決算年月","創業年月","設立年月","株式公開区分","法人番号","会社キーワード","企業動向","導入ITサービス","会社メモ"
"アイ株式会社","4150963400010","","","","","","","569-0043","大阪府高槻市竹の内町69-2","","","","","","","","","","","","","","","7120901000030","","","",""
"株式会社アイ","3226656147756","","","","","","","918-8231","福井県福井市問屋町四丁目821","","","","","","","","","","","","","","","1210001000002","","","",""
"株式会社アイアイディ","6866314456718","","","","","","","112-0014","東京都文京区関口一丁目5-9 ドーム関口2階","","","","","","","","","","","","","","","5010001125690","","","",""
"愛印刷出版株式会社","6884873995845","","","","","","","939-8058","富山県富山市大泉279-6 メゾン・エピカリス201号室","","","","","","","","","","","","","","","4230001006820","","","",""
"アイウィル株式会社","5739877236480","","","","","","","450-0003","愛知県名古屋市中村区名駅南一丁目19-27 オルバースビルディング名古屋5階","","","","","","","","","","","","","","","1180001111620","","","",""
"有限会社アイエー","4116639804287","","","","","","","224-0042","神奈川県横浜市都筑区大熊町551","","","","","","","","","","","","","","","4020002059335","","","",""
"株式会社アイエス","5588951054112","","","","","","","343-0822","埼玉県越谷市大字西方3026","","","","","","","","","","","","","","","8030001065107","","","",""
"株式会社アイエス","3989370531928","","","","","","","178-0061","東京都練馬区大泉学園町四丁目23-8","","","","","","","","","","","","","","","4011601011538","","","",""
"株式会社アイエスアイ","3106035271409","","","","","","","112-0013","東京都文京区音羽一丁目20-14 MBS音羽ビル8階","","","","","","","","","","","","","","","9010001000072","","","",""
"株式会社アイ・エス・アイ","2933627896694","","","","","","","960-0408","福島県伊達市岡沼9-1","","","","","","","","","","","","","","","8380001002033","","","",""
"株式会社アイ・エス・アイ","3034308451899","","","","","","","101-0061","東京都千代田区神田三崎町一丁目2-9 MSビル3階","","","","","","","","","","","","","","","9010001105144","","","",""
"株式会社アイ・エス・エム","4384793468146","","","","","","","174-0041","東京都板橋区舟渡三丁目23-8","","","","","","","","","","","","","","","6011401000012","","","",""
"合同会社アイエスクリエイト","1375411518530","","","","","","","811-1201","福岡県那珂川市片縄五丁目7-1","","","","","","","","","","","","","","","5290003013998","","","",""
"有限会社アイ・エス・シー","6236189193486","","","","","","","333-0834","埼玉県川口市大字安行領根岸2553-25","","","","","","","","","","","","","","","5030002111960","","","",""
"株式会社ＩＳスリッター","3988243925843","","","","","","","601-8379","京都府京都市南区吉祥院嶋川原田町19-2","","","","","","","","","","","","","","","2130001026401","","","",""
"株式会社アイエスピー","8088014636359","","","","","","","116-0001","東京都荒川区町屋一丁目25-17 206号","","","","","","","","","","","","","","","1011501014206","","","",""
"株式会社アイ・エヌ・エス","2571595284083","","","","","","","701-1345","岡山県岡山市北区新庄上1526","","","","","","","","","","","","","","","9260001029203","","","",""
"株式会社アイエヌジー","3023653681907","","","","","","","134-0086","東京都江戸川区臨海町五丁目3-2 アリーナコースト参番街611号","","","","","","","","","","","","","","","4011701014416","","","",""
"有限会社アイエフプロ","6258869213557","","","","","","","571-0058","大阪府門真市小路町4-10","","","","","","","","","","","","","","","9120002081101","","","",""
"有限会社アイエムコーポレーション","4860996963247","","","","","","","189-0003","東京都東村山市久米川町一丁目22-67","","","","","","","","","","","","","","","9012702013063","","","",""
"株式会社ＩＭＣブランディング","9686279527650","","","","","","","102-0073","東京都千代田区九段北一丁目4-5 北の丸グラスゲート3階","","","","","","","","","","","","","","","2010001092298","","","",""
"有限会社アイエム出版社","7679848205480","","","","","","","577-0052","大阪府東大阪市新喜多二丁目2-6","","","","","","","","","","","","","","","3122002006638","","","",""
"株式会社アイエムプランニング","6884706900304","","","","","","","101-0051","東京都千代田区神田神保町二丁目32 前川ビル2F","","","","","","","","","","","","","","","8010001088101","","","",""
"株式会社アイエルシー","5669476332283","","","","","","","426-0022","静岡県藤枝市稲川637-2","","","","","","","","","","","","","","","2080001016259","","","",""
"株式会社ＩＬファーマパッケージング","9952900181586","","","","","","","491-0804","愛知県一宮市千秋町佐野清水10","","","","","","","","","","","","","","","3180001082190","","","",""
"有限会社アイオー","8147720209626","","","","","","","537-0023","大阪府大阪市東成区玉津三丁目11-31","","","","","","","","","","","","","","","2120002006436","","","",""
"有限会社アイオー企画印刷","2859646165081","","","","","","","811-1355","福岡県福岡市南区桧原二丁目3-10","","","","","","","","","","","","","","","1290002001181","","","",""
"株式会社アイカム","3200050802765","","","","","","","451-0064","愛知県名古屋市西区名西二丁目10-25","","","","","","","","","","","","","","","3180001024548","","","",""
"株式会社アイカラー","9675636000256","","","","","","","664-0874","兵庫県伊丹市山田五丁目10-1","","","","","","","","","","","","","","","5120001059787","","","",""
"有限会社合川印刷社","1000696166955","","","","","","","839-0809","福岡県久留米市東合川三丁目17-3","","","","","","","","","","","","","","","7290002048283","","","",""
"相川紙工株式会社","6901833235285","","","","","","","112-0014","東京都文京区関口一丁目10-1","","","","","","","","","","","","","","","9010001000130","","","",""
"株式会社アイ・カンパニー","2699653336804","","","","","","","300-4542","茨城県筑西市吉田744-4","","","","","","","","","","","","","","","1050001017632","","","",""
"アイガス印刷株式会社","3974663559918","","","","","","","120-0047","東京都足立区宮城一丁目2-21","","","","","","","","","","","","","","","1011801021100","","","",""
"株式会社アイキ","4906345289825","","","","","","","113-0001","東京都文京区白山一丁目26-16","","","","","","","","","","","","","","","5010001077924","","","",""
"アイ企画株式会社","8256234301179","","","","","","","570-0041","大阪府守口市東郷通三丁目3-8","","","","","","","","","","","","","","","8120001155170","","","",""
"株式会社アイキカク","4847627908688","","","","","","","890-0056","鹿児島県鹿児島市下荒田三丁目10-20 1F","","","","","","","","","","","","","","","8340001006319","","","",""
"株式会社アイキャッチ","1785948906227","","","","","","","861-8043","熊本県熊本市東区戸島西二丁目2-65","","","","","","","","","","","","","","","4330001000029","","","",""
"有限会社アイキュ","2594155036652","","","","","","","720-0821","広島県福山市東川口町二丁目12-28 西森アパート2F","","","","","","","","","","","","","","","1240002047601","","","",""
"アイクス株式会社","3426819184441","","","","","","","101-0051","東京都千代田区神田神保町一丁目44-8","","","","","","","","","","","","","","","5010001009365","","","",""
"株式会社アイ・クリエイト","8576172513478","","","","","","","013-0046","秋田県横手市神明町5-22","","","","","","","","","","","","","","","8410001008778","","","",""
"有限会社アイ・クリエイト","5404770500602","","","","","","","662-0956","兵庫県西宮市下葭原町1-32 613","","","","","","","","","","","","","","","7120002057004","","","",""
"株式会社ｉ－ｇｒａｐｈ","8810823075793","","","","","","","799-0703","愛媛県四国中央市土居町藤原1番耕地277-8","","","","","","","","","","","","","","","7500001016260","","","",""
"株式会社アイケイワイ","2530579430767","","","","","","","110-0015","東京都台東区東上野二丁目13-8 アルカディア上野ビル8階","","","","","","","","","","","","","","","8011501014315","","","",""
"有限会社アイケープラン","4435245562135","","","","","","","981-1203","宮城県名取市閖上中央二丁目21-5","","","","","","","","","","","","","","","5370802001914","","","",""
"株式会社アイコー印刷","8941582403673","","","","","","","101-0047","東京都千代田区内神田二丁目7-3","","","","","","","","","","","","","","","6010001009414","","","",""
"株式会社愛広","4174073565029","","","","","","","720-0092","広島県福山市山手町五丁目29-19","","","","","","","","","","","","","","","9240001029683","","","",""
"株式会社愛甲社","7494090542405","","","","","","","161-0031","東京都新宿区西落合一丁目26-6","","","","","","","","","","","","","","","3011101000117","","","",""
"株式会社愛光社","2825270406641","","","","","","","860-0833","熊本県熊本市南区平成一丁目11-10","","","","","","","","","","","","","","","2330001007579","","","",""
"アイコー企画印刷株式会社","9825144226171","","","","","","","162-0814","東京都新宿区新小川町4-8","","","","","","","","","","","","","","","1011101000110","","","",""
"アイコーグラビヤ株式会社","7935098201989","","","","","","","273-0128","千葉県鎌ケ谷市くぬぎ山三丁目11-28","","","","","","","","","","","","","","","4040001027984","","","",""
"株式会社アイコス","2878487293240","","","","","","","570-0032","大阪府守口市菊水通一丁目15-5","","","","","","","","","","","","","","","6120001000007","","","",""
"有限会社アイコープロセス","2507196784960","","","","","","","493-8001","愛知県一宮市北方町北方狐塚郷306","","","","","","","","","","","","","","","9180002075460","","","",""
"株式会社アイ・コーポレーション","6667137529307","","","","","","","143-0016","東京都大田区大森北三丁目24-22","","","","","","","","","","","","","","","9010801000123","","","",""
"株式会社アイ・コーポレーション","1678804108259","","","","","","","160-0008","東京都新宿区四谷三栄町5-7","","","","","","","","","","","","","","","5011101032117","","","",""
"アイサーフ株式会社","7497686070137","","","","","","","368-0001","埼玉県秩父市黒谷234-2","","","","","","","","","","","","","","","3030001091306","","","",""
"有限会社アイザック","1511485794403","","","","","","","010-0044","秋田県秋田市横森一丁目19-20","","","","","","","","","","","","","","","3410002004062","","","",""
"株式会社アイザワ","2936381964512","","","","","","","444-2147","愛知県岡崎市西蔵前町岩鼻11-14","","","","","","","","","","","","","","","8180301000046","","","",""
"有限会社愛山フォーム印刷","5187402271840","","","","","","","501-6227","岐阜県羽島市正木町曲利1343","","","","","","","","","","","","","","","8200002010291","","","",""
"アイシー印刷株式会社","3118918334230","","","","","","","663-8113","兵庫県西宮市甲子園口二丁目6","","","","","","","","","","","","","","","6140001067837","","","",""
"有限会社アイシー製本印刷","7665720372430","","","","","","","263-0004","千葉県千葉市稲毛区六方町114-3","","","","","","","","","","","","","","","6040002017504","","","",""
"有限会社相昇印刷","5777191013144","","","","","","","174-0041","東京都板橋区舟渡三丁目17-11","","","","","","","","","","","","","","","2011402000196","","","",""
"有限会社アイシン印刷","2870577710585","","","","","","","454-0912","愛知県名古屋市中川区野田一丁目274","","","","","","","","","","","","","","","8180002044763","","","",""
"愛真工芸株式会社","6405544885833","","","","","","","794-0840","愛媛県今治市中寺1044","","","","","","","","","","","","","","","1500001011036","","","",""
"株式会社愛新舎印刷所","1858367949638","","","","","","","792-0021","愛媛県新居浜市泉宮町8-23","","","","","","","","","","","","","","","2500001009574","","","",""
"株式会社アイジイ","2635556817417","","","","","","","531-0072","大阪府大阪市北区豊崎四丁目6-3 クレピス21(415号室)","","","","","","","","","","","","","","","6120001059786","","","",""
"株式会社アイジャスト","9426608952819","","","","","","","102-0075","東京都千代田区三番町5-2 ビュレックス町4階","","","","","","","","","","","","","","","6011101048211","","","",""
"有限会社アイジングサービス","6225924972397","","","","","","","379-0135","群馬県安中市郷原2767-1","","","","","","","","","","","","","","","8070002014570","","","",""
"株式会社アイ・スィー・アイ・渡辺印刷","9067263341377","","","","","","","183-0055","東京都府中市府中町一丁目12-7 センタービル1F","","","","","","","","","","","","","","","2012401000014","","","",""
"株式会社アイストンプ","5290085281564","","","","","","","457-0845","愛知県名古屋市南区観音町九丁目52","","","","","","","","","","","","","","","4180001014052","","","",""
"有限会社アイズグラフィック","5742154926062","","","","","","","130-0021","東京都墨田区緑二丁目14-14","","","","","","","","","","","","","","","7010602001082","","","",""
"株式会社アイズプラン","6466264239710","","","","","","","339-0074","埼玉県さいたま市岩槻区大字本宿32","","","","","","","","","","","","","","","3030002067676","","","",""
