"会社名","SOC","あなたの名刺所有枚数","全体の名刺所有枚数","最終名刺交換日","コンタクト登録数","最終コンタクト日","URL","郵便番号","住所","電話番号","代表者の役職名","代表者の氏名","主業：大分類","主業：中分類","従業：大分類","従業：中分類","従業員数","資本金（千円）","売上高（百万円）","決算年月","創業年月","設立年月","株式公開区分","法人番号","会社キーワード","企業動向","導入ITサービス","会社メモ"
"有限会社ヲサキ木工所","6249463843186","","","","","","","355-0364","埼玉県比企郡ときがわ町大字西平1046","","","","","","","","","","","","","","","2030002097947","","","",""
"アイアイ家具株式会社","6870553496947","","","","","","","422-8041","静岡県静岡市駿河区中田三丁目1-13","","","","","","","","","","","","","","","8080001000001","","","",""
"アイアイファミリー株式会社","1339725957172","","","","","","","720-0543","広島県福山市藤江町5806-1","","","","","","","","","","","","","","","3240001035423","","","",""
"株式会社アイアンクリエイト","9974058776787","","","","","","","371-0123","群馬県前橋市高花台一丁目17-9","","","","","","","","","","","","","","","9070001033471","","","",""
"株式会社アイアンドエフ","1632809291761","","","","","","","130-0026","東京都墨田区両国二丁目17-3","","","","","","","","","","","","","","","5010601024747","","","",""
"株式会社Ｉ＆Ｃ","4380056721697","","","","","","","550-0011","大阪府大阪市西区阿波座二丁目4-23 西本町大五ビル2階","","","","","","","","","","","","","","","9120001135072","","","",""
"有限会社愛栄堂","9165806318716","","","","","","","981-3131","宮城県仙台市泉区七北田日野120-2","","","","","","","","","","","","","","","2370002000001","","","",""
"有限会社アイエスティー","1702554137886","","","","","","","877-0000","大分県日田市大字十二町46-1","","","","","","","","","","","","","","","3320002018781","","","",""
"株式会社アイ・エス・ティ","5121737786631","","","","","","","376-0001","群馬県桐生市菱町四丁目2472-10","","","","","","","","","","","","","","","9070001015494","","","",""
"株式会社Ｉ．Ｓ．Ｕ．ｈｏｕｓｅ上柳","1023725489610","","","","","","","179-0083","東京都練馬区平和台二丁目1-9","","","","","","","","","","","","","","","5011601001554","","","",""
"アイエム株式会社","6313647382215","","","","","","","101-0047","東京都千代田区内神田三丁目2-9 SPビル1F","","","","","","","","","","","","","","","3120001037051","","","",""
"有限会社アイエム","6570656259536","","","","","","","322-0000","栃木県鹿沼市千度1605-227","","","","","","","","","","","","","","","8060002019380","","","",""
"株式会社ＩＭコーポレーション","9247343409984","","","","","","","840-2201","佐賀県佐賀市川副町大字福富6-4","","","","","","","","","","","","","","","7300001008542","","","",""
"アイ・エル・シー株式会社","5604827592841","","","","","","","103-0001","東京都中央区日本橋小伝馬町14-5 805","","","","","","","","","","","","","","","5010001136309","","","",""
"アイカインテリア工業株式会社","8686319964132","","","","","","","485-0056","愛知県小牧市小木南一丁目99","","","","","","","","","","","","","","","1180001075469","","","",""
"株式会社相川製作所","3657843893751","","","","","","","252-1104","神奈川県綾瀬市大上一丁目3-39","","","","","","","","","","","","","","","6021001027198","","","",""
"愛岐サッシ工業株式会社","9105617949082","","","","","","","503-1300","岐阜県養老郡養老町2009番","","","","","","","","","","","","","","","1200001013120","","","",""
"アイクラフト有限会社","8973678969844","","","","","","","840-2201","佐賀県佐賀市川副町大字福富6-4","","","","","","","","","","","","","","","9300002005628","","","",""
"有限会社アイケー","3498031410020","","","","","","","557-0063","大阪府大阪市西成区南津守五丁目6-12","","","","","","","","","","","","","","","1120002019447","","","",""
"株式会社アイケーエム","5809656713307","","","","","","","263-0002","千葉県千葉市稲毛区山王町225-1","","","","","","","","","","","","","","","8040001014277","","","",""
"株式会社アイコー","3743060349067","","","","","","","441-3147","愛知県豊橋市大岩町岩田12-2","","","","","","","","","","","","","","","9180301004871","","","",""
"アイコ株式会社","8526996010540","","","","","","","478-0001","愛知県知多市八幡浦浜1-48","","","","","","","","","","","","","","","6180001007715","","","",""
"有限会社愛光社","4288518938819","","","","","","","899-0501","鹿児島県出水市野田町上名5992-4","","","","","","","","","","","","","","","4340002022129","","","",""
"有限会社愛公社","5682611710304","","","","","","","533-0002","大阪府大阪市東淀川区北江口四丁目3-37","","","","","","","","","","","","","","","5120002069868","","","",""
"アイコＣ＆Ｔ株式会社","7739939665362","","","","","","","478-0001","愛知県知多市八幡浦浜1-48","","","","","","","","","","","","","","","3180001104242","","","",""
"有限会社アイコントラクト","9227765837169","","","","","","","770-0864","徳島県徳島市大和町二丁目1-13","","","","","","","","","","","","","","","4480002001416","","","",""
"アイ－コンポロジー株式会社","7572808760551","","","","","","","141-0022","東京都品川区東五反田二丁目5-2 406","","","","","","","","","","","","","","","1010701032323","","","",""
