"会社名","SOC","あなたの名刺所有枚数","全体の名刺所有枚数","最終名刺交換日","コンタクト登録数","最終コンタクト日","URL","郵便番号","住所","電話番号","代表者の役職名","代表者の氏名","主業：大分類","主業：中分類","従業：大分類","従業：中分類","従業員数","資本金（千円）","売上高（百万円）","決算年月","創業年月","設立年月","株式公開区分","法人番号","会社キーワード","企業動向","導入ITサービス","会社メモ"
"有限会社ヲサキ木工所","6249463843186","","","","","","","355-0364","埼玉県比企郡ときがわ町大字西平1046","","","","","","","","","","","","","","","2030002097947","","","",""
"アイウッド株式会社","5210397789112","","","","","","","673-0413","兵庫県三木市大塚229-1","","","","","","","","","","","","","","","4140001036042","","","",""
"株式会社ＩＳＤ","6262030411995","","","","","","","197-0803","東京都あきる野市瀬戸岡255-3","","","","","","","","","","","","","","","9013101007350","","","",""
"株式会社ＩＮＦ","1362514166162","","","","","","","420-0913","静岡県静岡市葵区瀬名川二丁目26-20","","","","","","","","","","","","","","","3080001010987","","","",""
"有限会社アイエムシー","7966504368752","","","","","","","990-0702","山形県西村山郡西川町大字海味151-2","","","","","","","","","","","","","","","9390002016245","","","",""
"相生町国産材加工生産協同組合","9960043489485","","","","","","","771-5407","徳島県那賀郡那賀町雄中原20-1","","","","","","","","","","","","","","","1480005004889","","","",""
"アイカ工業株式会社","5591540797423","","","","","","","450-0002","愛知県名古屋市中村区名駅一丁目1-1 JPタワー名古屋26階","","","","","","","","","","","","","","","6180001033620","","","",""
"アイカハリマ工業株式会社","2381361490780","","","","","","","675-2311","兵庫県加西市北条町横尾395","","","","","","","","","","","","","","","6140001076037","","","",""
"愛川町森林組合","8939775011364","","","","","","","243-0307","神奈川県愛甲郡愛川町半原1953","","","","","","","","","","","","","","","6021005003708","","","",""
"有限会社相木","2643489618337","","","","","","","914-0125","福井県敦賀市若葉町三丁目1702","","","","","","","","","","","","","","","1210002010025","","","",""
"アイジー工業株式会社","1184855636438","","","","","","","999-3700","山形県東根市大字蟹沢上縄目1816-12","","","","","","","","","","","","","","","2390001009306","","","",""
