"会社名","SOC","あなたの名刺所有枚数","全体の名刺所有枚数","最終名刺交換日","コンタクト登録数","最終コンタクト日","URL","郵便番号","住所","電話番号","代表者の役職名","代表者の氏名","主業：大分類","主業：中分類","従業：大分類","従業：中分類","従業員数","資本金（千円）","売上高（百万円）","決算年月","創業年月","設立年月","株式公開区分","法人番号","会社キーワード","企業動向","導入ITサービス","会社メモ"
"株式会社愛岐酸素","7042098091675","","","","","","","509-6103","岐阜県瑞浪市稲津町小里1732-1","","","","","","","","","","","","","","","9200001028326","","","",""
"姶建産業株式会社","1792720907656","","","","","","","899-6404","鹿児島県霧島市溝辺町麓2437","","","","","","","","","","","","","","","3340001007750","","","",""
"有限会社アイシー産業","5074462853704","","","","","","","969-1204","福島県本宮市糠沢東禅寺20","","","","","","","","","","","","","","","4380002016820","","","",""
"愛知ラインリック株式会社","5104208342585","","","","","","","441-3115","愛知県豊橋市豊清町茶屋ノ下119","","","","","","","","","","","","","","","8180301005020","","","",""
"アイティーエヌ株式会社","8002782131938","","","","","","","981-3304","宮城県富谷市ひより台一丁目44-6 セブンコート201号","","","","","","","","","","","","","","","8370001017858","","","",""
"あい・ぷろ合同会社","6968013323303","","","","","","","904-2171","沖縄県沖縄市高原一丁目10-1","","","","","","","","","","","","","","","3360003007771","","","",""
"アイワ株式会社","1358383633952","","","","","","","770-0938","徳島県徳島市明神町四丁目5","","","","","","","","","","","","","","","9480001000100","","","",""
"ＡＥＲＡ　ＥＮＥＲＧＹ株式会社","2035371158410","","","","","","","822-0001","福岡県直方市大字感田2894-5","","","","","","","","","","","","","","","5290801020576","","","",""
"アオイ化学工業株式会社","2372682784285","","","","","","","731-0141","広島県広島市安佐南区相田一丁目1-26","","","","","","","","","","","","","","","9240001000090","","","",""
"株式会社青木科学研究所","2341417168214","","","","","","","106-0032","東京都港区六本木六丁目10-1 六本木ヒルズ森タワー34階","","","","","","","","","","","","","","","2010401000414","","","",""
