"会社名","SOC","あなたの名刺所有枚数","全体の名刺所有枚数","最終名刺交換日","コンタクト登録数","最終コンタクト日","URL","郵便番号","住所","電話番号","代表者の役職名","代表者の氏名","主業：大分類","主業：中分類","従業：大分類","従業：中分類","従業員数","資本金（千円）","売上高（百万円）","決算年月","創業年月","設立年月","株式公開区分","法人番号","会社キーワード","企業動向","導入ITサービス","会社メモ"
"有限会社アイ・アート","3468981978137","","","","","","","289-1304","千葉県山武市井之内735-3","","","","","","","","","","","","","","","9040002080045","","","",""
"ＩＨＥ　Ｉｍｐｏｒｔｅｒ株式会社","5832390627069","","","","","","","270-2266","千葉県松戸市常盤平西窪町1-18","","","","","","","","","","","","","","","5040001093324","","","",""
"株式会社Ｉ．Ｓ","8300446084907","","","","","","","871-0162","大分県中津市大字永添2684-16","","","","","","","","","","","","","","","6320001014647","","","",""
"株式会社アイエス","8957592142573","","","","","","","854-0123","長崎県諫早市天神町1258","","","","","","","","","","","","","","","1310001009074","","","",""
"有限会社アイエス","7204148743453","","","","","","","309-1635","茨城県笠間市稲田1229-2","","","","","","","","","","","","","","","1050002009950","","","",""
"株式会社アイエスシー","8622874530068","","","","","","","963-7754","福島県田村郡三春町字化粧坂89-1","","","","","","","","","","","","","","","1380001007889","","","",""
"株式会社アイ・エフ・ブイ","2843899676626","","","","","","","563-0041","大阪府池田市満寿美町6-20","","","","","","","","","","","","","","","6120901019352","","","",""
"株式会社アイエム","8029485359822","","","","","","","104-0031","東京都中央区京橋二丁目8-1 八重洲中央ビル6F","","","","","","","","","","","","","","","8010001095007","","","",""
"アイエム建材株式会社","2174489627368","","","","","","","106-0032","東京都港区六本木六丁目8-15 第二五月ビル401","","","","","","","","","","","","","","","6020001067403","","","",""
"ＩＭＣ株式会社","3703265527984","","","","","","","277-0005","千葉県柏市柏四丁目10-1 402号","","","","","","","","","","","","","","","1040001101362","","","",""
"株式会社Ｉ・Ｍ商会","4784781618815","","","","","","","507-0813","岐阜県多治見市滝呂町七丁目50-1","","","","","","","","","","","","","","","4200001031581","","","",""
