"会社名","SOC","あなたの名刺所有枚数","全体の名刺所有枚数","最終名刺交換日","コンタクト登録数","最終コンタクト日","URL","郵便番号","住所","電話番号","代表者の役職名","代表者の氏名","主業：大分類","主業：中分類","従業：大分類","従業：中分類","従業員数","資本金（千円）","売上高（百万円）","決算年月","創業年月","設立年月","株式公開区分","法人番号","会社キーワード","企業動向","導入ITサービス","会社メモ"
"株式会社あをい染所","3130408578330","","","","","","","604-8182","京都府京都市中京区大阪材木町691 メロディーハイム堺町407号","","","","","","","","","","","","","","","5130001019757","","","",""
"アァートヒル殖産株式会社","8654914924515","","","","","","","675-0017","兵庫県加古川市野口町良野58-1","","","","","","","","","","","","","","","8140001045907","","","",""
"有限会社アイ","8941006187690","","","","","","","328-0014","栃木県栃木市泉町23-16","","","","","","","","","","","","","","","1060002031598","","","",""
"有限会社あい・あい","9388110173268","","","","","","","602-8484","京都府京都市上京区蛭子町657","","","","","","","","","","","","","","","8130002022848","","","",""
"株式会社アイアム","7219644911715","","","","","","","900-0002","沖縄県那覇市曙一丁目20-20","","","","","","","","","","","","","","","9360001002785","","","",""
"株式会社アイ・アール・ジェイ","8811267869605","","","","","","","496-0946","愛知県愛西市立田町前田面2-1","","","","","","","","","","","","","","","2180001097520","","","",""
"有限会社アイエー","9463686798566","","","","","","","522-0242","滋賀県犬上郡甲良町大字尼子516","","","","","","","","","","","","","","","5160002007816","","","",""
"有限会社Ｉ．Ｓ．Ｍ","8080153247482","","","","","","","151-0053","東京都渋谷区代々木二丁目23-1 ニューステートメナー844","","","","","","","","","","","","","","","5011002028478","","","",""
"有限会社アイエスオー","4405766188943","","","","","","","454-0912","愛知県名古屋市中川区野田三丁目224","","","","","","","","","","","","","","","2180002017213","","","",""
"株式会社アイ・エス・ケー・","9928586764281","","","","","","","541-0055","大阪府大阪市中央区船場中央三丁目3-9 118号","","","","","","","","","","","","","","","4120001073104","","","",""
"株式会社ＩＳＫ","2253281283646","","","","","","","520-2276","滋賀県大津市里五丁目3-2","","","","","","","","","","","","","","","8160001001255","","","",""
"株式会社アイエスジェイエンタープライズ","5250667213945","","","","","","","501-1149","岐阜県岐阜市上尻毛八幡133-4","","","","","","","","","","","","","","","5200001012829","","","",""
"株式会社ＩＳＺＫ","3038800249885","","","","","","","497-0036","愛知県海部郡蟹江町須成西四丁目28","","","","","","","","","","","","","","","8180001099437","","","",""
"株式会社Ｉ．Ｓ．Ｔ研究所","6535771143583","","","","","","","520-2153","滋賀県大津市一里山五丁目13-13","","","","","","","","","","","","","","","8200001029267","","","",""
"株式会社Ｉ・Ｓ・Ｐマルヤマ","7239136449797","","","","","","","520-0232","滋賀県大津市真野四丁目17-47","","","","","","","","","","","","","","","7160001017954","","","",""
"株式会社アイエスワン","9545513492504","","","","","","","453-0851","愛知県名古屋市中村区畑江通一丁目15-1","","","","","","","","","","","","","","","2180001064074","","","",""
"株式会社アイエヌ","7117773481334","","","","","","","861-1306","熊本県菊池市大琳寺28-1","","","","","","","","","","","","","","","3330001009582","","","",""
"株式会社ＩＮＩ","7354849196630","","","","","","","910-1313","福井県吉田郡永平寺町石上1-25","","","","","","","","","","","","","","","4210001014750","","","",""
"ＩＮＥエンジニアリング株式会社","9631380115874","","","","","","","214-0023","神奈川県川崎市多摩区長尾一丁目17-15","","","","","","","","","","","","","","","1020001079667","","","",""
"有限会社アイ・エヌ・ジー","7010749311043","","","","","","","640-8135","和歌山県和歌山市鷹匠町一丁目17","","","","","","","","","","","","","","","5170002000101","","","",""
"株式会社ＩＮＧ","9914759293384","","","","","","","910-3604","福井県福井市グリーンハイツ四丁目175","","","","","","","","","","","","","","","3210001008522","","","",""
"株式会社アイエフ","3483282354357","","","","","","","997-0011","山形県鶴岡市宝田二丁目9-38-11","","","","","","","","","","","","","","","4390001008297","","","",""
"株式会社アイ・エフ・ビー","3163007610027","","","","","","","541-0056","大阪府大阪市中央区久太郎町四丁目1-3","","","","","","","","","","","","","","","9120001080715","","","",""
"ＩＭＳテクノ株式会社","2252256759090","","","","","","","503-2303","岐阜県安八郡神戸町大字安次700","","","","","","","","","","","","","","","4200001014594","","","",""
"株式会社ＩＭＦ","3253755166330","","","","","","","249-0007","神奈川県逗子市新宿五丁目1-10 314","","","","","","","","","","","","","","","5010001170282","","","",""
"株式会社アイ・エム・ジー","1901658634705","","","","","","","999-5103","山形県新庄市大字泉田高台新田4102-17","","","","","","","","","","","","","","","1390001008515","","","",""
"株式会社アイオワオフィス","8540896954726","","","","","","","460-0012","愛知県名古屋市中区千代田三丁目31-30 サンパーク鶴舞公園南1401号室","","","","","","","","","","","","","","","7180001089661","","","",""
"株式会社愛科ジャパン","2852824864584","","","","","","","170-0012","東京都豊島区上池袋一丁目32-20 201号","","","","","","","","","","","","","","","6010001074697","","","",""
"アイカーボン株式会社","9559786052746","","","","","","","031-0031","青森県八戸市大字番町25 名久井サンポートビル304号","","","","","","","","","","","","","","","7420001014520","","","",""
"相川工業株式会社","7395817111368","","","","","","","706-0021","岡山県玉野市和田一丁目10-7","","","","","","","","","","","","","","","9260001022133","","","",""
"相川染工株式会社","5674221667405","","","","","","","838-0068","福岡県朝倉市甘木1735","","","","","","","","","","","","","","","2290001043901","","","",""
"愛川友禅有限会社","1564915132367","","","","","","","615-0904","京都府京都市右京区梅津堤上町33","","","","","","","","","","","","","","","2130002000017","","","",""
"有限会社アイガー・ニット","9131124614723","","","","","","","699-1622","島根県仁多郡奥出雲町下阿井2855","","","","","","","","","","","","","","","3280002011618","","","",""
"有限会社アイ企画","9043379971921","","","","","","","166-0012","東京都杉並区和田三丁目27-9","","","","","","","","","","","","","","","3011302000139","","","",""
"有限会社アイ企画","1307266145878","","","","","","","541-0058","大阪府大阪市中央区南久宝寺町二丁目3-6","","","","","","","","","","","","","","","9120002061557","","","",""
"株式会社アイクリア","9087774238411","","","","","","","604-8362","京都府京都市中京区松浦町862","","","","","","","","","","","","","","","8130001026354","","","",""
"株式会社アイクロス","7290774909614","","","","","","","560-0081","大阪府豊中市新千里北町三丁目5-3","","","","","","","","","","","","","","","3120901021906","","","",""
"株式会社アイケー","8005104405412","","","","","","","912-0416","福井県大野市開発14-20-1","","","","","","","","","","","","","","","8210001009680","","","",""
"株式会社アイケー","8665974600712","","","","","","","501-3771","岐阜県美濃市大矢田125-7","","","","","","","","","","","","","","","4200001018918","","","",""
"有限会社アイケー加工","5826693182793","","","","","","","319-0206","茨城県笠間市安居2600-11","","","","","","","","","","","","","","","7050002010515","","","",""
"ＩＫＫ株式会社","3397430390544","","","","","","","929-1100","石川県かほく市遠塚ロ36-15","","","","","","","","","","","","","","","3220001018058","","","",""
"株式会社愛光プリント","8623339642244","","","","","","","794-0081","愛媛県今治市阿方甲299","","","","","","","","","","","","","","","4500001011025","","","",""
"有限会社アイコーソーイング","2825295694083","","","","","","","690-2701","島根県雲南市掛合町掛合1805-1","","","","","","","","","","","","","","","7280002011787","","","",""
"アイ・コーティング株式会社","1575428945630","","","","","","","610-0301","京都府綴喜郡井手町大字多賀東北河原33","","","","","","","","","","","","","","","3130001037785","","","",""
"株式会社アイコーポレイション","7387756013031","","","","","","","596-0802","大阪府岸和田市西大路町88-8","","","","","","","","","","","","","","","6120101045736","","","",""
"株式会社ｉ．ｓｉｇｎ","8094795355813","","","","","","","151-0051","東京都渋谷区千駄ケ谷二丁目1-6 マーシュストーン原宿5階","","","","","","","","","","","","","","","9011001092083","","","",""
"有限会社相沢織物加工場","4051615345665","","","","","","","430-0903","静岡県浜松市中央区助信町41-16","","","","","","","","","","","","","","","8080402000145","","","",""
"有限会社相澤染工場","9647286908351","","","","","","","340-0823","埼玉県八潮市大字古新田155","","","","","","","","","","","","","","","8030002046361","","","",""
"株式会社アイシーエム","8550549886995","","","","","","","949-6413","新潟県南魚沼市小木六207-2","","","","","","","","","","","","","","","9110001026132","","","",""
"有限会社アイシーモード","3780140136767","","","","","","","859-2123","長崎県南島原市有家町原尾3075-1","","","","","","","","","","","","","","","4310002017833","","","",""
"株式会社愛昌","5271249545926","","","","","","","462-0021","愛知県名古屋市北区成願寺二丁目3-45","","","","","","","","","","","","","","","9180001106183","","","",""
"株式会社愛祥","6224320485106","","","","","","","851-2206","長崎県長崎市三京町646-49 オフィスパレア長崎","","","","","","","","","","","","","","","9310001013639","","","",""
"株式会社アイショウ","6073362415335","","","","","","","799-1507","愛媛県今治市東村南二丁目6-6","","","","","","","","","","","","","","","7500001019486","","","",""
