"会社名","SOC","あなたの名刺所有枚数","全体の名刺所有枚数","最終名刺交換日","コンタクト登録数","最終コンタクト日","URL","郵便番号","住所","電話番号","代表者の役職名","代表者の氏名","主業：大分類","主業：中分類","従業：大分類","従業：中分類","従業員数","資本金（千円）","売上高（百万円）","決算年月","創業年月","設立年月","株式公開区分","法人番号","会社キーワード","企業動向","導入ITサービス","会社メモ"
"ゑびす精工株式会社","8513601416224","","","","","","","592-8341","大阪府堺市西区浜寺船尾町東二丁29-2","","","","","","","","","","","","","","","4120101000610","","","",""
"株式会社ヱフジー関西","4564428167352","","","","","","","630-8301","奈良県奈良市高畑町1504","","","","","","","","","","","","","","","3120001007087","","","",""
"あい株式会社","4152005110525","","","","","","","721-0952","広島県福山市曙町一丁目15-3-4","","","","","","","","","","","","","","","2240001035548","","","",""
"株式会社ＩＲＬシステム","5930504900988","","","","","","","570-0079","大阪府守口市金下町二丁目3-7 706号","","","","","","","","","","","","","","","6120001192380","","","",""
"アイ・アール・ティー株式会社","1681049241320","","","","","","","470-0162","愛知県愛知郡東郷町大字春木岩ケ根8","","","","","","","","","","","","","","","5180001067454","","","",""
"株式会社アイアンエンジニアリング","1344679846301","","","","","","","444-0951","愛知県岡崎市北野町高塚52","","","","","","","","","","","","","","","1180301000003","","","",""
"株式会社アイアン・カウボーイ","3396741293366","","","","","","","435-0004","静岡県浜松市東区中野町601","","","","","","","","","","","","","","","2080401011173","","","",""
"有限会社アイアンワークニシオ","5660728166587","","","","","","","799-3105","愛媛県伊予市下三谷772-4","","","","","","","","","","","","","","","9500002008008","","","",""
"株式会社アイ・イー・シー","4349169426798","","","","","","","146-0095","東京都大田区多摩川一丁目3-5","","","","","","","","","","","","","","","1010801000080","","","",""
"株式会社アイ・イー・シー","1493217112021","","","","","","","415-0304","静岡県賀茂郡南伊豆町加納権現569","","","","","","","","","","","","","","","6080101014712","","","",""
"株式会社アイヴィークラフト","7503405015110","","","","","","","573-0016","大阪府枚方市村野本町16-28","","","","","","","","","","","","","","","5120001185988","","","",""
"有限会社相栄","1719818735545","","","","","","","710-0803","岡山県倉敷市中島1817-6","","","","","","","","","","","","","","","6260002016070","","","",""
"株式会社IHIインフラスクエア","9012600799118","","","","","","","590-0977","大阪府堺市堺区大浜西町3","","","","","","","","","","","","","","","5120101023932","","","",""
"有限会社アイエイト","8020339615997","","","","","","","720-0824","広島県福山市多治米町六丁目10-7","","","","","","","","","","","","","","","3240002039489","","","",""
"アイエー工機株式会社","8182826921552","","","","","","","410-0874","静岡県沼津市松長779","","","","","","","","","","","","","","","9080101000016","","","",""
"株式会社アイエス","1262251301528","","","","","","","458-0815","愛知県名古屋市緑区徳重四丁目611","","","","","","","","","","","","","","","7180001064177","","","",""
