"会社名","SOC","あなたの名刺所有枚数","全体の名刺所有枚数","最終名刺交換日","コンタクト登録数","最終コンタクト日","URL","郵便番号","住所","電話番号","代表者の役職名","代表者の氏名","主業：大分類","主業：中分類","従業：大分類","従業：中分類","従業員数","資本金（千円）","売上高（百万円）","決算年月","創業年月","設立年月","株式公開区分","法人番号","会社キーワード","企業動向","導入ITサービス","会社メモ"
"あい株式会社","4152005110525","","","","","","","721-0952","広島県福山市曙町一丁目15-3-4","","","","","","","","","","","","","","","2240001035548","","","",""
"株式会社アイアン・カウボーイ","3396741293366","","","","","","","435-0004","静岡県浜松市東区中野町601","","","","","","","","","","","","","","","2080401011173","","","",""
"株式会社ＩＨＩキャスティングス","8795706609426","","","","","","","196-0005","東京都昭島市代官山三丁目2-1 IHI昭島事務所西棟内","","","","","","","","","","","","","","","6012801007002","","","",""
"株式会社アイエス","3953617017235","","","","","","","584-0069","大阪府富田林市錦織東二丁目12-8","","","","","","","","","","","","","","","6120101057624","","","",""
"株式会社ＩＳＳ富士鍛","7028205325620","","","","","","","781-6741","高知県室戸市羽根町甲1384-1","","","","","","","","","","","","","","","8120001029738","","","",""
"株式会社ＩＳＳ山崎機械","3973504396603","","","","","","","520-3203","滋賀県湖南市日枝町3-2","","","","","","","","","","","","","","","9160001004975","","","",""
"株式会社ＩＳＭ","4217880965850","","","","","","","737-0078","広島県呉市平原町8-21","","","","","","","","","","","","","","","9240001027588","","","",""
"株式会社アイエス・サービス","6538953986773","","","","","","","372-0842","群馬県伊勢崎市馬見塚町572-1","","","","","","","","","","","","","","","5070001015358","","","",""
"アイエス産業株式会社","6014940679708","","","","","","","573-1178","大阪府枚方市渚西一丁目28-6","","","","","","","","","","","","","","","9120001147299","","","",""
"株式会社Ｉ・Ｓ・Ｔ","1890988337010","","","","","","","029-4431","岩手県奥州市衣川田中64-4","","","","","","","","","","","","","","","1400601000893","","","",""
"アイエステック株式会社","5219686003187","","","","","","","541-0047","大阪府大阪市中央区淡路町三丁目1-8","","","","","","","","","","","","","","","9120001166398","","","",""
"有限会社アイ・エヌ・イー","9840113560475","","","","","","","154-0022","東京都世田谷区梅丘二丁目24-1","","","","","","","","","","","","","","","1010902000046","","","",""
"アイエヌジ商事株式会社","7692078051645","","","","","","","547-0002","大阪府大阪市平野区加美東四丁目3-47","","","","","","","","","","","","","","","4120001019346","","","",""
"株式会社アイ・エム・エス","1143254325365","","","","","","","319-1112","茨城県那珂郡東海村大字村松3129-13","","","","","","","","","","","","","","","8050001035025","","","",""
"株式会社アイ・エム・シー","1791403013130","","","","","","","737-0822","広島県呉市築地町5-17","","","","","","","","","","","","","","","8240001025510","","","",""
"アイオイ鋼管株式会社","5984957727112","","","","","","","470-2102","愛知県知多郡東浦町大字緒川上米田18-1","","","","","","","","","","","","","","","2180001092785","","","",""
"有限会社相方鉄工所","1984821208932","","","","","","","720-0202","広島県福山市鞆町後地白茅26-138","","","","","","","","","","","","","","","3240002038994","","","",""
"アイキン産業株式会社","5575729860760","","","","","","","457-0076","愛知県名古屋市南区道全町二丁目29-1","","","","","","","","","","","","","","","7180001013927","","","",""
"愛岐工業株式会社","7805442713049","","","","","","","509-7201","岐阜県恵那市大井町2087-10","","","","","","","","","","","","","","","3200001023613","","","",""
"愛基鉄工株式会社","5639344288187","","","","","","","507-0827","岐阜県多治見市平和町八丁目18","","","","","","","","","","","","","","","8200001020432","","","",""
