"会社名","SOC","あなたの名刺所有枚数","全体の名刺所有枚数","最終名刺交換日","コンタクト登録数","最終コンタクト日","URL","郵便番号","住所","電話番号","代表者の役職名","代表者の氏名","主業：大分類","主業：中分類","従業：大分類","従業：中分類","従業員数","資本金（千円）","売上高（百万円）","決算年月","創業年月","設立年月","株式公開区分","法人番号","会社キーワード","企業動向","導入ITサービス","会社メモ"
"アアベックス株式会社","5934118986865","","","","","","","340-0164","埼玉県幸手市香日向二丁目4-15","","","","","","","","","","","","","","","6030001032109","","","",""
"株式会社アーアル研究所","7864928284302","","","","","","","029-0521","岩手県一関市大東町渋民田中1","","","","","","","","","","","","","","","7400501000600","","","",""
"Ｉｔｒｏｎ　Ｊａｐａｎ株式会社","3869680878498","","","","","","","100-0005","東京都千代田区丸の内二丁目3-2 郵船ビルディング1階","","","","","","","","","","","","","","","9010001152376","","","",""
"株式会社Ｉ＆Ｉ","4393792280039","","","","","","","175-0083","東京都板橋区徳丸三丁目24-5","","","","","","","","","","","","","","","6013301014884","","","",""
"株式会社アイ・イー・シー","1493217112021","","","","","","","415-0304","静岡県賀茂郡南伊豆町加納権現569","","","","","","","","","","","","","","","6080101014712","","","",""
"株式会社アイ・ウィル","1921438177508","","","","","","","335-0021","埼玉県戸田市大字新曽2314","","","","","","","","","","","","","","","1011201015495","","","",""
"株式会社アイエー","8837202638869","","","","","","","252-0216","神奈川県相模原市中央区清新五丁目14-20","","","","","","","","","","","","","","","5021001011005","","","",""
"アイ・エス・イーオフィスサプライ株式会社","9636709851003","","","","","","","416-0946","静岡県富士市五貫島637","","","","","","","","","","","","","","","5080101008021","","","",""
"有限会社アイ・エス・オー","4405142995054","","","","","","","245-0003","神奈川県横浜市泉区岡津町1500-2 ルネ戸塚弥生台307号","","","","","","","","","","","","","","","6020002046513","","","",""
"有限会社アイ・エス電興","9274393994567","","","","","","","570-0015","大阪府守口市梶町四丁目1-17","","","","","","","","","","","","","","","8120902008187","","","",""
"有限会社ＩＮＫ","3590870928193","","","","","","","270-0202","千葉県野田市関宿台町988","","","","","","","","","","","","","","","6040002098825","","","",""
"株式会社ＩＦＧ","8669799906076","","","","","","","989-3161","宮城県仙台市青葉区折立一丁目15-10","","","","","","","","","","","","","","","4370001013596","","","",""
"株式会社アイエムイー","3784382269206","","","","","","","507-0052","岐阜県多治見市光ケ丘一丁目159-2","","","","","","","","","","","","","","","1200001022360","","","",""
"アイエムピー株式会社","3592384684083","","","","","","","004-0812","北海道札幌市清田区美しが丘二条二丁目9-1","","","","","","","","","","","","","","","3430001077586","","","",""
"有限会社ＩＭＰ","1227685224358","","","","","","","630-0222","奈良県生駒市壱分町67-20","","","","","","","","","","","","","","","2150002004569","","","",""
"ＩＭＶ株式会社","1009428967595","","","","","","","555-0011","大阪府大阪市西淀川区竹島二丁目6-10","","","","","","","","","","","","","","","3120001059756","","","",""
"ＩＭマネジメント株式会社","6943976154682","","","","","","","197-0803","東京都あきる野市瀬戸岡497","","","","","","","","","","","","","","","9013101004868","","","",""
"アイエムメディカル株式会社","8163922154477","","","","","","","448-0853","愛知県刈谷市高松町二丁目11-1","","","","","","","","","","","","","","","2180301017582","","","",""
"有限会社アイオーテクニック","2026732257264","","","","","","","226-0027","神奈川県横浜市緑区長津田六丁目21-13 アメニティーヴィラ横浜1F","","","","","","","","","","","","","","","9012302000032","","","",""
"株式会社ＡＩＧＩ","4532293384152","","","","","","","501-6011","岐阜県羽島郡岐南町八剣北四丁目111 奥田ビル4階","","","","","","","","","","","","","","","9200001028227","","","",""
"アイゲージ株式会社","2583381832724","","","","","","","223-0057","神奈川県横浜市港北区新羽町1643","","","","","","","","","","","","","","","7020001035227","","","",""
"株式会社愛工舎","1789309971136","","","","","","","466-0826","愛知県名古屋市昭和区滝川町112-1","","","","","","","","","","","","","","","1180001001474","","","",""
"有限会社愛好堂カメラ","4175353043842","","","","","","","453-0018","愛知県名古屋市中村区佐古前町1-16","","","","","","","","","","","","","","","5180002043652","","","",""
"アイコーエンジニアリング株式会社","3980382476621","","","","","","","578-0984","大阪府東大阪市菱江二丁目15-7","","","","","","","","","","","","","","","2122001012753","","","",""
"アイコＣ＆Ｔ株式会社","7739939665362","","","","","","","478-0001","愛知県知多市八幡浦浜1-48","","","","","","","","","","","","","","","3180001104242","","","",""
"有限会社相沢製作所","9780371575912","","","","","","","340-0024","埼玉県草加市谷塚上町458-2","","","","","","","","","","","","","","","8030002043020","","","",""
"株式会社アイシー","4028378824932","","","","","","","154-0003","東京都世田谷区野沢二丁目33-15","","","","","","","","","","","","","","","4010901000110","","","",""
