"会社名","SOC","あなたの名刺所有枚数","全体の名刺所有枚数","最終名刺交換日","コンタクト登録数","最終コンタクト日","URL","郵便番号","住所","電話番号","代表者の役職名","代表者の氏名","主業：大分類","主業：中分類","従業：大分類","従業：中分類","従業員数","資本金（千円）","売上高（百万円）","決算年月","創業年月","設立年月","株式公開区分","法人番号","会社キーワード","企業動向","導入ITサービス","会社メモ"
"株式会社ヲクハタ","6669735310857","","","","","","","739-1700","広島県広島市安佐北区安佐町大字久地10170-1","","","","","","","","","","","","","","","2240001024187","","","",""
"株式会社アイ・アール・シィ","6788743562557","","","","","","","925-0375","石川県羽咋郡志賀町若葉台15-3","","","","","","","","","","","","","","","7220001020274","","","",""
"Ｉ＆Ｔニューマテリアルズ株式会社","4849505656444","","","","","","","832-0088","福岡県柳川市間1568-2","","","","","","","","","","","","","","","2290001074079","","","",""
"株式会社ＩＨＩキャスティングス","8795706609426","","","","","","","196-0005","東京都昭島市代官山三丁目2-1 IHI昭島事務所西棟内","","","","","","","","","","","","","","","6012801007002","","","",""
"株式会社ＩＨＩマスターメタル","2284315405833","","","","","","","678-0041","兵庫県相生市相生5292 IHI相生事業所内","","","","","","","","","","","","","","","4140001039689","","","",""
"株式会社ＩＦコネクト","1645431827366","","","","","","","309-1217","茨城県桜川市犬田1301-10","","","","","","","","","","","","","","","7050001032238","","","",""
"会川ダイカスト工業株式会社","8573931555428","","","","","","","171-0042","東京都豊島区高松二丁目53-12","","","","","","","","","","","","","","","5013301000092","","","",""
"愛起産業株式会社","1208085746339","","","","","","","457-0002","愛知県名古屋市南区大堀町16-23","","","","","","","","","","","","","","","8180001013926","","","",""
"株式会社アイケン","7599456195817","","","","","","","343-0106","埼玉県北葛飾郡松伏町大字大川戸3201-1","","","","","","","","","","","","","","","2030001065293","","","",""
"愛三電機株式会社","1782902701723","","","","","","","101-0021","東京都千代田区外神田一丁目12-3","","","","","","","","","","","","","","","5010001009043","","","",""
"株式会社アイザック","3142200717572","","","","","","","192-0152","東京都八王子市美山町2161-10","","","","","","","","","","","","","","","4010101000051","","","",""
"株式会社アイシーエム","9490092924864","","","","","","","578-0967","大阪府東大阪市新鴻池町12-3","","","","","","","","","","","","","","","8122001000141","","","",""
"アイシン軽金属株式会社","1039112736453","","","","","","","934-0031","富山県射水市奈呉の江12-3","","","","","","","","","","","","","","","6230001012346","","","",""
"愛伸興業株式会社","2163396627643","","","","","","","455-0044","愛知県名古屋市港区築三町一丁目18","","","","","","","","","","","","","","","3180001005928","","","",""
"有限会社愛新工業","2176351394811","","","","","","","483-8013","愛知県江南市般若町南山331","","","","","","","","","","","","","","","4180002082791","","","",""
"アイシン・メタルテック株式会社","8213995557291","","","","","","","939-0645","富山県下新川郡入善町福島615","","","","","","","","","","","","","","","4230001007942","","","",""
"相田化学工業株式会社","2373029132971","","","","","","","183-0026","東京都府中市南町六丁目36-2","","","","","","","","","","","","","","","5012401000028","","","",""
"愛知電線株式会社","5935750420212","","","","","","","456-0059","愛知県名古屋市熱田区八番二丁目17-9","","","","","","","","","","","","","","","9180001021399","","","",""
"有限会社アイチ電装","6275111829434","","","","","","","488-0024","愛知県尾張旭市井田町三丁目35","","","","","","","","","","","","","","","3180002072513","","","",""
"愛中理化工業株式会社","1004547443321","","","","","","","452-0807","愛知県名古屋市西区歌里町35","","","","","","","","","","","","","","","2180001024581","","","",""
"株式会社会津工場","3947668746367","","","","","","","968-0605","福島県南会津郡只見町大字二軒在家上タモ721-1","","","","","","","","","","","","","","","7380001019111","","","",""
"有限会社会津メタル","3743906421640","","","","","","","274-0056","千葉県船橋市神保町231-1","","","","","","","","","","","","","","","3040002031912","","","",""
"アイティマテリアル株式会社","8507858316143","","","","","","","920-0345","石川県金沢市藤江北四丁目395","","","","","","","","","","","","","","","9220001021849","","","",""
"株式会社ＩＤＫマリーン","5284879106086","","","","","","","519-0606","三重県伊勢市二見町荘1221","","","","","","","","","","","","","","","3190002008342","","","",""
"株式会社アイデン","4803882548889","","","","","","","441-1322","愛知県新城市日吉百田30-3","","","","","","","","","","","","","","","7180301023956","","","",""
"愛同工業株式会社","7361770969564","","","","","","","474-0052","愛知県大府市長草町山口51-2","","","","","","","","","","","","","","","5180001092361","","","",""
"株式会社アイニックス","4583231035796","","","","","","","399-0702","長野県塩尻市大字広丘野村1496","","","","","","","","","","","","","","","6100001015493","","","",""
"相原製鋲株式会社","8513151993220","","","","","","","370-1301","群馬県高崎市新町2084","","","","","","","","","","","","","","","3070001010278","","","",""
"ＡＩ　ＰＲＯＪＥＣＴ株式会社","7931899715041","","","","","","","761-0121","香川県高松市牟礼町牟礼678-104","","","","","","","","","","","","","","","6470001016380","","","",""
"有限会社相見砲金工場","5277963515979","","","","","","","332-0002","埼玉県川口市弥平三丁目8-11","","","","","","","","","","","","","","","1030002099829","","","",""
"株式会社アイムイー","3390455279322","","","","","","","192-0045","東京都八王子市大和田町二丁目17-11","","","","","","","","","","","","","","","3010101000077","","","",""
"株式会社葵製作所","6588506422948","","","","","","","570-0011","大阪府守口市金田町一丁目13-8","","","","","","","","","","","","","","","3120001155142","","","",""
"株式会社アオイ製作所","5425132948695","","","","","","","603-8083","京都府京都市北区上賀茂向縄手町19-1","","","","","","","","","","","","","","","8130001004244","","","",""
"株式会社葵ダイカスト","8235717867820","","","","","","","223-0057","神奈川県横浜市港北区新羽町180","","","","","","","","","","","","","","","1020001019292","","","",""
"株式会社葵テック","1391089765058","","","","","","","319-1104","茨城県那珂郡東海村大字亀下352","","","","","","","","","","","","","","","3050001022903","","","",""
"株式会社アオイ電線製作所","7566416519048","","","","","","","270-0233","千葉県野田市船形大和田983-4","","","","","","","","","","","","","","","2040001071035","","","",""
"有限会社青木ダイカスト工業","6265074426950","","","","","","","326-0831","栃木県足利市堀込町1687-1","","","","","","","","","","","","","","","2060002035160","","","",""
"有限会社アオキテクノ","7878548099963","","","","","","","335-0021","埼玉県戸田市大字新曽1843-2","","","","","","","","","","","","","","","9030002023541","","","",""
"株式会社青木電機","5831567320155","","","","","","","451-0044","愛知県名古屋市西区菊井二丁目11-12","","","","","","","","","","","","","","","4180001024571","","","",""
"株式会社青木メタル","1893791663747","","","","","","","175-0094","東京都板橋区成増三丁目25-1","","","","","","","","","","","","","","","4011401000039","","","",""
"有限会社アオ製作所","6174382320356","","","","","","","651-2405","兵庫県神戸市西区岩岡町野中1229","","","","","","","","","","","","","","","3140002004065","","","",""
"株式会社青葉商会","6512530970706","","","","","","","537-0002","大阪府大阪市東成区深江南一丁目16-21","","","","","","","","","","","","","","","6120001011532","","","",""
"株式会社青海製作所","7453593266995","","","","","","","140-0004","東京都品川区南品川一丁目4-10","","","","","","","","","","","","","","","8010701000216","","","",""
"有限会社青森ルーフ","4786228762410","","","","","","","030-0964","青森県青森市南佃二丁目15-3","","","","","","","","","","","","","","","4420002005232","","","",""
"有限会社青柳製作所","6282345091994","","","","","","","321-2332","栃木県日光市大室2048-1","","","","","","","","","","","","","","","8060002014555","","","",""
"株式会社青山製作所茨城工場","3387030705620","","","","","","","312-0036","茨城県ひたちなか市津田東二丁目1-1","","","","","","","","","","","","","","","1050001006536","","","",""
"有限会社青山電気","9785554483618","","","","","","","389-0821","長野県千曲市上山田温泉三丁目20-25","","","","","","","","","","","","","","","8100002010178","","","",""
"アカオアルミ株式会社","6468767076224","","","","","","","179-0071","東京都練馬区旭町三丁目33-1","","","","","","","","","","","","","","","5011601011140","","","",""
"赤木コーセイ株式会社","3342087185286","","","","","","","859-4813","長崎県平戸市田平町深月免110-5","","","","","","","","","","","","","","","2310001010403","","","",""
"有限会社赤城通信","6973001839700","","","","","","","376-0101","群馬県みどり市大間々町大間々693-15","","","","","","","","","","","","","","","7070002022475","","","",""
"有限会社明石軽合金工業所","3532647613570","","","","","","","673-0026","兵庫県明石市船上町5-17","","","","","","","","","","","","","","","6140002028160","","","",""
"明石工業株式会社","3299152712851","","","","","","","661-0001","兵庫県尼崎市塚口本町三丁目13-10","","","","","","","","","","","","","","","8140001047449","","","",""
"株式会社明石合銅","3151762088923","","","","","","","924-0011","石川県白山市横江町1484","","","","","","","","","","","","","","","5220001008932","","","",""
"赤司製線株式会社","8277162556014","","","","","","","116-0013","東京都荒川区西日暮里四丁目23-2 ノアビル304号","","","","","","","","","","","","","","","1011501005238","","","",""
"明石ダイカスト株式会社","8593766485386","","","","","","","675-1101","兵庫県加古郡稲美町下草谷東北野441-32","","","","","","","","","","","","","","","3140001044459","","","",""
"赤谷電気工業株式会社","3006077868254","","","","","","","957-0464","新潟県新発田市上赤谷1184","","","","","","","","","","","","","","","8010401001200","","","",""
"株式会社暁金属","5408714811780","","","","","","","632-0245","奈良県奈良市藺生町734-8","","","","","","","","","","","","","","","1150001007929","","","",""
"暁工業株式会社","7030532600022","","","","","","","124-0022","東京都葛飾区奥戸二丁目6-16","","","","","","","","","","","","","","","1011801000129","","","",""
"赤羽冶金株式会社","5243808007905","","","","","","","115-0042","東京都北区志茂五丁目37-16","","","","","","","","","","","","","","","3011501000162","","","",""
"株式会社赤堀技研","6773319604760","","","","","","","426-0036","静岡県藤枝市上青島177-3","","","","","","","","","","","","","","","4080001021728","","","",""
"株式会社アガツマ","9157089886009","","","","","","","963-8827","福島県郡山市字外河原8-6","","","","","","","","","","","","","","","4380001004396","","","",""
"秋田コード株式会社","9700243407866","","","","","","","361-0025","埼玉県行田市大字埼玉4176-5 日本カールコード工業株式会社内","","","","","","","","","","","","","","","4030001088292","","","",""
"秋田製錬株式会社","2772589264852","","","","","","","011-0911","秋田県秋田市飯島古道下川端217-9","","","","","","","","","","","","","","","4410001004517","","","",""
"株式会社アキ電子","5433372960401","","","","","","","143-0025","東京都大田区南馬込五丁目23-8","","","","","","","","","","","","","","","7010801000348","","","",""
"有限会社あきば金属工業","9825053403991","","","","","","","994-0069","山形県天童市清池東二丁目2-31","","","","","","","","","","","","","","","5390002005219","","","",""
"株式会社秋葉ダイカスト工業所","6252290666504","","","","","","","370-0072","群馬県高崎市大八木町580","","","","","","","","","","","","","","","2070001006054","","","",""
"株式会社秋谷合金鋳造所","1867787259055","","","","","","","132-0025","東京都江戸川区松江七丁目24-10","","","","","","","","","","","","","","","4011701001471","","","",""
"株式会社アクア","1333705201173","","","","","","","807-0815","福岡県北九州市八幡西区本城東四丁目5-6 403号","","","","","","","","","","","","","","","2290801013946","","","",""
"株式会社アクツ技研","4339779276300","","","","","","","332-0003","埼玉県川口市東領家二丁目6-17","","","","","","","","","","","","","","","9030001073521","","","",""
"アクティブ・レファレンス株式会社","1998578649789","","","","","","","255-0002","神奈川県中郡大磯町東町一丁目9-18","","","","","","","","","","","","","","","4021001038429","","","",""
"アクトロニクス株式会社","6769473315840","","","","","","","214-0022","神奈川県川崎市多摩区堰一丁目22-28","","","","","","","","","","","","","","","7020001075644","","","",""
"株式会社アクロジャパン","8458249211950","","","","","","","162-0066","東京都新宿区市谷台町21-9 ベルシティ21","","","","","","","","","","","","","","","1011101034843","","","",""
"アクロス株式会社","1889207948500","","","","","","","485-0000","愛知県小牧市大字西之島烏海道31","","","","","","","","","","","","","","","8180001075512","","","",""
"株式会社アクロフィック","4070576451461","","","","","","","485-0000","愛知県小牧市大字西之島北屋敷867-1","","","","","","","","","","","","","","","2180001076136","","","",""
"浅香伸管株式会社","1074294425185","","","","","","","586-0009","大阪府河内長野市木戸西町一丁目3-3","","","","","","","","","","","","","","","8120101033458","","","",""
"株式会社アサカ理研","5966749435264","","","","","","","963-0725","福島県郡山市田村町金屋マセ口47","","","","","","","","","","","","","","","7380001004435","","","",""
"株式会社浅田合金","4171427076344","","","","","","","921-8006","石川県金沢市進和町18","","","","","","","","","","","","","","","4220001000725","","","",""
"有限会社アサノ","7709562635041","","","","","","","512-8054","三重県四日市市朝明町1904","","","","","","","","","","","","","","","4190002023019","","","",""
"浅野金属工業株式会社","1063339643713","","","","","","","955-0803","新潟県三条市月岡2866","","","","","","","","","","","","","","","7110001013842","","","",""
"株式会社浅野商店","7381998159451","","","","","","","104-0033","東京都中央区新川一丁目18-2","","","","","","","","","","","","","","","6010001087591","","","",""
"株式会社浅野鉄工所","6157253596512","","","","","","","793-0006","愛媛県西条市下島山甲1140","","","","","","","","","","","","","","","4500001008855","","","",""
