"会社名","SOC","あなたの名刺所有枚数","全体の名刺所有枚数","最終名刺交換日","コンタクト登録数","最終コンタクト日","URL","郵便番号","住所","電話番号","代表者の役職名","代表者の氏名","主業：大分類","主業：中分類","従業：大分類","従業：中分類","従業員数","資本金（千円）","売上高（百万円）","決算年月","創業年月","設立年月","株式公開区分","法人番号","会社キーワード","企業動向","導入ITサービス","会社メモ"
"株式会社アイエムエフ","9205410723935","","","","","","","350-0274","埼玉県坂戸市溝端町9 2-304","","","","","","","","","","","","","","","6011101030945","","","",""
"株式会社アイカ","2475912717345","","","","","","","018-5141","秋田県鹿角市八幡平中谷地31-2","","","","","","","","","","","","","","","8410001006534","","","",""
"相川商事株式会社","2761670221522","","","","","","","111-0033","東京都台東区花川戸二丁目3-5","","","","","","","","","","","","","","","3010601008529","","","",""
"株式会社アイザワ","2640329991445","","","","","","","123-0841","東京都足立区西新井四丁目27-15","","","","","","","","","","","","","","","7011801005502","","","",""
"有限会社アイズ","4058918821852","","","","","","","668-0871","兵庫県豊岡市梶原695","","","","","","","","","","","","","","","2140002046653","","","",""
"株式会社アイズ・レザー","7717564374154","","","","","","","130-0002","東京都墨田区業平一丁目10-2 1F","","","","","","","","","","","","","","","8010601045567","","","",""
"アイソック株式会社","1567490237346","","","","","","","595-0805","大阪府泉北郡忠岡町忠岡東二丁目18-39","","","","","","","","","","","","","","","5120101053566","","","",""
"合同会社アイディアリアル","6671956914275","","","","","","","116-0014","東京都荒川区東日暮里五丁目4-10 プラビア日暮里501","","","","","","","","","","","","","","","5011003016614","","","",""
"有限会社アイパック","9966759901679","","","","","","","136-0072","東京都江東区大島八丁目40-23","","","","","","","","","","","","","","","3010602025548","","","",""
"株式会社アイビー・リミテッド","5309644363398","","","","","","","111-0051","東京都台東区蔵前三丁目14-5","","","","","","","","","","","","","","","5010501030977","","","",""
"愛美産業株式会社","1913968612799","","","","","","","919-1132","福井県三方郡美浜町佐柿57-7-1","","","","","","","","","","","","","","","1210001010884","","","",""
"有限会社アイン","5819861971815","","","","","","","130-0011","東京都墨田区石原四丁目23-6","","","","","","","","","","","","","","","3010602008395","","","",""
"有限会社アインパール","6678051223151","","","","","","","130-0021","東京都墨田区緑三丁目9-2 パーソナルステージ東両国102号室","","","","","","","","","","","","","","","6010602019885","","","",""
"株式会社アオキ","3798843813550","","","","","","","537-0024","大阪府大阪市東成区東小橋一丁目18-12","","","","","","","","","","","","","","","4120001011542","","","",""
"株式会社アオキ","5471029218457","","","","","","","111-0032","東京都台東区浅草七丁目8-11 102","","","","","","","","","","","","","","","9010501006172","","","",""
"青木安全靴製造株式会社","9085815071290","","","","","","","999-3511","山形県西村山郡河北町谷地真木123-1","","","","","","","","","","","","","","","3390001011970","","","",""
"有限会社アオキパッキング工業","5787023594177","","","","","","","174-0071","東京都板橋区常盤台一丁目63-10","","","","","","","","","","","","","","","1011402000172","","","",""
"株式会社ａｏｙａｍａ　ＦＵＪＩ","5766693725281","","","","","","","151-0051","東京都渋谷区千駄ケ谷三丁目53-17 507号","","","","","","","","","","","","","","","3011001096817","","","",""
"株式会社ＡＫＡＩＳＨＩ","1125363769545","","","","","","","421-0103","静岡県静岡市駿河区丸子6955-3","","","","","","","","","","","","","","","1080001010139","","","",""
"阿川ランドセル株式会社","2169665690551","","","","","","","544-0022","大阪府大阪市生野区舎利寺二丁目6-17","","","","","","","","","","","","","","","5120001016697","","","",""
"株式会社アキオ製靴","9015953830350","","","","","","","120-0044","東京都足立区千住緑町二丁目8-7","","","","","","","","","","","","","","","7011801005576","","","",""
"株式会社アキタバレリアン","1809092047650","","","","","","","012-0106","秋田県湯沢市三梨町新処43-1","","","","","","","","","","","","","","","5410001005605","","","",""
"秋元袋物工芸有限会社","9820273524875","","","","","","","136-0071","東京都江東区亀戸四丁目43-12","","","","","","","","","","","","","","","7010602001272","","","",""
"アキレス島根株式会社","6128092989099","","","","","","","699-1832","島根県仁多郡奥出雲町横田1376-1","","","","","","","","","","","","","","","4280001005636","","","",""
"アークキャピタルマネジメント株式会社","8404827058190","","","","","","","111-0033","東京都台東区花川戸二丁目3-11 インカビル1F・2F","","","","","","","","","","","","","","","2010501015452","","","",""
"有限会社アーク・クリエイティヴ","6036942777764","","","","","","","557-0024","大阪府大阪市西成区出城一丁目2-11","","","","","","","","","","","","","","","1120002054080","","","",""
"株式会社アクセスコーポレーション","8268526566137","","","","","","","153-0065","東京都目黒区中町二丁目38-27 鈴木第二ビル304号","","","","","","","","","","","","","","","3011501014286","","","",""
"アクティラビック株式会社","5164444769102","","","","","","","668-0235","兵庫県豊岡市出石町鍜冶屋245","","","","","","","","","","","","","","","4140001056387","","","",""
"アクテック株式会社","6128390196928","","","","","","","573-0102","大阪府枚方市長尾家具町三丁目10-10","","","","","","","","","","","","","","","5120001150372","","","",""
"株式会社ＡＣＴ","4770175177325","","","","","","","580-0005","大阪府松原市別所三丁目13-4","","","","","","","","","","","","","","","6120102015804","","","",""
"有限会社アクトリ","5556497569452","","","","","","","668-0862","兵庫県豊岡市香住1024-3","","","","","","","","","","","","","","","5140002045867","","","",""
"アクリエデザイン・スタジオ株式会社","8687121437154","","","","","","","101-0022","東京都千代田区神田練塀町68 ムラタヤビル1階","","","","","","","","","","","","","","","5010401115110","","","",""
"アークレザージャパン株式会社","5536820502770","","","","","","","671-0218","兵庫県姫路市飾東町庄135-6","","","","","","","","","","","","","","","4140001065909","","","",""
"株式会社アコモ","5861266718737","","","","","","","458-0922","愛知県名古屋市緑区桶狭間切戸2401","","","","","","","","","","","","","","","8180001027752","","","",""
"株式会社アサイ","6444770566329","","","","","","","521-0032","滋賀県米原市枝折152-3","","","","","","","","","","","","","","","7160001006395","","","",""
"有限会社浅井","1068633225366","","","","","","","135-0002","東京都江東区住吉一丁目13-2","","","","","","","","","","","","","","","4010602001283","","","",""
"アサカ商事株式会社","4469204040314","","","","","","","591-8008","大阪府堺市北区東浅香山町二丁228-22","","","","","","","","","","","","","","","2120101000273","","","",""
"有限会社浅原皮漉所","3871417099985","","","","","","","111-0055","東京都台東区三筋一丁目3-19","","","","","","","","","","","","","","","7010502000028","","","",""
"株式会社アサヒインターナショナル","7117788902080","","","","","","","125-0052","東京都葛飾区柴又三丁目5-14","","","","","","","","","","","","","","","3011801000003","","","",""
"旭ゴム工業株式会社","5120793682712","","","","","","","762-0012","香川県坂出市林田町3562-2","","","","","","","","","","","","","","","6470001008824","","","",""
"アサヒシューズ株式会社","3743833249036","","","","","","","830-0029","福岡県久留米市洗町1","","","","","","","","","","","","","","","9290001048324","","","",""
"株式会社アシザワ","1111053325412","","","","","","","130-0024","東京都墨田区菊川一丁目18-19 海老原ビル202号","","","","","","","","","","","","","","","6010601017502","","","",""
"アシート・コバシ株式会社","2351217003085","","","","","","","104-0031","東京都中央区京橋一丁目4-13 セントラル京橋ビル3階","","","","","","","","","","","","","","","1010001035571","","","",""
"株式会社アシノ製作所","1648050540244","","","","","","","331-0811","埼玉県さいたま市北区吉野町二丁目269-6","","","","","","","","","","","","","","","7030001000460","","","",""
"アジア・ラゲージ株式会社","5618643115038","","","","","","","101-0022","東京都千代田区神田練塀町68 ムラタヤビル2F","","","","","","","","","","","","","","","6011801019081","","","",""
"株式会社ＡＪＩＯＫＡ","4352638909349","","","","","","","103-0014","東京都中央区日本橋蛎殻町一丁目33-11","","","","","","","","","","","","","","","2010001129934","","","",""
"アジルジャパントレーディング株式会社","8971203533982","","","","","","","116-0013","東京都荒川区西日暮里一丁目49-11 アポロビル","","","","","","","","","","","","","","","3011501018444","","","",""
"株式会社アジーレ","8489117701882","","","","","","","121-0832","東京都足立区古千谷本町二丁目14-16","","","","","","","","","","","","","","","7011801030995","","","",""
"有限会社飛鳥","7149846049135","","","","","","","116-0011","東京都荒川区西尾久七丁目14-7","","","","","","","","","","","","","","","1011502000238","","","",""
"有限会社アスカ","9062325341666","","","","","","","272-0143","千葉県市川市相之川三丁目3-15","","","","","","","","","","","","","","","3040002032167","","","",""
"株式会社アスティコ","8080035575473","","","","","","","702-8004","岡山県岡山市中区江並417-1","","","","","","","","","","","","","","","9260001000254","","","",""
"有限会社アスル","7591226391032","","","","","","","123-0845","東京都足立区西新井本町三丁目10-21","","","","","","","","","","","","","","","5011802009173","","","",""
"アズマ産業株式会社","1016908665809","","","","","","","123-0842","東京都足立区栗原四丁目14-18","","","","","","","","","","","","","","","4011801013243","","","",""
"株式会社アセスジャパン","8258683030801","","","","","","","272-0142","千葉県市川市欠真間一丁目9-16","","","","","","","","","","","","","","","8010501000341","","","",""
"株式会社足立","3157624199071","","","","","","","654-0072","兵庫県神戸市須磨区千守町一丁目5-27","","","","","","","","","","","","","","","3140001017241","","","",""
"有限会社安達商店","9337347088529","","","","","","","668-0041","兵庫県豊岡市大磯町4-39","","","","","","","","","","","","","","","1140002045862","","","",""
"有限会社アチーブ","8276848350453","","","","","","","340-0024","埼玉県草加市谷塚上町738-1","","","","","","","","","","","","","","","8030002043144","","","",""
"有限会社東屋","6554942754420","","","","","","","130-0026","東京都墨田区両国一丁目1-7","","","","","","","","","","","","","","","4010602010482","","","",""
"株式会社アデルジャパン","7303993453533","","","","","","","273-0003","千葉県船橋市宮本八丁目26-18","","","","","","","","","","","","","","","4040001019511","","","",""
"アートウエルド株式会社","6274554739428","","","","","","","564-0044","大阪府吹田市南金田二丁目6-25","","","","","","","","","","","","","","","9120901005143","","","",""
"株式会社アートブラウン","3345464868650","","","","","","","814-0163","福岡県福岡市早良区干隈三丁目29-13","","","","","","","","","","","","","","","3290001039923","","","",""
"株式会社アトラス・スタジオ","3268713861730","","","","","","","111-0024","東京都台東区今戸二丁目26-6","","","","","","","","","","","","","","","9010501021477","","","",""
"株式会社アトラス製靴","8891715496067","","","","","","","125-0062","東京都葛飾区青戸四丁目9-8","","","","","","","","","","","","","","","6011801000215","","","",""
"有限会社アトリエ赤坂","6555060546521","","","","","","","704-8126","岡山県岡山市東区西大寺浜138-3","","","","","","","","","","","","","","","7260002000445","","","",""
"有限会社アトリエ英伊燈","9993044061012","","","","","","","581-0864","大阪府八尾市大字山畑115-1","","","","","","","","","","","","","","","2122002013057","","","",""
"株式会社あとりえ岡田","6155901938162","","","","","","","653-0836","兵庫県神戸市長田区神楽町二丁目3-36","","","","","","","","","","","","","","","9140001021898","","","",""
"株式会社アトリエパレット","7787981780067","","","","","","","140-0001","東京都品川区北品川二丁目25-8 104","","","","","","","","","","","","","","","3010701019005","","","",""
"アトリエビギ株式会社","7956925984308","","","","","","","130-0004","東京都墨田区本所一丁目16-10 石橋ビル1F","","","","","","","","","","","","","","","4010602028211","","","",""
"有限会社アトリエ・ヨシダ","9404661078193","","","","","","","343-0031","埼玉県越谷市大字大里735-2","","","","","","","","","","","","","","","6030002084834","","","",""
"株式会社アド","3677625777545","","","","","","","340-0822","埼玉県八潮市大字大瀬1373-18","","","","","","","","","","","","","","","7011801005700","","","",""
"有限会社アド．トランク","6332984653084","","","","","","","350-0212","埼玉県坂戸市大字石井前原2657","","","","","","","","","","","","","","","4030002092046","","","",""
"株式会社アドニス","5413107853251","","","","","","","556-0014","大阪府大阪市浪速区大国二丁目8-22","","","","","","","","","","","","","","","5120001114427","","","",""
"有限会社アドニスプラス","6722242689566","","","","","","","550-0015","大阪府大阪市西区南堀江四丁目17-18 原田ビル","","","","","","","","","","","","","","","6120002068398","","","",""
"株式会社アドバンス","5500991190067","","","","","","","340-0031","埼玉県草加市新里町301-6","","","","","","","","","","","","","","","6010001162386","","","",""
"株式会社Ａｎｉ－Ｍａｄｏｎｎａ","7076219124172","","","","","","","544-0003","大阪府大阪市生野区小路東四丁目4-17","","","","","","","","","","","","","","","2120001107656","","","",""
"株式会社アバッリ","9856106744116","","","","","","","959-3941","新潟県村上市碁石40","","","","","","","","","","","","","","","4110001036870","","","",""
