"会社名","SOC","あなたの名刺所有枚数","全体の名刺所有枚数","最終名刺交換日","コンタクト登録数","最終コンタクト日","URL","郵便番号","住所","電話番号","代表者の役職名","代表者の氏名","主業：大分類","主業：中分類","従業：大分類","従業：中分類","従業員数","資本金（千円）","売上高（百万円）","決算年月","創業年月","設立年月","株式公開区分","法人番号","会社キーワード","企業動向","導入ITサービス","会社メモ"
"株式会社アイオイ商事","2078222256093","","","","","","","770-0842","徳島県徳島市通町二丁目25 801号室","","","","","","","","","","","","","","","1480001009306","","","",""
"秋穂石材株式会社","5069050993366","","","","","","","754-1101","山口県山口市秋穂東764-1","","","","","","","","","","","","","","","7250001000026","","","",""
"有限会社愛河興業","7941345337788","","","","","","","484-0814","愛知県犬山市字高根洞6-1","","","","","","","","","","","","","","","6180002074226","","","",""
"有限会社アイケー商事","5702928429127","","","","","","","329-2337","栃木県塩谷郡塩谷町大字泉392-2","","","","","","","","","","","","","","","3060002016515","","","",""
"株式会社愛晃","2846657448916","","","","","","","507-0048","岐阜県多治見市池田町六丁目14","","","","","","","","","","","","","","","4200001022151","","","",""
"愛三工業有限会社","9505600653513","","","","","","","512-1304","三重県四日市市中野町乳母ケ懐627-75","","","","","","","","","","","","","","","8190002018956","","","",""
"アイ・サンド鉱業株式会社","8774099100994","","","","","","","901-0314","沖縄県糸満市字座波865-1","","","","","","","","","","","","","","","6360001012250","","","",""
"株式会社アイシー化工","5667676387964","","","","","","","509-6101","岐阜県瑞浪市土岐町3287-1","","","","","","","","","","","","","","","3200001022821","","","",""
"株式会社アイシンク","2438477470000","","","","","","","130-0002","東京都墨田区業平一丁目13-5","","","","","","","","","","","","","","","6010601029002","","","",""
"株式会社アイダ工業","1147874413814","","","","","","","080-1408","北海道河東郡上士幌町字上士幌東二線290","","","","","","","","","","","","","","","8460101003625","","","",""
"愛知県陶磁器工業協同組合","5413990079557","","","","","","","489-0805","愛知県瀬戸市陶原町一丁目8","","","","","","","","","","","","","","","4180005008827","","","",""
"有限会社相原建材","5582388999270","","","","","","","016-0179","秋田県能代市浅内上西山80","","","","","","","","","","","","","","","5410002010083","","","",""
"葵商事株式会社","8149779098665","","","","","","","850-0077","長崎県長崎市小瀬戸町1035","","","","","","","","","","","","","","","5310001000005","","","",""
"葵新建設株式会社","4974018935361","","","","","","","852-8117","長崎県長崎市平野町1-35","","","","","","","","","","","","","","","7310001000003","","","",""
"有限会社青木一雄石材商店","8375931626291","","","","","","","259-0202","神奈川県足柄下郡真鶴町岩171-1","","","","","","","","","","","","","","","1021002049733","","","",""
"有限会社青木建材","6530956479106","","","","","","","216-0024","神奈川県川崎市宮前区南平台8-29","","","","","","","","","","","","","","","7020002085675","","","",""
"青木建材工業株式会社","5101923798992","","","","","","","343-0045","埼玉県越谷市大字下間久里710-1","","","","","","","","","","","","","","","7030001063458","","","",""
"株式会社Ａｏｂａ　Ｌｏｇｉｓｔｉｃｓ","7539584285996","","","","","","","028-0502","岩手県遠野市青笹町中沢二地割52","","","","","","","","","","","","","","","3400001006639","","","",""
"有限会社赤沢建材","1932040009025","","","","","","","308-0853","茨城県筑西市伊讃美1962-1","","","","","","","","","","","","","","","6050002041759","","","",""
"明科建材株式会社","1996030670619","","","","","","","399-7102","長野県安曇野市明科中川手2058","","","","","","","","","","","","","","","7100001015385","","","",""
"有限会社赤須建材店","4394499842038","","","","","","","313-0049","茨城県常陸太田市天神林町2206-1","","","","","","","","","","","","","","","4050002035390","","","",""
"有限会社暁建材","1433264210056","","","","","","","253-0114","神奈川県高座郡寒川町田端1482","","","","","","","","","","","","","","","1021002009266","","","",""
"赤堀建材有限会社","7661640184794","","","","","","","399-5504","長野県木曽郡大桑村大字野尻2554-2","","","","","","","","","","","","","","","9100002027246","","","",""
"有限会社アカマツ","9892826799699","","","","","","","781-0112","高知県高知市仁井田68-3","","","","","","","","","","","","","","","4490002000210","","","",""
"有限会社赤松鉱山","9387834803075","","","","","","","869-5173","熊本県八代市二見赤松町1579-1","","","","","","","","","","","","","","","1330002025473","","","",""
"赤山興業有限会社","9655523979206","","","","","","","151-0065","東京都渋谷区大山町8-5","","","","","","","","","","","","","","","9011002000755","","","",""
