"会社名","SOC","あなたの名刺所有枚数","全体の名刺所有枚数","最終名刺交換日","コンタクト登録数","最終コンタクト日","URL","郵便番号","住所","電話番号","代表者の役職名","代表者の氏名","主業：大分類","主業：中分類","従業：大分類","従業：中分類","従業員数","資本金（千円）","売上高（百万円）","決算年月","創業年月","設立年月","株式公開区分","法人番号","会社キーワード","企業動向","導入ITサービス","会社メモ"
"株式会社藍","7628790405207","","","","","","","891-0705","鹿児島県南九州市頴娃町上別府3098","","","","","","","","","","","","","","","4340001018243","","","",""
"有限会社Ａｉエクセレント","9601944259231","","","","","","","004-0877","北海道札幌市清田区平岡七条一丁目13-25","","","","","","","","","","","","","","","3430002012170","","","",""
"有限会社アイエヌインターナショナル","6752351830000","","","","","","","651-1312","兵庫県神戸市北区有野町有野164-1","","","","","","","","","","","","","","","2140002012597","","","",""
"株式会社相生ユニビオ","8789258841829","","","","","","","445-0891","愛知県西尾市下町丸山5","","","","","","","","","","","","","","","5180301022233","","","",""
"アイオン株式会社","2518256081266","","","","","","","121-0075","東京都足立区一ツ家四丁目14-8 F1","","","","","","","","","","","","","","","2011801035660","","","",""
"有限会社アイキ","4215288342449","","","","","","","315-0051","茨城県かすみがうら市新治609-4","","","","","","","","","","","","","","","9050002014407","","","",""
"株式会社アイケア","2341224205584","","","","","","","636-0247","奈良県磯城郡田原本町大字阪手649-1","","","","","","","","","","","","","","","9150001016609","","","",""
"愛犬みちしるべ株式会社","1798058593267","","","","","","","192-0918","東京都八王子市兵衛二丁目31-4","","","","","","","","","","","","","","","5010101012013","","","",""
"アイシア株式会社","6705429824717","","","","","","","105-0014","東京都港区芝二丁目3-3 JRE芝二丁目大門ビル","","","","","","","","","","","","","","","6010401044044","","","",""
"株式会社アイス信州","2037484655528","","","","","","","395-0812","長野県飯田市松尾代田900","","","","","","","","","","","","","","","5100001022870","","","",""
"株式会社アイスターエバ","6860248593047","","","","","","","108-0073","東京都港区三田一丁目4-28 三田国際ビルヂング16F","","","","","","","","","","","","","","","6010401000550","","","",""
"株式会社アイスター商事","3152254597579","","","","","","","108-0073","東京都港区三田一丁目4-28 三田国際ビル16F","","","","","","","","","","","","","","","4010401000552","","","",""
"株式会社アイスバーグ","4772000684803","","","","","","","277-0872","千葉県柏市十余二230-44","","","","","","","","","","","","","","","8040001069486","","","",""
"有限会社アイス松本","8190549384894","","","","","","","606-8241","京都府京都市左京区田中西高原町30-4","","","","","","","","","","","","","","","4130002004627","","","",""
"株式会社アイスライン","7964864035114","","","","","","","700-0941","岡山県岡山市北区青江二丁目4-6","","","","","","","","","","","","","","","5260001000101","","","",""
"農事組合法人会田共同養鶏組合","4011773897008","","","","","","","399-7402","長野県松本市会田1566","","","","","","","","","","","","","","","9100005006313","","","",""
"愛知化製事業協業組合","9834326635659","","","","","","","490-1104","愛知県あま市西今宿平割四78","","","","","","","","","","","","","","","8180005013757","","","",""
"愛知トマト株式会社","5287663038605","","","","","","","460-0003","愛知県名古屋市中区錦三丁目14-15","","","","","","","","","","","","","","","1180001033526","","","",""
"会津酒造株式会社","1515495957963","","","","","","","967-0006","福島県南会津郡南会津町永田穴沢603","","","","","","","","","","","","","","","4380001019114","","","",""
"合資会社会津錦","8398406290510","","","","","","","969-4311","福島県喜多方市高郷町西羽賀西羽賀2524","","","","","","","","","","","","","","","3380003001962","","","",""
"株式会社アイテス","4829049680879","","","","","","","444-3435","愛知県岡崎市桜形町行河内11-1","","","","","","","","","","","","","","","9180301002421","","","",""
"株式会社相傳商店","9693228584515","","","","","","","989-2432","宮城県岩沼市中央三丁目1-24","","","","","","","","","","","","","","","2370801000300","","","",""
"アイノベックス株式会社","2039001412411","","","","","","","410-3205","静岡県伊豆市市山325","","","","","","","","","","","","","","","7080101004976","","","",""
"相原酒造株式会社","9634650172045","","","","","","","737-0152","広島県呉市仁方本町一丁目25-15","","","","","","","","","","","","","","","4240001025456","","","",""
"株式会社藍花","1151604778976","","","","","","","413-0011","静岡県熱海市田原本町7-6","","","","","","","","","","","","","","","9080101015815","","","",""
"アイプロダクツ株式会社","1817681620205","","","","","","","966-0014","福島県喜多方市関柴町西勝井戸尻48-1","","","","","","","","","","","","","","","2380001026319","","","",""
"株式会社アイベンディング","3469386815034","","","","","","","332-0006","埼玉県川口市末広三丁目12-2","","","","","","","","","","","","","","","7030001099270","","","",""
