"会社名","SOC","あなたの名刺所有枚数","全体の名刺所有枚数","最終名刺交換日","コンタクト登録数","最終コンタクト日","URL","郵便番号","住所","電話番号","代表者の役職名","代表者の氏名","主業：大分類","主業：中分類","従業：大分類","従業：中分類","従業員数","資本金（千円）","売上高（百万円）","決算年月","創業年月","設立年月","株式公開区分","法人番号","会社キーワード","企業動向","導入ITサービス","会社メモ"
"有限会社相内グリーン産業","8600418887270","","","","","","","039-4224","青森県下北郡東通村大字白糠前田44-109","","","","","","","","","","","","","","","5420002019446","","","",""
"有限会社ＩＦＦ","3203797711968","","","","","","","048-1301","北海道磯谷郡蘭越町蘭越町431","","","","","","","","","","","","","","","2430002057357","","","",""
"アイオーティカーボン株式会社","6059396192499","","","","","","","931-8406","富山県富山市松浦町9-30","","","","","","","","","","","","","","","3230001004404","","","",""
"愛興林株式会社","4579627477806","","","","","","","719-1115","岡山県総社市福井2127 桃の里101","","","","","","","","","","","","","","","7260001027919","","","",""
"会津工業株式会社","4491508681240","","","","","","","969-2701","福島県耶麻郡北塩原村大字桧原剣ケ峯1093-279","","","","","","","","","","","","","","","4380002035226","","","",""
"アイテックス株式会社","1660154626648","","","","","","","505-0027","岐阜県美濃加茂市本郷町六丁目14-25","","","","","","","","","","","","","","","3200001018290","","","",""
"有限会社アイワークス","6685772877300","","","","","","","945-0315","新潟県刈羽郡刈羽村大字上高町甲56-1","","","","","","","","","","","","","","","4110002021252","","","",""
"株式会社青い森森林開発","5609740852136","","","","","","","038-3503","青森県北津軽郡鶴田町大字鶴田生松126-12 F2","","","","","","","","","","","","","","","7420001013877","","","",""
"有限会社青木林業","7214037853106","","","","","","","322-0101","栃木県鹿沼市草久1500","","","","","","","","","","","","","","","1060002019420","","","",""
"有限会社青木林業","7976079327727","","","","","","","370-1617","群馬県多野郡上野村大字楢原甲1230","","","","","","","","","","","","","","","2070002017991","","","",""
"有限会社青木林業","5117498027695","","","","","","","329-0506","栃木県下野市橋本707","","","","","","","","","","","","","","","1060002030526","","","",""
"株式会社青葉","8265809253292","","","","","","","625-0035","京都府舞鶴市字溝尻144-1","","","","","","","","","","","","","","","8130001043201","","","",""
"青森県国有林材生産協同組合","8106876245220","","","","","","","030-0931","青森県青森市大字平新田森越12-28","","","","","","","","","","","","","","","2420005000018","","","",""
"青森県森林綜合開発株式会社","2901752235192","","","","","","","030-0813","青森県青森市松原一丁目16-25","","","","","","","","","","","","","","","3420001000020","","","",""
"有限会社青柳林業","5963876251142","","","","","","","409-0211","山梨県北都留郡小菅村5204-2","","","","","","","","","","","","","","","5090002009893","","","",""
"株式会社青山産業研究所","5312923969908","","","","","","","669-2202","兵庫県丹波篠山市東吹366-1","","","","","","","","","","","","","","","2140001092954","","","",""
"株式会社青山森林サービス","9312722963031","","","","","","","939-1321","富山県砺波市新明309-1","","","","","","","","","","","","","","","8230001009381","","","",""
"有限会社青山総合企画","9816396564814","","","","","","","041-0811","北海道函館市富岡町一丁目40-6","","","","","","","","","","","","","","","3440002007839","","","",""
"有限会社赤石林業","1482004531975","","","","","","","034-0303","青森県十和田市大字法量渕瀬115-10","","","","","","","","","","","","","","","2420002017262","","","",""
"赤城造林有限会社","5776982505394","","","","","","","378-0312","群馬県沼田市利根町根利450","","","","","","","","","","","","","","","7070002035345","","","",""
"赤坂木材株式会社","5380198245217","","","","","","","091-0023","北海道北見市留辺蘂町旭中央35-2","","","","","","","","","","","","","","","1460301000016","","","",""
"有限会社赤羽林材興業","4120339870414","","","","","","","321-2603","栃木県日光市西川206-12","","","","","","","","","","","","","","","6060002016314","","","",""
"あかりの森株式会社","2018130892647","","","","","","","689-0425","鳥取県鳥取市鹿野町今市916","","","","","","","","","","","","","","","2270001006414","","","",""
"株式会社明るい農村","1736570653414","","","","","","","723-0044","広島県三原市宗郷五丁目13-10","","","","","","","","","","","","","","","9240001046381","","","",""
"吾妻森林整備株式会社","5951120610727","","","","","","","377-1305","群馬県吾妻郡長野原町大字与喜屋151-1","","","","","","","","","","","","","","","6070001023640","","","",""
"公益財団法人秋田県林業公社","6391390833017","","","","","","","010-0931","秋田県秋田市川元山下町8-28 森林組合会館4階","","","","","","","","","","","","","","","4410005000272","","","",""
"秋田原木市場株式会社","1367491470300","","","","","","","017-0012","秋田県大館市釈迦内野崎5-1","","","","","","","","","","","","","","","4410001010250","","","",""
"有限会社秋田谷林業","9156468067264","","","","","","","037-0301","青森県北津軽郡中泊町大字今泉神山64","","","","","","","","","","","","","","","8420002011706","","","",""
"秋本産業有限会社","9026519463400","","","","","","","882-1201","宮崎県西臼杵郡五ヶ瀬町大字鞍岡2923-1","","","","","","","","","","","","","","","5350002013431","","","",""
"合同会社秋本林業","4360232114518","","","","","","","882-1201","宮崎県西臼杵郡五ヶ瀬町大字鞍岡4450","","","","","","","","","","","","","","","2350003001306","","","",""
"有限会社秋吉林業","3406946242592","","","","","","","861-1331","熊本県菊池市隈府499-1","","","","","","","","","","","","","","","6330002017549","","","",""
"阿木生産森林組合","3261410501825","","","","","","","509-7321","岐阜県中津川市阿木27-1","","","","","","","","","","","","","","","1200005008892","","","",""
"有限会社阿久津林友","2109774958206","","","","","","","321-2524","栃木県日光市柄倉134-3","","","","","","","","","","","","","","","9060002014587","","","",""
