"会社名","SOC","あなたの名刺所有枚数","全体の名刺所有枚数","最終名刺交換日","コンタクト登録数","最終コンタクト日","URL","郵便番号","住所","電話番号","代表者の役職名","代表者の氏名","主業：大分類","主業：中分類","従業：大分類","従業：中分類","従業員数","資本金（千円）","売上高（百万円）","決算年月","創業年月","設立年月","株式公開区分","法人番号","会社キーワード","企業動向","導入ITサービス","会社メモ"
"有限会社アイ・アイ・ディ","7833640496562","","","","","","","877-0000","大分県日田市大字花月4009-81","","","","","","","","","","","","","","","2320002018782","","","",""
"株式会社藍愛ファーム","7101941282418","","","","","","","771-1210","徳島県板野郡藍住町徳命新居須185","","","","","","","","","","","","","","","5480001008428","","","",""
"アイアグリファーム守谷株式会社","8833287934321","","","","","","","300-0015","茨城県土浦市北神立町2-12","","","","","","","","","","","","","","","1010001154735","","","",""
"株式会社アイ・アディールクリエーション","9823851361552","","","","","","","989-0841","宮城県刈田郡蔵王町大字小村崎西屋敷50","","","","","","","","","","","","","","","6370101002068","","","",""
"ＩＥＫかんの花卉株式会社","7672205160041","","","","","","","023-1131","岩手県奥州市江刺愛宕谷地163-1","","","","","","","","","","","","","","","2400601000827","","","",""
"ｉ．Ａｇｅｎｃｙ株式会社","6699341864443","","","","","","","465-0008","愛知県名古屋市名東区猪子石原三丁目1707","","","","","","","","","","","","","","","1150001020403","","","",""
"ＩＳＮ株式会社","1601832063330","","","","","","","681-0003","鳥取県岩美郡岩美町大字浦富397-1","","","","","","","","","","","","","","","9270001006333","","","",""
"株式会社ＩＳＦＧ・ＴＭＭＹ","1020262864215","","","","","","","212-0002","神奈川県川崎市幸区小向仲野町15-5","","","","","","","","","","","","","","","3020001110545","","","",""
"有限会社アイエスグリーン","8762156318021","","","","","","","519-0321","三重県鈴鹿市深溝町3179-97","","","","","","","","","","","","","","","4190002007632","","","",""
"有限会社アイエスケント","5808638408919","","","","","","","463-0051","愛知県名古屋市守山区小幡太田3-26","","","","","","","","","","","","","","","7180002000123","","","",""
"アイ・エス・フーズ株式会社","8444619391663","","","","","","","656-0327","兵庫県南あわじ市志知北229","","","","","","","","","","","","","","","5140001095533","","","",""
"アイ・エス・フーズ徳島株式会社","7710521875091","","","","","","","771-1504","徳島県阿波市土成町成当1320-1","","","","","","","","","","","","","","","3480001010047","","","",""
"アイエッチファーム株式会社","1084831891534","","","","","","","930-2205","富山県富山市金山新東265","","","","","","","","","","","","","","","3230001014799","","","",""
"株式会社ＩＮＥ","4606362033269","","","","","","","701-0221","岡山県岡山市南区藤田961","","","","","","","","","","","","","","","5260001028349","","","",""
"株式会社Ｉ．Ｎ．Ａ．Ｃ","2223291460845","","","","","","","663-8213","兵庫県西宮市今津上野町3-13","","","","","","","","","","","","","","","2140001091304","","","",""
"株式会社ＩＮＳ","3087159652839","","","","","","","512-0923","三重県四日市市高角町2605","","","","","","","","","","","","","","","9190005009654","","","",""
"合同会社ＩＮＯ","4791366315301","","","","","","","061-0212","北海道石狩郡当別町字金沢323","","","","","","","","","","","","","","","8430003007966","","","",""
"株式会社ＩＡＢ","4186076198455","","","","","","","799-3102","愛媛県伊予市宮下1995-1","","","","","","","","","","","","","","","8500001016508","","","",""
"株式会社Ｉ・Ｍ畜産","2911812307624","","","","","","","897-0223","鹿児島県南九州市川辺町高田3179","","","","","","","","","","","","","","","8340001012952","","","",""
"株式会社ＩＭＰＲＯＶＥ","6420599597575","","","","","","","089-2561","北海道広尾郡広尾町字野塚四線49","","","","","","","","","","","","","","","7460101005655","","","",""
