"会社名","SOC","あなたの名刺所有枚数","全体の名刺所有枚数","最終名刺交換日","コンタクト登録数","最終コンタクト日","URL","郵便番号","住所","電話番号","代表者の役職名","代表者の氏名","主業：大分類","主業：中分類","従業：大分類","従業：中分類","従業員数","資本金（千円）","売上高（百万円）","決算年月","創業年月","設立年月","株式公開区分","法人番号","会社キーワード","企業動向","導入ITサービス","会社メモ"
"株式会社ＩＲＧロジスティクス","5748169708549","","","","","","","372-0006","群馬県伊勢崎市太田町1136-9","","","","","","","","","","","","","","","1070001029287","","","",""
"株式会社ＩＡＲ","8379048588455","","","","","","","346-0003","埼玉県久喜市久喜中央一丁目1-7 セントラルヒルズ4F","","","","","","","","","","","","","","","5030001034106","","","",""
"株式会社アイ・エス・エス","7257138972670","","","","","","","272-0015","千葉県市川市鬼高四丁目2-33 NTT鬼高ビル4F","","","","","","","","","","","","","","","7010001098670","","","",""
"アイエス産業株式会社","3936809489538","","","","","","","258-0019","神奈川県足柄上郡大井町金子2580","","","","","","","","","","","","","","","6021001050019","","","",""
"株式会社アイ・エス・シー","3538814028611","","","","","","","595-0811","大阪府泉北郡忠岡町忠岡北三丁目12-15","","","","","","","","","","","","","","","2120101043594","","","",""
"有限会社アイエス物流","2559456537828","","","","","","","950-0952","新潟県新潟市中央区親松45-1","","","","","","","","","","","","","","","1110002008590","","","",""
"アイ・エスロジ株式会社","6052837309898","","","","","","","354-0001","埼玉県富士見市大字東大久保2090-1","","","","","","","","","","","","","","","3030001113340","","","",""
"有限会社アイエヌアイ運輸","8180458609040","","","","","","","957-0082","新潟県新発田市佐々木2611-6","","","","","","","","","","","","","","","2110002016741","","","",""
"有限会社アイエヌジー・トゥエンティーワン","9618244330927","","","","","","","223-0057","神奈川県横浜市港北区新羽町1089-1","","","","","","","","","","","","","","","6020002032216","","","",""
"株式会社アイエフ・サービス","5291683998942","","","","","","","530-0001","大阪府大阪市北区梅田一丁目1-3 500号","","","","","","","","","","","","","","","6120001059753","","","",""
"株式会社ＩＭＡ","7179011457585","","","","","","","311-4141","茨城県水戸市赤塚一丁目1991-8","","","","","","","","","","","","","","","1050001045914","","","",""
"Ｉ．Ｍ．クリエイト株式会社","4795956769882","","","","","","","542-0081","大阪府大阪市中央区南船場一丁目13-10","","","","","","","","","","","","","","","9120001175853","","","",""
"株式会社アイエムティ運輸","9947363498228","","","","","","","831-0007","福岡県大川市大字道海島372-18","","","","","","","","","","","","","","","5290001054441","","","",""
"株式会社アイ・エル・シー","8984249560736","","","","","","","224-0025","神奈川県横浜市都筑区早渕一丁目28-9","","","","","","","","","","","","","","","5020001086750","","","",""
"アイ・オーシー株式会社","4625456358959","","","","","","","530-0043","大阪府大阪市北区天満一丁目5-2 トリシマオフィスワンビル7F","","","","","","","","","","","","","","","7120001059736","","","",""
"アイカイ物流株式会社","7864349201219","","","","","","","490-1446","愛知県海部郡飛島村東浜二丁目1-10","","","","","","","","","","","","","","","5180001097328","","","",""
"相川運輸株式会社","1132209589648","","","","","","","920-0226","石川県金沢市粟崎町五丁目19-2","","","","","","","","","","","","","","","1220001017144","","","",""
"株式会社アイ・キューブ","1647216782148","","","","","","","330-0073","埼玉県さいたま市浦和区元町三丁目14-4","","","","","","","","","","","","","","","2012301009717","","","",""
"アイケー物流株式会社","9344586598154","","","","","","","270-1501","千葉県印旛郡栄町矢口神明二丁目3-6","","","","","","","","","","","","","","","8040001043516","","","",""
"有限会社アイコー","1007218343643","","","","","","","510-0081","三重県四日市市北町8-4","","","","","","","","","","","","","","","4190002018943","","","",""
"愛國運輸倉庫株式会社","1263453736738","","","","","","","133-0073","東京都江戸川区鹿骨一丁目5-5","","","","","","","","","","","","","","","3011701001381","","","",""
"アイシーエクスプレス株式会社","7722985469883","","","","","","","143-0004","東京都大田区昭和島二丁目4-1","","","","","","","","","","","","","","","6010801000159","","","",""
"株式会社アイシー物流","4592200685901","","","","","","","910-0801","福井県福井市寺前町18-12","","","","","","","","","","","","","","","3210001004835","","","",""
"アイジーアールいわて銀河鉄道株式会社","3616127805541","","","","","","","020-0133","岩手県盛岡市青山二丁目2-8","","","","","","","","","","","","","","","3400001002068","","","",""
"株式会社アイズ","9419489620027","","","","","","","552-0013","大阪府大阪市港区福崎二丁目7-6","","","","","","","","","","","","","","","5120901018454","","","",""
