"会社名","SOC","あなたの名刺所有枚数","全体の名刺所有枚数","最終名刺交換日","コンタクト登録数","最終コンタクト日","URL","郵便番号","住所","電話番号","代表者の役職名","代表者の氏名","主業：大分類","主業：中分類","従業：大分類","従業：中分類","従業員数","資本金（千円）","売上高（百万円）","決算年月","創業年月","設立年月","株式公開区分","法人番号","会社キーワード","企業動向","導入ITサービス","会社メモ"
"相川海運産業株式会社","1800170914302","","","","","","","295-0101","千葉県南房総市白浜町乙浜471-7","","","","","","","","","","","","","","","4040001073962","","","",""
"株式会社ＩＫＥシッピング","1031819113042","","","","","","","221-0052","神奈川県横浜市神奈川区栄町10-35 ザヨコハマタワーズイースト3706","","","","","","","","","","","","","","","3020001109819","","","",""
"愛三商船株式会社","6944287882872","","","","","","","510-0051","三重県四日市市千歳町37 埠頭ビル3階","","","","","","","","","","","","","","","3190001018160","","","",""
"愛昌汽船有限会社","9007288099334","","","","","","","794-0025","愛媛県今治市大正町六丁目1-48","","","","","","","","","","","","","","","2500002017601","","","",""
"愛鷹海運株式会社","4165275699152","","","","","","","739-2402","広島県東広島市安芸津町三津4392-104","","","","","","","","","","","","","","","5240001023236","","","",""
"株式会社アイダブリューエー","5292522345758","","","","","","","541-0056","大阪府大阪市中央区久太郎町三丁目1-27","","","","","","","","","","","","","","","2120001171066","","","",""
"株式会社愛知日新","1663787651803","","","","","","","460-0002","愛知県名古屋市中区丸の内三丁目18-28 KSビル5階","","","","","","","","","","","","","","","1180001058812","","","",""
"株式会社愛徳","2654417209328","","","","","","","745-0044","山口県周南市千代田町6-3","","","","","","","","","","","","","","","4250001008641","","","",""
"アイベックスマリン株式会社","3920578815612","","","","","","","710-0004","岡山県倉敷市西坂460-2","","","","","","","","","","","","","","","8260001016441","","","",""
"アイマリン株式会社","5435538637839","","","","","","","552-0001","大阪府大阪市港区波除三丁目9-14","","","","","","","","","","","","","","","1120001193177","","","",""
"株式会社アイメックス","1600310113225","","","","","","","107-0061","東京都港区北青山二丁目5-1 伊藤忠ビル18F","","","","","","","","","","","","","","","1010401000902","","","",""
"あいらいん株式会社","8257947190361","","","","","","","791-8017","愛媛県松山市西長戸町244-6","","","","","","","","","","","","","","","9500001018635","","","",""
"青木マリーン株式会社","7769925680091","","","","","","","108-0014","東京都港区芝四丁目6-12","","","","","","","","","","","","","","","5120001034105","","","",""
"有限会社青﨑海運","7617480136905","","","","","","","750-0017","山口県下関市細江新町1-1","","","","","","","","","","","","","","","1250002007876","","","",""
"青島海運有限会社","1493201301027","","","","","","","799-3401","愛媛県大洲市長浜甲1030-3","","","","","","","","","","","","","","","4500002012113","","","",""
"赤間商事株式会社","2276328621762","","","","","","","750-0009","山口県下関市上田中町二丁目12-1","","","","","","","","","","","","","","","4250001005028","","","",""
"阿寒観光汽船株式会社","7862312431665","","","","","","","085-0467","北海道釧路市阿寒町阿寒湖温泉一丁目5-20","","","","","","","","","","","","","","","5460001000064","","","",""
"安芸海運株式会社","7476010952415","","","","","","","530-0001","大阪府大阪市北区梅田一丁目1-3 1600号","","","","","","","","","","","","","","","7120001059876","","","",""
"秋田曳船株式会社","5679063966604","","","","","","","011-0945","秋田県秋田市土崎港西二丁目5-9","","","","","","","","","","","","","","","1410001000163","","","",""
"安芸津フェリー株式会社","3810511907974","","","","","","","739-2402","広島県東広島市安芸津町三津4215","","","","","","","","","","","","","","","8240001023241","","","",""
"アキ・マリン株式会社","2891561361362","","","","","","","732-0823","広島県広島市南区猿猴橋町6-14","","","","","","","","","","","","","","","4240001000368","","","",""
"株式会社アクアネット広島","6622852892457","","","","","","","730-0031","広島県広島市中区紙屋町二丁目2-12","","","","","","","","","","","","","","","1240001015468","","","",""
"アクアマリン・シッピング株式会社","9392162638336","","","","","","","105-0013","東京都港区浜松町二丁目4-1","","","","","","","","","","","","","","","9010401136276","","","",""
"赤穂海陸株式会社","5939831722293","","","","","","","678-0254","兵庫県赤穂市折方中水尾1513","","","","","","","","","","","","","","","5140001039993","","","",""
"浅川汽船株式会社","5594555122764","","","","","","","794-0027","愛媛県今治市南大門町三丁目5-36","","","","","","","","","","","","","","","3500001011067","","","",""
"株式会社朝汐","6325194854837","","","","","","","104-0054","東京都中央区勝どき三丁目15-3","","","","","","","","","","","","","","","5010001097484","","","",""
"旭海運有限会社","6985773421367","","","","","","","847-0824","佐賀県唐津市神田1529-1","","","","","","","","","","","","","","","4300002010905","","","",""
"朝日海運株式会社","4619635092798","","","","","","","799-2104","愛媛県今治市波方町宮崎甲316","","","","","","","","","","","","","","","5500001011073","","","",""
"旭汽船株式会社","4560882617032","","","","","","","100-0013","東京都千代田区霞が関三丁目2-1","","","","","","","","","","","","","","","5010001089028","","","",""
"旭商船株式会社","6102712872201","","","","","","","107-0052","東京都港区赤坂二丁目12-18","","","","","","","","","","","","","","","5010401000064","","","",""
"朝日石油株式会社","2933920916993","","","","","","","755-0028","山口県宇部市東本町一丁目5-8","","","","","","","","","","","","","","","7250001003391","","","",""
"旭綜合物流株式会社","6166075136935","","","","","","","224-0054","神奈川県横浜市都筑区佐江戸町236","","","","","","","","","","","","","","","5020001004695","","","",""
"旭タンカー株式会社","7082566394327","","","","","","","100-0006","東京都千代田区有楽町一丁目13-2","","","","","","","","","","","","","","","6010001008952","","","",""
"株式会社亜細亜設計","3752907841095","","","","","","","725-0025","広島県竹原市塩町三丁目4-1","","","","","","","","","","","","","","","8240001037175","","","",""
"アジアパシフィックマリン株式会社","3399184624819","","","","","","","802-0001","福岡県北九州市小倉北区浅野二丁目14-1 KMMビル7階","","","","","","","","","","","","","","","3290801008375","","","",""
"アジアマシナリーソリューションズ株式会社","8862170647499","","","","","","","601-8347","京都府京都市南区吉祥院観音堂南町1-1","","","","","","","","","","","","","","","5160001014061","","","",""
"株式会社アジアマリンファーム","2213944623041","","","","","","","103-0013","東京都中央区日本橋人形町一丁目6-9 人形町大内ビル7階","","","","","","","","","","","","","","","9010001147228","","","",""
"株式会社アジアロジバンク","4473967097754","","","","","","","542-0081","大阪府大阪市中央区南船場三丁目2-22 おおきに南船場ビル1002号","","","","","","","","","","","","","","","4120001164084","","","",""
"網地島ライン株式会社","1788645220473","","","","","","","986-0822","宮城県石巻市中央一丁目14-5","","","","","","","","","","","","","","","6370301000029","","","",""
"飛鳥海運株式会社","4935747368816","","","","","","","866-0334","熊本県天草市御所浦町牧島289","","","","","","","","","","","","","","","4330001015092","","","",""
"あすか汽船有限会社","3602874336824","","","","","","","794-0026","愛媛県今治市別宮町八丁目2-25","","","","","","","","","","","","","","","4500002020264","","","",""
"アスト株式会社","6240818671475","","","","","","","550-0011","大阪府大阪市西区阿波座一丁目4-4 野村不動産四ツ橋ビル10階","","","","","","","","","","","","","","","2120001048990","","","",""
"東海運株式会社","9250173553006","","","","","","","771-0138","徳島県徳島市川内町平石流通団地63","","","","","","","","","","","","","","","9480001000018","","","",""
"東海運株式会社","4343485703576","2","2","2025/07/15","0","","https://www.azumaship.co.jp/","104-0053","東京都中央区晴海一丁目8-12","03-6221-2201","代表取締役社長","松井伸介","運輸、郵便","倉庫","運輸、郵便","水運","500 ～ 1,000","1,000,000 ～ 10,000,000","30,000 ～ 50,000","2025/03","1917/12","1917/12","公開","4010001035123","輸出入関連サービス,海運サービス,トランクルームサービス,国内輸送サービス,国際輸送サービス,ロジスティクス,引越しサービス,トラック運送,コンテナ輸送,国際複合輸送,セメント輸送,大型貨物輸送,液体,物流企業,中央アジア,国際物流,モンゴル,ロシア,中国,倉庫,輸送","2026新卒募集企業,2027新卒インターン募集企業,2027新卒募集企業,SDGs・ESG推進企業,アジア進出企業,ホームページリニューアル推奨,中途採用企業,全省庁統一資格保有企業,内部統制・ｺﾝﾌﾟﾗｲｱﾝｽ推進企業,地域貢献活動を推進している企業,売上300億円以上,売上50億円以上,従業員500人以上,欧州進出企業,海外に関連会社を保有する企業,海外進出企業、海外取引,省エネ法対象業者,補助金受領企業,補助金受領企業情報関連","Display & Video 360,Google アナリティクス,WizLabo",""
"東汽船株式会社","8456750074097","","","","","","","799-2115","愛媛県今治市中堀二丁目7-5","","","","","","","","","","","","","","","1500001011077","","","",""
"株式会社アズーロジャパン","8429728635654","","","","","","","105-0011","東京都港区芝公園一丁目3-12","","","","","","","","","","","","","","","2120001015470","","","",""
"阿蘇海運株式会社","1413317640710","","","","","","","852-8008","長崎県長崎市曙町21-4","","","","","","","","","","","","","","","4310001000063","","","",""
"有限会社阿多田島汽船","6237004555669","","","","","","","739-0622","広島県大竹市晴海二丁目2","","","","","","","","","","","","","","","4240002037525","","","",""
"株式会社晃弘丸","7685418152395","","","","","","","854-1124","長崎県諫早市飯盛町川下1176-4","","","","","","","","","","","","","","","7310001013954","","","",""
"株式会社アトラス・マリン","2907437754467","","","","","","","105-0013","東京都港区浜松町二丁目3-21","","","","","","","","","","","","","","","3010401001816","","","",""
"株式会社アーバンマネジメント","6051939916258","","","","","","","160-0022","東京都新宿区新宿七丁目27-4 806号室","","","","","","","","","","","","","","","9010001143672","","","",""
"阿部海運株式会社","3449339110760","","","","","","","794-2301","愛媛県今治市伯方町有津甲1058-3","","","","","","","","","","","","","","","6500001019710","","","",""
"阿部汽船株式会社","4610155278831","","","","","","","794-2305","愛媛県今治市伯方町木浦甲3852-2","","","","","","","","","","","","","","","5500001012765","","","",""
"株式会社安保商店","2767978944180","","","","","","","722-0035","広島県尾道市土堂二丁目10-18","","","","","","","","","","","","","","","6240001037755","","","",""
"株式会社海士","3792449982573","","","","","","","684-0404","島根県隠岐郡海士町大字福井1375-1","","","","","","","","","","","","","","","4280001005462","","","",""
"尼崎運輸株式会社","8751455747409","","","","","","","799-0101","愛媛県四国中央市川之江町外683-13","","","","","","","","","","","","","","","3500001014524","","","",""
"株式会社天草海洋","9164298456268","","","","","","","861-6101","熊本県上天草市松島町阿村412-13","","","","","","","","","","","","","","","6330002028067","","","",""
"株式会社天草シッピング","4424434115391","","","","","","","861-6101","熊本県上天草市松島町阿村230-1","","","","","","","","","","","","","","","5330001019019","","","",""
"アマコウ海運株式会社","1685461477835","","","","","","","660-0881","兵庫県尼崎市昭和通三丁目95","","","","","","","","","","","","","","","5140001047518","","","",""
"奄美海運株式会社","3094480800721","","","","","","","892-0822","鹿児島県鹿児島市泉町16-4","","","","","","","","","","","","","","","5340001000357","","","",""
"奄美産業開発有限会社","5061949914746","","","","","","","894-0036","鹿児島県奄美市名瀬長浜町4-3","","","","","","","","","","","","","","","2340002020539","","","",""
"有限会社あみ幸","1318285609779","","","","","","","134-0013","東京都江戸川区江戸川五丁目31-6","","","","","","","","","","","","","","","4011702000613","","","",""
"有限会社あみ新","5459432614033","","","","","","","111-0052","東京都台東区柳橋一丁目3-3","","","","","","","","","","","","","","","2010502015344","","","",""
"有限会社あみ清産業","6481703778166","","","","","","","111-0043","東京都台東区駒形二丁目1-26","","","","","","","","","","","","","","","3010502000535","","","",""
"株式会社あみ貞","9145946215423","","","","","","","134-0013","東京都江戸川区江戸川四丁目4","","","","","","","","","","","","","","","1011701000369","","","",""
"株式会社網長","4408463462684","","","","","","","105-0014","東京都港区芝一丁目1-2","","","","","","","","","","","","","","","9010401065995","","","",""
"有限会社あみ弁","3097036088682","","","","","","","134-0013","東京都江戸川区江戸川四丁目20-8","","","","","","","","","","","","","","","6011702000628","","","",""
"アメシスト・シッピング株式会社","9511368899486","","","","","","","105-0013","東京都港区浜松町二丁目4-1","","","","","","","","","","","","","","","6010401136279","","","",""
"アメリカン・プレジデント・ラインズ・エルエルシー","8046033334947","","","","","","","231-0811","神奈川県横浜市中区本牧ふ頭1-10 D4ターミナル","","","","","","","","","","","","","","","7700150012263","","","",""
"アヤメ・マリン株式会社","5125982429949","","","","","","","104-0033","東京都中央区新川二丁目27-1","","","","","","","","","","","","","","","7010001162988","","","",""
"新井海運有限会社","1016443776373","","","","","","","672-0102","兵庫県姫路市家島町宮1083","","","","","","","","","","","","","","","9140002051787","","","",""
"新井産業株式会社","2035701274203","","","","","","","231-0065","神奈川県横浜市中区宮川町一丁目1-1 シーガルパレス桜木町902号室","","","","","","","","","","","","","","","4020001002634","","","",""
"株式会社荒川ライン下り","1538265734850","","","","","","","369-1305","埼玉県秩父郡長瀞町大字長瀞531-1","","","","","","","","","","","","","","","9030001091358","","","",""
"有限会社荒木工業","8348456218659","","","","","","","850-0984","長崎県長崎市鶴見台二丁目1-6","","","","","","","","","","","","","","","9310002000264","","","",""
"嵐山通船株式会社","9418067112381","","","","","","","616-8365","京都府京都市右京区嵯峨伊勢ノ上町7-1","","","","","","","","","","","","","","","7130001007826","","","",""
"ＡＬＩＤＡＤＡ株式会社","2846251485579","","","","","","","366-0801","埼玉県深谷市上野台2178-4","","","","","","","","","","","","","","","4011501026339","","","",""
"アルコール海運倉庫株式会社","3962079609033","","","","","","","103-0024","東京都中央区日本橋小舟町6-6","","","","","","","","","","","","","","","4040001076453","","","",""
"株式会社アール７","9052282871845","","","","","","","905-0406","沖縄県国頭郡今帰仁村字古宇利355","","","","","","","","","","","","","","","7360001023379","","","",""
"有限会社アルファ","5250783207786","","","","","","","895-0073","鹿児島県薩摩川内市国分寺町6583-3","","","","","","","","","","","","","","","2340002017551","","","",""
"アルファマリタイム株式会社","4997593582454","","","","","","","153-0042","東京都目黒区青葉台一丁目18-2 斎藤ビル301号","","","","","","","","","","","","","","","6013201000448","","","",""
"有津海運株式会社","4107680998645","","","","","","","794-2301","愛媛県今治市伯方町有津甲13-6","","","","","","","","","","","","","","","7500001012763","","","",""
"阿波海運有限会社","5383654857060","","","","","","","774-0004","徳島県阿南市福村町南筋58","","","","","","","","","","","","","","","4480002012685","","","",""
"粟島汽船株式会社","3944587559455","","","","","","","769-1101","香川県三豊市詫間町詫間6807-10","","","","","","","","","","","","","","","6470001010516","","","",""
