"会社名","SOC","あなたの名刺所有枚数","全体の名刺所有枚数","最終名刺交換日","コンタクト登録数","最終コンタクト日","URL","郵便番号","住所","電話番号","代表者の役職名","代表者の氏名","主業：大分類","主業：中分類","従業：大分類","従業：中分類","従業員数","資本金（千円）","売上高（百万円）","決算年月","創業年月","設立年月","株式公開区分","法人番号","会社キーワード","企業動向","導入ITサービス","会社メモ"
"有限会社アイエヌエー","9780936116587","","","","","","","594-0004","大阪府和泉市王子町三丁目10-39","","","","","","","","","","","","","","","8120102002890","","","",""
"株式会社愛知日新","1663787651803","","","","","","","460-0002","愛知県名古屋市中区丸の内三丁目18-28 KSビル5階","","","","","","","","","","","","","","","1180001058812","","","",""
"ＩＴＨ合同会社","5588940776742","","","","","","","031-0804","青森県八戸市青葉二丁目10-3","","","","","","","","","","","","","","","6420003001550","","","",""
"株式会社アイテクノ測量","7373580520899","","","","","","","590-0967","大阪府堺市堺区南半町西三丁1-18","","","","","","","","","","","","","","","9120101028325","","","",""
"アイベックスエアラインズ株式会社","2187034839346","","","","","","","136-0075","東京都江東区新砂一丁目2-3","","","","","","","","","","","","","","","5010601030068","","","",""
"アエロセンシング株式会社","3860445216162","","","","","","","540-0012","大阪府大阪市中央区谷町一丁目6-8 城西ビル7F","","","","","","","","","","","","","","","6120001083365","","","",""
"Ａｅｒｏｖｉａｓ　ｄｅ　Ｍｅｘｉｃｏ，Ｓ．Ａ　ｄｅ　Ｃ．Ｖ．","5924360471422","","","","","","","102-0083","東京都千代田区麴町三丁目5-2 ビュレックス麹町8階","","","","","","","","","","","","","","","2700150000041","","","",""
"青森ヘリサービス株式会社","6130501256137","","","","","","","039-1121","青森県八戸市卸センター一丁目16-13","","","","","","","","","","","","","","","7420001005511","","","",""
"アカギヘリコプター株式会社","1259839981893","","","","","","","136-0082","東京都江東区新木場四丁目7-15","","","","","","","","","","","","","","","9010601035625","","","",""
"株式会社アクティブエンジニア","3561240042649","","","","","","","003-0002","北海道札幌市白石区東札幌二条五丁目10-1","","","","","","","","","","","","","","","4430001041087","","","",""
"株式会社アクト","6109993158347","","","","","","","098-0475","北海道士別市多寄町三十六線東2","","","","","","","","","","","","","","","5450001007523","","","",""
"株式会社アグリスカイ仙北","7421447569263","","","","","","","014-0803","秋田県大仙市上野田道合9","","","","","","","","","","","","","","","1410001008421","","","",""
"有限会社アグリフライト大曲","3627491578036","","","","","","","014-0073","秋田県大仙市内小友仙北屋85","","","","","","","","","","","","","","","8410002012358","","","",""
"朝日航空株式会社","4180164324099","","","","","","","581-0043","大阪府八尾市空港二丁目12","","","","","","","","","","","","","","","1122001017605","","","",""
"アシアナ航空株式会社","6161094255849","","","","","","","100-0014","東京都千代田区永田町二丁目11-1","","","","","","","","","","","","","","","7700150000045","","","",""
"アジア航測株式会社","9835527885948","","","","","","","160-0023","東京都新宿区西新宿六丁目14-1 新宿グリーンタワービル15F","","","","","","","","","","","","","","","6011101000700","","","",""
"アース測量設計株式会社","3535445402052","","","","","","","329-1104","栃木県宇都宮市下岡本町2005-21","","","","","","","","","","","","","","","1060001005636","","","",""
"株式会社アトラス","8213173382622","","","","","","","690-0026","島根県松江市富士見町3-34","","","","","","","","","","","","","","","9280001000046","","","",""
"株式会社アトラス測量","3181194598207","","","","","","","401-0302","山梨県南都留郡富士河口湖町小立3876","","","","","","","","","","","","","","","8090001009537","","","",""
"有限会社アドバンスドエアー","1598285667474","","","","","","","920-0000","石川県金沢市別所町ソ76","","","","","","","","","","","","","","","8220002007427","","","",""
"ＡＶＩＯＮ　Ｉｎｔｅｒｎａｔｉｏｎａｌ　Ｊａｐａｎ株式会社","4094748021668","","","","","","","102-0072","東京都千代田区飯田橋三丁目11-25 SPROUT・IIDABASHI・3F","","","","","","","","","","","","","","","6010701028176","","","",""
"有限会社ＡＰＴＣＯ","4693128277974","","","","","","","276-0025","千葉県八千代市勝田台南二丁目11-17","","","","","","","","","","","","","","","6040002064430","","","",""
"天草エアライン株式会社","3169473374444","","","","","","","863-2114","熊本県天草市五和町城河原一丁目2080-5","","","","","","","","","","","","","","","7330001015387","","","",""
"奄美空港ターミナルビル株式会社","5018868572333","","","","","","","894-0503","鹿児島県奄美市笠利町大字和野374-4","","","","","","","","","","","","","","","9340001010476","","","",""
"株式会社アルコ技術コンサルタント","6759361035758","","","","","","","733-0812","広島県広島市西区己斐本町二丁目20-16","","","","","","","","","","","","","","","4240001000616","","","",""
"株式会社アルコネット","6970655850902","","","","","","","105-0013","東京都港区浜松町一丁目22-1","","","","","","","","","","","","","","","6010401041421","","","",""
"アルゴーシステム株式会社","2835571267760","","","","","","","060-0001","北海道札幌市中央区北一条西九丁目3-27 第三古久根ビル","","","","","","","","","","","","","","","3430001037490","","","",""
"株式会社アルファーアビエィション","9482645356755","","","","","","","108-0073","東京都港区三田三丁目1-4","","","","","","","","","","","","","","","1010401073790","","","",""
"イースター航空株式会社","8338890374659","","","","","","","102-0072","東京都千代田区飯田橋三丁目1-5 ROLES千代田飯田橋7階","","","","","","","","","","","","","","","4700150015285","","","",""
"イースト合同事務所有限会社","7721446343265","","","","","","","950-0861","新潟県新潟市東区中山七丁目29-4-5","","","","","","","","","","","","","","","1110002011487","","","",""
"出雲空港ターミナルビル株式会社","7766086309284","","","","","","","699-0551","島根県出雲市斐川町沖洲2633-1","","","","","","","","","","","","","","","5280001003399","","","",""
"岩木山ラジコン空港株式会社","3103951793094","","","","","","","036-0516","青森県黒石市相野96-8","","","","","","","","","","","","","","","9420001015624","","","",""
"株式会社インプレッシア","4960573369961","","","","","","","965-0857","福島県会津若松市柳原町四丁目5-6","","","","","","","","","","","","","","","7380001019788","","","",""
"株式会社インプレッション","3013943499713","","","","","","","240-0111","神奈川県三浦郡葉山町一色1985-1","","","","","","","","","","","","","","","2020001090714","","","",""
"有限会社ウイング","7589119601242","","","","","","","635-0816","奈良県北葛城郡広陵町大字中148-8","","","","","","","","","","","","","","","2150002009741","","","",""
"有限会社ウエマツ測量","6714456781185","","","","","","","410-0875","静岡県沼津市今沢8-16","","","","","","","","","","","","","","","5080102004985","","","",""
"牛島海運有限会社","6966224000620","","","","","","","743-0003","山口県光市大字牛島722","","","","","","","","","","","","","","","9250002016894","","","",""
"株式会社ウジョウ","7189446016811","","","","","","","700-0983","岡山県岡山市北区東島田町一丁目5-20","","","","","","","","","","","","","","","3260001000656","","","",""
"エア・インディア・リミテッド","6952906955210","","","","","","","100-0011","東京都千代田区内幸町一丁目3-3 内幸町ダイビル2階","","","","","","","","","","","","","","","2700150000223","","","",""
"エアーエキスプレス株式会社","2416972983434","","","","","","","901-0142","沖縄県那覇市字鏡水150","","","","","","","","","","","","","","","9360001000178","","","",""
"エア・カナダ","6050171627029","","","","","","","107-0052","東京都港区赤坂二丁目2-17 ニッセイ溜池山王ビル3階","","","","","","","","","","","","","","","3700150005997","","","",""
"株式会社エア・グラフ","8874952907768","","","","","","","350-0152","埼玉県比企郡川島町大字上伊草1749-1","","","","","","","","","","","","","","","5030001056505","","","",""
"株式会社エアサーブ","6166579600351","","","","","","","105-0022","東京都港区海岸一丁目16-1 ニューピア竹芝サウスタワー14階","","","","","","","","","","","","","","","7013201016625","","","",""
"株式会社エアージャパン","2186282123438","","","","","","","286-0105","千葉県成田市木の根38","","","","","","","","","","","","","","","7010801013977","","","",""
"エアソウル株式会社","4694840079547","","","","","","","103-0007","東京都中央区日本橋浜町二丁目1-10 ACN日本橋浜町ビル11階","","","","","","","","","","","","","","","1700150079184","","","",""
"エアタヒチヌイ","5800948047119","","","","","","","104-0061","東京都中央区銀座八丁目9-17 KDX銀座8丁目ビル9階","","","","","","","","","","","","","","","6700150000260","","","",""
"株式会社エアーチャータージャパン","3073547728516","","","","","","","102-0084","東京都千代田区二番町1-2","","","","","","","","","","","","","","","2010001197824","","","",""
"株式会社ＡＩＲＤＯ","7878954795495","","","","","","","060-0001","北海道札幌市中央区北一条西二丁目9 オーク札幌ビルディング8階","","","","","","","","","","","","","","","6430001021797","","","",""
"エアーフリーダムジャパン有限会社","4001144567193","","","","","","","300-1324","茨城県稲敷郡河内町源清田5684-2","","","","","","","","","","","","","","","9050002045245","","","",""
"エアプサン株式会社","9244522869147","","","","","","","105-0013","東京都港区浜松町一丁目29-9 FA小林ビル5階","","","","","","","","","","","","","","","2700150004629","","","",""
"株式会社エアリサーチ","2358968235644","","","","","","","167-0042","東京都杉並区西荻北三丁目25-2101","","","","","","","","","","","","","","","1410001010146","","","",""
"有限会社エアロサービスＴ．Ｋ．ＦＡＣＴＯＲＹ","5476962296704","","","","","","","399-8501","長野県北安曇郡松川村3363-40","","","","","","","","","","","","","","","1100002027146","","","",""
"株式会社エアロスペースナガノ","3212194299838","","","","","","","660-0892","兵庫県尼崎市東難波町三丁目22-26","","","","","","","","","","","","","","","2140001052033","","","",""
"有限会社エアロテック","2893516272766","","","","","","","468-0066","愛知県名古屋市天白区元八事五丁目214","","","","","","","","","","","","","","","6180002035178","","","",""
"エアロトヨタ株式会社","5572206217092","","","","","","","136-0082","東京都江東区新木場四丁目7-41","","","","","","","","","","","","","","","7010601041419","","","",""
"株式会社エアロワークスインターナショナル","4381807359076","","","","","","","144-0043","東京都大田区羽田四丁目3-10","","","","","","","","","","","","","","","9040001061533","","","",""
"株式会社ＥＩＫＯ　ＬＩＮＥ","8688844388965","","","","","","","286-0011","千葉県成田市玉造六丁目32-4","","","","","","","","","","","","","","","6040001045150","","","",""
"株式会社エィティティ福岡","5976168566317","","","","","","","812-0857","福岡県福岡市博多区西月隈一丁目14-45","","","","","","","","","","","","","","","9290001011785","","","",""
"株式会社エイ・テック","4287218333025","","","","","","","939-1119","富山県高岡市オフィスパーク12","","","","","","","","","","","","","","","4230001009749","","","",""
"株式会社エイテック","9850208119389","","","","","","","151-0071","東京都渋谷区本町四丁目12-7 住友不動産泉西新宿ビル6F","","","","","","","","","","","","","","","4011001059252","","","",""
"株式会社エイドプランニング","5281514661460","","","","","","","144-0032","東京都大田区北糀谷二丁目11-22","","","","","","","","","","","","","","","5010801018846","","","",""
"株式会社エイペックスインターナショナル","3625614241087","","","","","","","105-0012","東京都港区芝大門二丁目4-6 豊国ビル7F","","","","","","","","","","","","","","","8010601036772","","","",""
"株式会社ＡＰＥＸロジスティクスジャパン","4949449726953","","","","","","","104-0033","東京都中央区新川一丁目23-5 ОNESHINKAWA4階","","","","","","","","","","","","","","","9010001209176","","","",""
"栄和測量設計株式会社","5067616922061","","","","","","","813-0013","福岡県福岡市東区香椎駅前二丁目15-1","","","","","","","","","","","","","","","9290001002702","","","",""
"ＡＮＡウイングス株式会社","2015371650850","","","","","","","144-0041","東京都大田区羽田空港三丁目3-2","","","","","","","","","","","","","","","8010801020386","","","",""
"株式会社ＡＮＡエアサービス佐賀","4673103499466","","","","","","","840-2212","佐賀県佐賀市川副町大字犬井道9476-187","","","","","","","","","","","","","","","2300001001196","","","",""
"株式会社ＡＮＡエアサービス福島","1017835357469","","","","","","","963-6300","福島県石川郡玉川村大字北須釜はばき田21","","","","","","","","","","","","","","","4380001011698","","","",""
"ＡＮＡ福岡空港株式会社","8538186547320","","","","","","","812-0003","福岡県福岡市博多区大字下臼井778-1","","","","","","","","","","","","","","","7290001017355","","","",""
"株式会社Ａ・Ｆ・Ｃ","5714618029219","","","","","","","770-8022","徳島県徳島市大松町榎原外48-2","","","","","","","","","","","","","","","5480001006084","","","",""
"株式会社Ａ．Ｏ．Ｉ","2487905257937","","","","","","","420-0841","静岡県静岡市葵区上足洗一丁目7-39","","","","","","","","","","","","","","","3080001021638","","","",""
"エクセル航空株式会社","8663197161498","","","","","","","305-0011","茨城県つくば市上境992 つくばヘリポート内","","","","","","","","","","","","","","","6040001029319","","","",""
"有限会社エス・アイ・カーゴ","1820595523621","","","","","","","984-0042","宮城県仙台市若林区大和町五丁目11-32 1004号","","","","","","","","","","","","","","","6370002004667","","","",""
"エス・ジー・シー佐賀航空株式会社","3889204901437","","","","","","","840-2212","佐賀県佐賀市川副町大字犬井道9476-188","","","","","","","","","","","","","","","8300001001348","","","",""
"ＳＤ　ＪＥＴ株式会社","4977052044354","","","","","","","104-0043","東京都中央区湊三丁目13-11 SDビル","","","","","","","","","","","","","","","2010001173107","","","",""
"有限会社エーディエム","1801082066805","","","","","","","661-0047","兵庫県尼崎市西昆陽二丁目31-23","","","","","","","","","","","","","","","2140002044145","","","",""
"株式会社ＮＡＣ総建","7870108949933","","","","","","","640-8341","和歌山県和歌山市黒田39","","","","","","","","","","","","","","","9170001005122","","","",""
"株式会社エヌ・イー計測","6054812197253","","","","","","","577-0045","大阪府東大阪市西堤本通東一丁目1-1","","","","","","","","","","","","","","","5122001000895","","","",""
"株式会社エヌエスアール","2401223074825","","","","","","","258-0019","神奈川県足柄上郡大井町金子659-15","","","","","","","","","","","","","","","4021001035095","","","",""
"株式会社エヌエービー","7251757520929","","","","","","","286-0118","千葉県成田市本三里塚1001-1282","","","","","","","","","","","","","","","7040001042948","","","",""
"株式会社エヌケイ・エクスプレス","8784623409987","","","","","","","152-0035","東京都目黒区自由が丘二丁目8-5","","","","","","","","","","","","","","","5011001091196","","","",""
"株式会社エバンス・アビエーション・グランドサービス","2890927592875","","","","","","","144-0041","東京都大田区羽田空港一丁目1-4","","","","","","","","","","","","","","","3010801020333","","","",""
"愛媛航空株式会社","4036571474046","","","","","","","791-8042","愛媛県松山市南吉田町2731 松山空港内","","","","","","","","","","","","","","","1500001000682","","","",""
"株式会社ＦＭＧ","1509030991892","","","","","","","286-0023","千葉県成田市成田 国際空港第一旅客ターミナル中央ビル","","","","","","","","","","","","","","","4040001044732","","","",""
"株式会社エーブイエス","8645788570285","","","","","","","812-0022","福岡県福岡市博多区神屋町1-9 宝州博多第一ビル6階","","","","","","","","","","","","","","","1290001062183","","","",""
