"会社名","SOC","あなたの名刺所有枚数","全体の名刺所有枚数","最終名刺交換日","コンタクト登録数","最終コンタクト日","URL","郵便番号","住所","電話番号","代表者の役職名","代表者の氏名","主業：大分類","主業：中分類","従業：大分類","従業：中分類","従業員数","資本金（千円）","売上高（百万円）","決算年月","創業年月","設立年月","株式公開区分","法人番号","会社キーワード","企業動向","導入ITサービス","会社メモ"
"株式会社アイアイテー","6518507485027","","","","","","","061-3241","北海道石狩市新港西三丁目700-2","","","","","","","","","","","","","","","4430001023903","","","",""
"株式会社アイ・アイ・トランス","4014504448386","","","","","","","231-0023","神奈川県横浜市中区山下町25","","","","","","","","","","","","","","","7020001032100","","","",""
"ＩＲｉｎｎｏｖａｔｉｏｎ株式会社","9848431109958","","","","","","","224-0042","神奈川県横浜市都筑区大熊町1-1 ラプルミエール1-A","","","","","","","","","","","","","","","1020001143919","","","",""
"ＩＲＣ株式会社","8016000937414","","","","","","","340-0822","埼玉県八潮市大字大瀬304-1","","","","","","","","","","","","","","","6030001040771","","","",""
"ＩＲＣ株式会社","8539560164306","","","","","","","501-6227","岐阜県羽島市正木町曲利1026","","","","","","","","","","","","","","","3200001011816","","","",""
"アイアールジーロジスティクス株式会社","9260359384932","","","","","","","372-0006","群馬県伊勢崎市太田町1136-9","","","","","","","","","","","","","","","5070001015366","","","",""
"株式会社アイアン車体","9794617887186","","","","","","","028-0501","岩手県遠野市青笹町糠前五地割35-1","","","","","","","","","","","","","","","5400001007271","","","",""
"株式会社愛雲","3727205374383","","","","","","","799-2651","愛媛県松山市堀江町甲339-2","","","","","","","","","","","","","","","1500001023312","","","",""
"株式会社アイエイト","5895443640242","","","","","","","475-0927","愛知県半田市北二ツ坂町三丁目7-22","","","","","","","","","","","","","","","1180001093859","","","",""
"有限会社アイ・エス環境","2683200312662","","","","","","","593-8314","大阪府堺市西区太平寺435-1","","","","","","","","","","","","","","","9120102012906","","","",""
"有限会社アイエスケー","6754982582709","","","","","","","130-0005","東京都墨田区東駒形一丁目17-2","","","","","","","","","","","","","","","4010602032056","","","",""
"有限会社アイエス梱包","5960939489030","","","","","","","434-0042","静岡県浜松市浜名区小松3261","","","","","","","","","","","","","","","1080402014721","","","",""
"アイエスサービス株式会社","2468503328050","","","","","","","250-0208","神奈川県小田原市下大井716","","","","","","","","","","","","","","","4021001035194","","","",""
"有限会社Ｉ．Ｓ自動車サービス","6445689795920","","","","","","","196-0003","東京都昭島市松原町一丁目24-2 108号","","","","","","","","","","","","","","","1012802007534","","","",""
"株式会社アイ・エス・ジャパン","1897978068354","","","","","","","105-0013","東京都港区浜松町二丁目2-14 KIビル","","","","","","","","","","","","","","","6010401085303","","","",""
"Ｉ・Ｓソリューション株式会社","5812917472747","","","","","","","811-2321","福岡県糟屋郡粕屋町内橋西四丁目2-10","","","","","","","","","","","","","","","5290001069035","","","",""
"有限会社アイエスピー","8843902406231","","","","","","","352-0012","埼玉県新座市畑中一丁目8-27","","","","","","","","","","","","","","","1030002060534","","","",""
"株式会社アイ・エス物流","6932847628467","","","","","","","143-0024","東京都大田区中央四丁目9-10 301号","","","","","","","","","","","","","","","8020001042940","","","",""
"株式会社アイ・エス・プランニング","6301065464036","","","","","","","004-0842","北海道札幌市清田区清田二条一丁目153-422","","","","","","","","","","","","","","","6430001000033","","","",""
"株式会社アイエスリンク","2304233674616","","","","","","","486-0923","愛知県春日井市下条町一丁目2-28","","","","","","","","","","","","","","","5200001009040","","","",""
"アイ・エッチ・グローバルネットワーク株式会社","3461582684278","","","","","","","171-0014","東京都豊島区池袋二丁目37-2 KDビル2-7階","","","","","","","","","","","","","","","9010001035192","","","",""
"株式会社アイ・エヌ・ジーコミュニケーションズ","8088381866875","","","","","","","323-0022","栃木県小山市駅東通り二丁目37-3 三共小山ビル3F","","","","","","","","","","","","","","","8060001014853","","","",""
"アイ．エヌ．ジー．ジヤパン株式会社","8799025218036","","","","","","","231-0007","神奈川県横浜市中区弁天通六丁目79 港和ビル","","","","","","","","","","","","","","","8020001025045","","","",""
"有限会社Ｉ・Ｎ・Ｔ","3679961378261","","","","","","","384-0808","長野県小諸市大字御影新田2247-10","","","","","","","","","","","","","","","4100002012260","","","",""
"株式会社アイエフ物流サービス","8993969507050","","","","","","","344-0013","埼玉県春日部市銚子口623-1","","","","","","","","","","","","","","","2030001017724","","","",""
"株式会社ＩＭＳ","5115456248149","","","","","","","455-0032","愛知県名古屋市港区入船二丁目4-6","","","","","","","","","","","","","","","7180001091592","","","",""
"アイエムエス株式会社","6185283128341","","","","","","","591-8021","大阪府堺市北区新金岡町五丁3-125","","","","","","","","","","","","","","","6120101000022","","","",""
"株式会社アイエムサービス","6230029376506","","","","","","","210-0834","神奈川県川崎市川崎区大島四丁目16-8-2","","","","","","","","","","","","","","","7020001081403","","","",""
"ＩＭＣ　ＪＡＰＡＮ株式会社","5973924990431","","","","","","","105-0004","東京都港区新橋五丁目5-1","","","","","","","","","","","","","","","8010401074683","","","",""
"株式会社アイエムトランスポート","8741206070535","","","","","","","252-0328","神奈川県相模原市南区麻溝台1453-1","","","","","","","","","","","","","","","2021001017161","","","",""
"アイ・エル・ジェイ株式会社","9202032553714","","","","","","","143-0001","東京都大田区東海四丁目7-13","","","","","","","","","","","","","","","1010801000114","","","",""
"有限会社アイオイ","8549703819479","","","","","","","376-0011","群馬県桐生市相生町四丁目82","","","","","","","","","","","","","","","4070002022395","","","",""
"相生運送有限会社","5538182397130","","","","","","","434-0022","静岡県浜松市浜名区新堀142-2","","","","","","","","","","","","","","","1080402014713","","","",""
"有限会社アイ・オート","8409386219937","","","","","","","488-0833","愛知県尾張旭市東印場町二反田355-1","","","","","","","","","","","","","","","3180002073692","","","",""
"有限会社アイオンサービス","5399898317578","","","","","","","110-0015","東京都台東区東上野六丁目14-6","","","","","","","","","","","","","","","2010502000718","","","",""
"有限会社アイケー","5998015445507","","","","","","","278-0051","千葉県野田市七光台131-2","","","","","","","","","","","","","","","2040002096568","","","",""
"有限会社アイケー","1443988319131","","","","","","","955-0036","新潟県三条市篭場10-21","","","","","","","","","","","","","","","1110002016783","","","",""
"有限会社アイケーイーオート","8845495089848","","","","","","","267-0066","千葉県千葉市緑区あすみが丘八丁目29-15","","","","","","","","","","","","","","","6040002000055","","","",""
"有限会社アイケイコーポレーション","6467215531038","","","","","","","570-0061","大阪府守口市小春町3-14 つだビル3F","","","","","","","","","","","","","","","2120002081529","","","",""
"株式会社アイ・ケーエンタープライズ","1977496707132","","","","","","","241-0814","神奈川県横浜市旭区中沢三丁目17-23","","","","","","","","","","","","","","","4020001033951","","","",""
"株式会社アイケーサービス","6657065889723","","","","","","","277-0831","千葉県柏市根戸200","","","","","","","","","","","","","","","7040001066856","","","",""
