"会社名","SOC","あなたの名刺所有枚数","全体の名刺所有枚数","最終名刺交換日","コンタクト登録数","最終コンタクト日","URL","郵便番号","住所","電話番号","代表者の役職名","代表者の氏名","主業：大分類","主業：中分類","従業：大分類","従業：中分類","従業員数","資本金（千円）","売上高（百万円）","決算年月","創業年月","設立年月","株式公開区分","法人番号","会社キーワード","企業動向","導入ITサービス","会社メモ"
"株式会社０－ＬＩＮＥ松阪","5268572802072","","","","","","","515-2112","三重県松阪市曽原町1927-20","","","","","","","","","","","","","","","1190001024111","","","",""
"株式会社３７ＥＸＰＲＥＳＳ","9368145492611","","","","","","","213-0023","神奈川県川崎市高津区子母口879-8","","","","","","","","","","","","","","","8020001119771","","","",""
"有限会社４０７ｍｏｂｉｌｅ","9464910718176","","","","","","","252-0335","神奈川県相模原市南区下溝321-2","","","","","","","","","","","","","","","5021002033873","","","",""
"有限会社ＳＢＳ","7254697346027","","","","","","","157-0076","東京都世田谷区岡本三丁目19-10 402","","","","","","","","","","","","","","","8010902004494","","","",""
"アイ株式会社","5194953724835","","","","","","","232-0066","神奈川県横浜市南区六ツ川一丁目340-1","","","","","","","","","","","","","","","3020001049825","","","",""
"株式会社愛","4636760357753","","","","","","","214-0005","神奈川県川崎市多摩区寺尾台一丁目24-3","","","","","","","","","","","","","","","2020001087280","","","",""
"有限会社あいあい","6859412153004","","","","","","","667-0131","兵庫県養父市上野1681-2","","","","","","","","","","","","","","","1140002039303","","","",""
"株式会社あいあいトータルサポート","5288781285753","","","","","","","661-0973","兵庫県尼崎市善法寺町1-1","","","","","","","","","","","","","","","1140001055020","","","",""
"アイアイ引越センター株式会社","5319083976577","","","","","","","079-8411","北海道旭川市永山一条一丁目1-60 北海小型運輸株式会社2階","","","","","","","","","","","","","","","7450001005847","","","",""
"有限会社アイアールイー","4762785649623","","","","","","","310-0824","茨城県水戸市西大野238-1","","","","","","","","","","","","","","","7050002006166","","","",""
"有限会社Ｉ・Ｒ・Ａ","4674009858488","","","","","","","123-0841","東京都足立区西新井四丁目38-26","","","","","","","","","","","","","","","1011802026635","","","",""
"株式会社ＩＲＳエキスプレス","9254693145037","","","","","","","315-0002","茨城県石岡市柏原6-3","","","","","","","","","","","","","","","3050001041936","","","",""
"アイアールサービス株式会社","1191024959152","","","","","","","104-0033","東京都中央区新川二丁目7-7","","","","","","","","","","","","","","","9010601040848","","","",""
"アイアールシー株式会社","2368979169225","","","","","","","554-0012","大阪府大阪市此花区西九条一丁目1-3","","","","","","","","","","","","","","","3120001026665","","","",""
"ＩＲＣ株式会社","8539560164306","","","","","","","501-6227","岐阜県羽島市正木町曲利1026","","","","","","","","","","","","","","","3200001011816","","","",""
"アイアールジーロジスティクス株式会社","9260359384932","","","","","","","372-0006","群馬県伊勢崎市太田町1136-9","","","","","","","","","","","","","","","5070001015366","","","",""
"株式会社アイアールティー","7532852461035","","","","","","","284-0044","千葉県四街道市和良比269-29","","","","","","","","","","","","","","","8040001049125","","","",""
"株式会社アイアンドアイ","7674342110189","","","","","","","260-0832","千葉県千葉市中央区寒川町二丁目203-2","","","","","","","","","","","","","","","5040001076907","","","",""
"株式会社アイアンドアイトランスポート","7742384781695","","","","","","","262-0005","千葉県千葉市花見川区こてはし台二丁目22-1","","","","","","","","","","","","","","","9040001012131","","","",""
"有限会社アイアンドケイコーポレーション","1926703671872","","","","","","","279-0043","千葉県浦安市富士見三丁目1-26","","","","","","","","","","","","","","","5040002020013","","","",""
"株式会社ＩＥＥ","8567617778689","","","","","","","133-0057","東京都江戸川区西小岩一丁目4-12","","","","","","","","","","","","","","","7011701013101","","","",""
"株式会社相内運輸","8699271850433","","","","","","","059-0025","北海道登別市大和町二丁目15-1","","","","","","","","","","","","","","","3430001057217","","","",""
"有限会社愛運","7521506275663","","","","","","","496-8037","愛知県愛西市二子町新田259","","","","","","","","","","","","","","","1180002023261","","","",""
"アイ運送株式会社","3339857648909","","","","","","","263-0041","千葉県千葉市稲毛区黒砂台三丁目2-59","","","","","","","","","","","","","","","6040001000072","","","",""
"有限会社あい運送","9118441517892","","","","","","","569-0832","大阪府高槻市唐崎中三丁目10-1","","","","","","","","","","","","","","","5120902009386","","","",""
"愛運輸株式会社","3550120438636","","","","","","","675-0019","兵庫県加古川市野口町水足1519-1","","","","","","","","","","","","","","","3140001042413","","","",""
"株式会社アイ・エイチサービス","4978705800893","","","","","","","441-8086","愛知県豊橋市問屋町15-6","","","","","","","","","","","","","","","6180301008090","","","",""
"アイエイチロジスティクスサービス株式会社","6214301363417","","","","","","","663-8202","兵庫県西宮市高畑町4-27","","","","","","","","","","","","","","","6140001074610","","","",""
"株式会社アイエス","8102591236687","","","","","","","063-0835","北海道札幌市西区発寒十五条一丁目16-11","","","","","","","","","","","","","","","7430001063855","","","",""
"株式会社アイエス","7412586329158","","","","","","","913-0016","福井県坂井市三国町三国東三丁目1-2","","","","","","","","","","","","","","","8210001007445","","","",""
"アイ・エス・アイ株式会社","1982088181772","","","","","","","421-1121","静岡県藤枝市岡部町岡部1591","","","","","","","","","","","","","","","2080001017224","","","",""
"株式会社Ｉ・Ｓ運送","5907709018315","","","","","","","811-0214","福岡県福岡市東区和白東一丁目17-25","","","","","","","","","","","","","","","6290001074785","","","",""
"アイ・エス運輸有限会社","3394224927734","","","","","","","121-0836","東京都足立区入谷三丁目13-14 503号","","","","","","","","","","","","","","","5030002098538","","","",""
