"会社名","SOC","あなたの名刺所有枚数","全体の名刺所有枚数","最終名刺交換日","コンタクト登録数","最終コンタクト日","URL","郵便番号","住所","電話番号","代表者の役職名","代表者の氏名","主業：大分類","主業：中分類","従業：大分類","従業：中分類","従業員数","資本金（千円）","売上高（百万円）","決算年月","創業年月","設立年月","株式公開区分","法人番号","会社キーワード","企業動向","導入ITサービス","会社メモ"
"アイエムエキスプレス株式会社","5865399758652","","","","","","","135-0064","東京都江東区青海四丁目6-21 三井倉庫株式会社関東支社東京港事務所内","","","","","","","","","","","","","","","8010601023663","","","",""
"有限会社アイズ物流","5893612956273","","","","","","","665-0812","兵庫県宝塚市口谷東三丁目67-34","","","","","","","","","","","","","","","2140002068532","","","",""
"有限会社愛和運送店","2206926985700","","","","","","","591-8032","大阪府堺市北区百舌鳥梅町三丁56-8","","","","","","","","","","","","","","","4120102011078","","","",""
"青森綜合警備保障株式会社","3234636784198","","","","","","","030-0113","青森県青森市第二問屋町三丁目1-63","","","","","","","","","","","","","","","7420001000173","","","",""
"青森定期自動車株式会社","2960384108728","","","","","","","030-0111","青森県青森市大字荒川成瀬14-6","","","","","","","","","","","","","","","4420001000201","","","",""
"株式会社赤田運輸産業","3040213026449","","","","","","","714-0045","岡山県笠岡市港町1-14","","","","","","","","","","","","","","","7260001017614","","","",""
"赤帽愛媛県軽自動車運送協同組合","7256766311221","","","","","","","791-8036","愛媛県松山市高岡町391","","","","","","","","","","","","","","","3500005000966","","","",""
"赤帽鹿児島県軽自動車運送協同組合","8214180809036","","","","","","","890-0034","鹿児島県鹿児島市田上一丁目8-2","","","","","","","","","","","","","","","6340005000690","","","",""
"赤帽島根県軽自動車運送協同組合","4782777256719","","","","","","","693-0053","島根県出雲市高松町1331-1","","","","","","","","","","","","","","","3280005002762","","","",""
"赤帽長崎県軽自動車運送協同組合","6101538295237","","","","","","","850-0078","長崎県長崎市神ノ島町三丁目526-63","","","","","","","","","","","","","","","1310005001481","","","",""
"赤帽長野県軽自動車運送協同組合","7800509611045","","","","","","","381-0025","長野県長野市大字北長池1844-6","","","","","","","","","","","","","","","9100005001438","","","",""
"赤帽新潟県軽自動車運送協同組合","3108120828049","","","","","","","950-0922","新潟県新潟市中央区山二ツ五丁目17-5","","","","","","","","","","","","","","","7110005000234","","","",""
"赤帽福岡県軽自動車運送協同組合","2662551722417","","","","","","","818-0103","福岡県太宰府市朱雀五丁目4-27","","","","","","","","","","","","","","","4290005002133","","","",""
"赤帽宮崎県軽自動車運送協同組合","3667240877888","","","","","","","880-0826","宮崎県宮崎市波島一丁目731-2","","","","","","","","","","","","","","","4350005000196","","","",""
"株式会社秋田県赤帽","5976216715148","","","","","","","011-0901","秋田県秋田市寺内三千刈24-4","","","","","","","","","","","","","","","9410001000206","","","",""
"アラコム株式会社","9098389972234","","","","","","","105-0003","東京都港区西新橋一丁目6-15 NS虎ノ門ビル8階","","","","","","","","","","","","","","","4010401057205","","","",""
"ＡＬＳＯＫ秋田株式会社","1453866613148","","","","","","","010-0061","秋田県秋田市卸町四丁目9-2","","","","","","","","","","","","","","","2410001004411","","","",""
"ＡＬＳＯＫ岩手株式会社","9365368590431","","","","","","","020-0836","岩手県盛岡市津志田西一丁目24-15","","","","","","","","","","","","","","","9400001004901","","","",""
"ＡＬＳＯＫ群馬株式会社","7954503564302","","","","","","","371-0854","群馬県前橋市大渡町二丁目1-5","","","","","","","","","","","","","","","9070001000918","","","",""
"ＡＬＳＯＫ山陰株式会社","8143392096180","","","","","","","690-0003","島根県松江市朝日町477-17 松江SUNビル","","","","","","","","","","","","","","","8280001002308","","","",""
"ＡＬＳＯＫ長崎株式会社","7660160002839","","","","","","","852-8003","長崎県長崎市旭町3-6","","","","","","","","","","","","","","","6310001001340","","","",""
"ＡＬＳＯＫ福島株式会社","6892886066789","","","","","","","963-0551","福島県郡山市喜久田町松ケ作16-98","","","","","","","","","","","","","","","7380001006472","","","",""
"ＡＬＳＯＫ北海道株式会社","3168672793255","","","","","","","060-0807","北海道札幌市北区北七条西四丁目3-1","","","","","","","","","","","","","","","1430001021959","","","",""
"ＡＬＳＯＫ山形株式会社","5460872729280","","","","","","","990-2473","山形県山形市松栄一丁目5-30","","","","","","","","","","","","","","","1390001005677","","","",""
"有限会社イエローランナー","7922052354798","","","","","","","852-8125","長崎県長崎市小峰町1-4","","","","","","","","","","","","","","","3310002000328","","","",""
"株式会社板橋運送","6000133836735","","","","","","","105-0013","東京都港区浜松町一丁目18-7","","","","","","","","","","","","","","","1010401057109","","","",""
"株式会社井手運送","1191945598943","","","","","","","857-1152","長崎県佐世保市黒髪町6649","","","","","","","","","","","","","","","1310001011724","","","",""
"有限会社岩切運送","4964264544888","","","","","","","899-7301","鹿児島県曽於郡大崎町菱田1725-2","","","","","","","","","","","","","","","2340002027591","","","",""
"株式会社岩瀬興輸","9680227346897","","","","","","","470-0463","愛知県豊田市石飛町間ノ山213-8","","","","","","","","","","","","","","","8180301019838","","","",""
