"会社名","SOC","あなたの名刺所有枚数","全体の名刺所有枚数","最終名刺交換日","コンタクト登録数","最終コンタクト日","URL","郵便番号","住所","電話番号","代表者の役職名","代表者の氏名","主業：大分類","主業：中分類","従業：大分類","従業：中分類","従業員数","資本金（千円）","売上高（百万円）","決算年月","創業年月","設立年月","株式公開区分","法人番号","会社キーワード","企業動向","導入ITサービス","会社メモ"
"ＩＲいしかわ鉄道株式会社","8856663756977","","","","","","","920-0000","石川県金沢市高柳町九1-1","","","","","","","","","","","","","","","7220001018698","","","",""
"アイジーアールいわて銀河鉄道株式会社","3616127805541","","","","","","","020-0133","岩手県盛岡市青山二丁目2-8","","","","","","","","","","","","","","","3400001002068","","","",""
"愛知環状鉄道株式会社","3039443668287","","","","","","","444-0951","愛知県岡崎市北野町二番訳68","","","","","","","","","","","","","","","7180301000063","","","",""
"愛知高速交通株式会社","1393944138424","","","","","","","480-1342","愛知県長久手市茨ケ廻間1533-736","","","","","","","","","","","","","","","9180001068028","","","",""
"会津観光開発株式会社","6756471063789","","","","","","","965-0007","福島県会津若松市飯盛一丁目5-1","","","","","","","","","","","","","","","9380001017113","","","",""
"会津鉄道株式会社","6591727398376","","","","","","","965-0853","福島県会津若松市材木町一丁目3-20","","","","","","","","","","","","","","","3380001017143","","","",""
"あいの風とやま鉄道株式会社","7266672237535","","","","","","","930-0001","富山県富山市明輪町1-50","","","","","","","","","","","","","","","2230001014486","","","",""
"青い森鉄道株式会社","9702234727805","","","","","","","038-0011","青森県青森市篠田一丁目6-2","","","","","","","","","","","","","","","1420001005401","","","",""
"一般財団法人青森市文化観光振興財団","1401830716140","","","","","","","030-0812","青森県青森市堤町一丁目4-1","","","","","","","","","","","","","","","6420005000617","","","",""
"株式会社赤川索道","9747958273044","","","","","","","329-3152","栃木県那須塩原市島方658","","","","","","","","","","","","","","","2060001011294","","","",""
"秋田内陸縦貫鉄道株式会社","2427026848283","","","","","","","018-4613","秋田県北秋田市阿仁銀山下新町41-1","","","","","","","","","","","","","","","1410001006326","","","",""
"明知鉄道株式会社","9719580339655","","","","","","","509-7731","岐阜県恵那市明智町469-4","","","","","","","","","","","","","","","6200001024022","","","",""
"阿佐海岸鉄道株式会社","7294068540103","","","","","","","775-0501","徳島県海部郡海陽町宍喰浦正梶22-1","","","","","","","","","","","","","","","4480001006911","","","",""
"株式会社アタミ・ロープウエイ","3640672172537","","","","","","","413-0023","静岡県熱海市和田浜南町8-15","","","","","","","","","","","","","","","3080101012561","","","",""
"有限会社アップリフトリーダーシップセンター","3931684769398","","","","","","","906-0503","沖縄県宮古島市伊良部伊良部116","","","","","","","","","","","","","","","5360002012671","","","",""
"阿武隈急行株式会社","5689754041000","","","","","","","960-0773","福島県伊達市梁川町五反田100-1","","","","","","","","","","","","","","","8380001003238","","","",""
"甘木鉄道株式会社","3941364035661","","","","","","","838-0068","福岡県朝倉市甘木1320","","","","","","","","","","","","","","","5290001043923","","","",""
"天橋立総合事業株式会社","3788838200755","","","","","","","626-0001","京都府宮津市字文珠437","","","","","","","","","","","","","","","4130001040458","","","",""
"株式会社あららぎ","5439420015901","","","","","","","465-0032","愛知県名古屋市名東区藤が丘143","","","","","","","","","","","","","","","5180001001586","","","",""
"Ｒ＆Ｍリゾート株式会社","3950648387412","","","","","","","410-3208","静岡県伊豆市吉奈91-1","","","","","","","","","","","","","","","7110001020384","","","",""
"アルピナＢＩ株式会社","8412175821171","","","","","","","520-0514","滋賀県大津市木戸1547-1","","","","","","","","","","","","","","","5160001019077","","","",""
"飯綱東高原観光開発株式会社","3224680624235","","","","","","","150-0031","東京都渋谷区桜丘町1-2 渋谷サクラステージセントラルビル11階","","","","","","","","","","","","","","","4100003000578","","","",""
"医王アローザ株式会社","7197982690250","","","","","","","939-1681","富山県南砺市才川七スゝケ原115","","","","","","","","","","","","","","","4230001008692","","","",""
"伊賀鉄道株式会社","8444451644392","","","","","","","518-0873","三重県伊賀市上野丸之内61-2","","","","","","","","","","","","","","","5190001009216","","","",""
"池観光開発株式会社","5567881808196","","","","","","","413-0234","静岡県伊東市池672-2","","","","","","","","","","","","","","","5080101013327","","","",""
"石鎚登山ロープウェイ株式会社","5483332490745","","","","","","","793-0000","愛媛県西条市西之川下谷甲81","","","","","","","","","","","","","","","1500001008874","","","",""
"いすみ鉄道株式会社","4257575029740","","","","","","","298-0216","千葉県夷隅郡大多喜町大多喜264","","","","","","","","","","","","","","","5040001075140","","","",""
"伊豆急行株式会社","7745456622777","","","","","","","413-0232","静岡県伊東市八幡野1151","","","","","","","","","","","","","","","8080101013935","","","",""
"伊豆箱根鉄道株式会社","1403752161789","","","","","","","411-0803","静岡県三島市大場300","","","","","","","","","","","","","","","9080101005353","","","",""
"泉ヶ岳総合観光開発株式会社","1929120184749","","","","","","","981-3225","宮城県仙台市泉区福岡岳山9-4","","","","","","","","","","","","","","","5370001007052","","","",""
"伊勢鉄道株式会社","7252574783853","","","","","","","513-0817","三重県鈴鹿市桜島町一丁目20","","","","","","","","","","","","","","","4190001004820","","","",""
"一畑電車株式会社","3841127271203","","","","","","","691-0001","島根県出雲市平田町2226","","","","","","","","","","","","","","","5280001003754","","","",""
"株式会社伊那リゾート","3523823267579","","","","","","","399-4431","長野県伊那市西春近3390","","","","","","","","","","","","","","","5100001024272","","","",""
"一般財団法人猪苗代町振興公社","3070940266573","","","","","","","969-3283","福島県耶麻郡猪苗代町大字長田東中丸344-4","","","","","","","","","","","","","","","5380005007849","","","",""
"井原鉄道株式会社","1941323922513","","","","","","","715-0003","岡山県井原市東江原町695-1","","","","","","","","","","","","","","","4260001018169","","","",""
"伊予鉄道株式会社","7524405491630","","","","","","","790-0012","愛媛県松山市湊町四丁目4-1","","","","","","","","","","","","","","","7500001020510","","","",""
"株式会社岩木スカイライン","5903746815660","","","","","","","036-1345","青森県弘前市大字常盤野黒森56-2","","","","","","","","","","","","","","","3420001009615","","","",""
"株式会社岩﨑軌道","4350479490339","","","","","","","649-1221","和歌山県日高郡日高町大字志賀3434","","","","","","","","","","","","","","","7170001010231","","","",""
"株式会社岩岳リゾート","2158949290429","","","","","","","399-9301","長野県北安曇郡白馬村大字北城6329-1","","","","","","","","","","","","","","","9100001017140","","","",""
"岩手開発鉄道株式会社","5612394021266","","","","","","","022-0003","岩手県大船渡市盛町東町10-3","","","","","","","","","","","","","","","2402701000021","","","",""
"ＷＩＬＬＥＲ　ＴＲＡＩＮＳ株式会社","7367526060718","","","","","","","626-0041","京都府宮津市字鶴賀2065-4","","","","","","","","","","","","","","","1120001185166","","","",""
"宇治第一交通株式会社","7317542023658","","","","","","","611-0041","京都府宇治市槇島町大川原30-1","","","","","","","","","","","","","","","8130001032336","","","",""
"株式会社宇治吉田運送","2567788329912","","","","","","","611-0002","京都府宇治市木幡東中34-7","","","","","","","","","","","","","","","9130001032376","","","",""
"株式会社裏磐梯高原ホテル","1063472395641","","","","","","","969-2701","福島県耶麻郡北塩原村大字桧原湯平山1171","","","","","","","","","","","","","","","8380001018590","","","",""
"叡山電鉄株式会社","6938542054740","","","","","","","606-8007","京都府京都市左京区山端壱町田町8-80","","","","","","","","","","","","","","","4130001005989","","","",""
"株式会社Ｓ＆Ｔ観光開発","8490087969315","","","","","","","381-0401","長野県下高井郡山ノ内町大字平穏7148","","","","","","","","","","","","","","","5100001031351","","","",""
"えちぜん鉄道株式会社","2052161498330","","","","","","","918-0000","福井県福井市松本上町15-3-1","","","","","","","","","","","","","","","4210001004850","","","",""
"有限会社江藤索道","9568528016661","","","","","","","877-0063","大分県日田市串川町2-2438-1","","","","","","","","","","","","","","","7320002018893","","","",""
"江ノ島電鉄株式会社","1775687243649","","","","","","","251-0035","神奈川県藤沢市片瀬海岸一丁目4-7","","","","","","","","","","","","","","","7021001000294","","","",""
"株式会社Ｍ・Ｋリフト","8600424854670","","","","","","","007-0836","北海道札幌市東区北三十六条東二十七丁目2-1 603号","","","","","","","","","","","","","","","3430001070806","","","",""
"近江鉄道株式会社","5931368394313","","","","","","","522-0010","滋賀県彦根市駅東町15-1","","","","","","","","","","","","","","","1160001008109","","","",""
"大井川鐵道株式会社","7685090363392","","","","","","","428-0013","静岡県島田市金谷東二丁目1112-2","","","","","","","","","","","","","","","1080001013422","","","",""
"大分高速鉄道保有株式会社","5920759170035","","","","","","","870-0022","大分県大分市大手町三丁目1-1","","","","","","","","","","","","","","","6320001003138","","","",""
"株式会社大阪港トランスポートシステム","1950164122264","","","","","","","559-0031","大阪府大阪市住之江区南港東四丁目10-108","","","","","","","","","","","","","","","3120001031962","","","",""
"大阪市高速電気軌道株式会社","4864864516889","","","","","","","550-0025","大阪府大阪市西区九条南一丁目12-62","","","","","","","","","","","","","","","6120001206256","","","",""
"大阪外環状鉄道株式会社","1794192814233","","","","","","","541-0042","大阪府大阪市中央区今橋二丁目3-21","","","","","","","","","","","","","","","2120001072553","","","",""
"大阪モノレール株式会社","5795461856250","","","","","","","565-0826","大阪府吹田市千里万博公園1-8","","","","","","","","","","","","","","","1120901023210","","","",""
"大阪モノレールサービス株式会社","3939421790777","","","","","","","565-0826","大阪府吹田市千里万博公園1-8","","","","","","","","","","","","","","","2120901023085","","","",""
"大山観光開発株式会社","7530699123581","","","","","","","930-1454","富山県富山市原55","","","","","","","","","","","","","","","4230001005228","","","",""
"大町温泉観光株式会社","1615631228250","","","","","","","398-0001","長野県大町市平4819","","","","","","","","","","","","","","","5100001033331","","","",""
"大山観光電鉄株式会社","5138137240794","","","","","","","259-1107","神奈川県伊勢原市大山667","","","","","","","","","","","","","","","4021001020989","","","",""
"岡山電気軌道株式会社","8175662127106","","","","","","","703-8291","岡山県岡山市中区徳吉町二丁目8-22","","","","","","","","","","","","","","","6260001001189","","","",""
"沖縄都市モノレール株式会社","6728602131451","","","","","","","901-0143","沖縄県那覇市字安次嶺377-2","","","","","","","","","","","","","","","4360001000447","","","",""
"奥伊吹森林レク株式会社","8109620241828","","","","","","","521-0301","滋賀県米原市甲津原530","","","","","","","","","","","","","","","7160001006486","","","",""
"奥木曽グリーンリゾート株式会社","6740796504486","","","","","","","399-6202","長野県木曽郡木祖村大字菅2857-16","","","","","","","","","","","","","","","3100001017897","","","",""
"株式会社奥志賀高原リゾート","1164854912434","","","","","","","381-0405","長野県下高井郡山ノ内町大字夜間瀬大沢12377-17","","","","","","","","","","","","","","","4100001012402","","","",""
"奥飛観光開発株式会社","1825656477346","","","","","","","506-0053","岐阜県高山市昭和町一丁目165-1","","","","","","","","","","","","","","","6200001024740","","","",""
"小田急電鉄株式会社","9391273092215","","","","","","","160-0023","東京都新宿区西新宿二丁目7-1 新宿第一生命ビルディング","","","","","","","","","","","","","","","1011001005060","","","",""
"株式会社小田急箱根","7836067296815","","","","","","","250-0003","神奈川県小田原市東町五丁目33-1","","","","","","","","","","","","","","","8021001033616","","","",""
"有限会社オバラ通信工業","6361523379104","","","","","","","326-0022","栃木県足利市常見町二丁目7-12","","","","","","","","","","","","","","","2060002035730","","","",""
"株式会社鹿島槍","4368178795560","","","","","","","398-0001","長野県大町市平20490-4","","","","","","","","","","","","","","","6100001023802","","","",""
"鹿島臨海鉄道株式会社","7831360472614","","","","","","","311-1307","茨城県東茨城郡大洗町桜道301","","","","","","","","","","","","","","","7050001007198","","","",""
"株式会社加藤工業","2413651425813","","","","","","","292-0022","千葉県木更津市上望陀375","","","","","","","","","","","","","","","3040001052769","","","",""
"神奈川臨海鉄道株式会社","7312398593745","","","","","","","210-0007","神奈川県川崎市川崎区駅前本町11-2","","","","","","","","","","","","","","","1020001072440","","","",""
"上飯田連絡線株式会社","3068353253736","","","","","","","460-0002","愛知県名古屋市中区丸の内三丁目19-30","","","","","","","","","","","","","","","8180001035268","","","",""
"川場リゾート株式会社","1026417219922","","","","","","","378-0101","群馬県利根郡川場村大字谷地2755-2","","","","","","","","","","","","","","","2070001023314","","","",""
"関東鉄道株式会社","3297452700083","","","","","","","300-0847","茨城県土浦市卸町一丁目1-1 関鉄つくばビル","","","","","","","","","","","","","","","8050001009061","","","",""
"岳南電車株式会社","3334238896608","","","","","","","417-0001","静岡県富士市今泉一丁目17-39","","","","","","","","","","","","","","","1080101016985","","","",""
"月山観光開発株式会社","2428833578768","","","","","","","990-0703","山形県西村山郡西川町大字間沢59","","","","","","","","","","","","","","","5390001012091","","","",""
"ガラナアーバンモビリティ株式会社","5694606842356","","","","","","","100-0004","東京都千代田区大手町一丁目2-1","","","","","","","","","","","","","","","5010001163757","","","",""
"株式会社ガーラ湯沢","9870644404831","","","","","","","949-6101","新潟県南魚沼郡湯沢町大字湯沢茅平1039-2","","","","","","","","","","","","","","","1110001026643","","","",""
"紀州鉄道株式会社","3202012306640","","","","","","","103-0015","東京都中央区日本橋箱崎町1-7","","","","","","","","","","","","","","","3010001014573","","","",""
"北大阪急行電鉄株式会社","3220259196212","","","","","","","561-0872","大阪府豊中市寺内二丁目4-1","","","","","","","","","","","","","","","5120901023396","","","",""
"北九州貨物鉄道施設保有株式会社","9751308762808","","","","","","","800-0057","福岡県北九州市門司区大里新町11-1","","","","","","","","","","","","","","","4290801005248","","","",""
"北九州高速鉄道株式会社","7687412572885","","","","","","","802-0981","福岡県北九州市小倉南区企救丘二丁目13-1","","","","","","","","","","","","","","","3290801000844","","","",""
"北近畿タンゴ鉄道株式会社","9802661638233","","","","","","","626-0047","京都府宮津市字外側2500-2","","","","","","","","","","","","","","","2130001042043","","","",""
"北志賀藤田観光株式会社","9636270330643","","","","","","","381-0405","長野県下高井郡山ノ内町大字夜間瀬11494","","","","","","","","","","","","","","","5100001012434","","","",""
"株式会社北志賀竜王","5206160035429","","","","","","","381-0405","長野県下高井郡山ノ内町大字夜間瀬11700","","","","","","","","","","","","","","","2100001012288","","","",""
"株式会社北八ヶ岳リゾート","5907533045885","","","","","","","391-0301","長野県茅野市北山4035","","","","","","","","","","","","","","","6100001019486","","","",""
"衣浦臨海鉄道株式会社","1777643911358","","","","","","","475-0831","愛知県半田市十一号地19-2","","","","","","","","","","","","","","","2180001091647","","","",""
"鬼怒高原開発株式会社","1365866266082","","","","","","","321-2522","栃木県日光市鬼怒川温泉大原1414","","","","","","","","","","","","","","","4060001008677","","","",""
"城崎観光株式会社","3681613516916","","","","","","","669-6101","兵庫県豊岡市城崎町湯島806-1","","","","","","","","","","","","","","","9140001056184","","","",""
"九州旅客鉄道株式会社","9727348547654","2","2","2025/07/14","0","","https://www.jrkyushu.co.jp/company/","812-0011","福岡県福岡市博多区博多駅前三丁目25-21","092-474-2501","代表取締役社長執行役員","古宮洋二","運輸、郵便","鉄道","不動産","不動産仲介","5,000 ～ 10,000","10,000,000 ～ 100,000,000","100,000 ～ 300,000","2025/03","","1987/04","公開","6290001012621","貨物鉄道,旅客鉄道,金融,駐車場,倉庫,旅客自動車運送,海上運送,広告,旅行,JR-K,JR九州,マンション販売,ビル管理・メンテナンス,マンション賃貸,テナント賃貸,オフィス（事務所）賃貸,ビートル","2026新卒募集企業,2027新卒インターン募集企業,2027新卒募集企業,2028新卒インターン募集企業,DX認定事業者,ISO認定取得企業,SDGs・ESG推進企業,WEB分析ツール利用,エンジニアを採用募集している企業,キャッシュレス決済導入企業,キャンペーン実施企業,中途採用企業,全省庁統一資格保有企業,地域貢献活動を推進している企業,売上1000億以上,売上300億円以上,売上50億円以上,展示会その他,展示会ニュース発表企業,展示会全体,従業員500人以上,新商品リリース企業,新規拠点・店舗立ち上げ企業,特許出願企業,省エネ法対象業者,表彰企業,補助金受領企業","Akamai,Apple Business Manager,Autobahn for AppExchange,Display & Video 360,Google Cloud CDN,Google Fonts,Google Play,Google Site Verification,Google アナリティクス,Google カスタム検索エンジン,Googleタグマネージャ,Google広告,Microsoft365,Rtoaster,Synergy!,Trend Micro Email Security,Yahoo! タグマネージャー,Yahoo! 広告,YouTube,eTransporter powered by AXLBOX,メディアギャラクシー",""
"有限会社協栄索道","3367383118214","","","","","","","405-0012","山梨県山梨市東後屋敷576-1","","","","","","","","","","","","","","","9090002011029","","","",""
"京都地下鉄整備株式会社","7034295322845","","","","","","","607-8013","京都府京都市山科区安朱中小路町15-4","","","","","","","","","","","","","","","6130001004188","","","",""
"株式会社共立ＯＭ","1866664244529","","","","","","","061-2286","北海道札幌市南区藤野六条九丁目3-1","","","","","","","","","","","","","","","9430001004766","","","",""
"近畿日本鉄道株式会社","8980019215239","","","","","","","543-0001","大阪府大阪市天王寺区上本町六丁目1-55","","","","","","","","","","","","","","","5120001183629","","","",""
"岐阜観光索道株式会社","9986634310998","","","","","","","500-8004","岐阜県岐阜市千畳敷下257","","","","","","","","","","","","","","","7200001001227","","","",""
"株式会社銀嶺観光","2957239500495","","","","","","","949-2141","新潟県妙高市大字関山 妙高山国有林第28林班","","","","","","","","","","","","","","","3110001020347","","","",""
"久手観光開発株式会社","9031724313171","","","","","","","506-2252","岐阜県高山市丹生川町久手446-1","","","","","","","","","","","","","","","6200001024807","","","",""
"くま川鉄道株式会社","4995680936136","","","","","","","868-0008","熊本県人吉市中青井町265","","","","","","","","","","","","","","","9330001015889","","","",""
"熊本電気鉄道株式会社","2840750346822","","","","","","","860-0862","熊本県熊本市中央区黒髪三丁目7-29","","","","","","","","","","","","","","","1330001001517","","","",""
"栗栖野観光株式会社","3175545937785","","","","","","","669-5372","兵庫県豊岡市日高町栗栖野739-1","","","","","","","","","","","","","","","8140001056251","","","",""
"株式会社クレイエンジニアリング","4614836695754","","","","","","","238-0011","神奈川県横須賀市米が浜通一丁目5-17 ライオンズマンションK. I横須賀中央201号室","","","","","","","","","","","","","","","7021001042881","","","",""
"黒部峡谷鉄道株式会社","3281516014314","","","","","","","938-0283","富山県黒部市黒部峡谷口11","","","","","","","","","","","","","","","7230001007642","","","",""
"群馬スノーアライアンス株式会社","9284041461189","","","","","","","379-1614","群馬県利根郡みなかみ町寺間479-139","","","","","","","","","","","","","","","2070001023495","","","",""
"京王電鉄株式会社","5381733019198","","","","","","","206-0011","東京都多摩市関戸一丁目9-1","","","","","","","","","","","","","","","3011101005999","","","",""
"京成電鉄株式会社","2654588222522","","","","","","","272-0021","千葉県市川市八幡三丁目3-1","","","","","","","","","","","","","","","7010601012155","","","",""
"京阪電気鉄道株式会社","1455390178066","","","","","","","573-0032","大阪府枚方市岡東町19-1 ステーションヒル枚方オフィスA7F受付","","","","","","","","","","","","","","","5120001189816","","","",""
"株式会社京阪ビジネスマネジメント","4744854985156","","","","","","","540-0008","大阪府大阪市中央区大手前一丁目7-31","","","","","","","","","","","","","","","8120001106859","","","",""
"京浜急行電鉄株式会社","3208856474007","","","","","","","220-0011","神奈川県横浜市西区高島一丁目2-8","","","","","","","","","","","","","","","7010401009277","","","",""
"京福電気鉄道株式会社","6353015368204","","","","","","","604-8811","京都府京都市中京区壬生賀陽御所町3-20","","","","","","","","","","","","","","","6130001020672","","","",""
"京葉臨海鉄道株式会社","9035412878642","","","","","","","260-0028","千葉県千葉市中央区新町18-14","","","","","","","","","","","","","","","2040001002188","","","",""
"弘南鉄道株式会社","7014420478871","","","","","","","036-0103","青森県平川市本町北柳田23-5","","","","","","","","","","","","","","","8420001010056","","","",""
"弘南バス株式会社","4985033441259","","","","","","","036-8326","青森県弘前市大字藤野二丁目3-6","","","","","","","","","","","","","","","2420001009054","","","",""
"江府町地域振興株式会社","8783748005648","","","","","","","689-4424","鳥取県日野郡江府町大字御机810-1","","","","","","","","","","","","","","","3270001003971","","","",""
"神戸新交通株式会社","9243002176478","","","","","","","650-0045","兵庫県神戸市中央区港島六丁目6-1","","","","","","","","","","","","","","","7140001011983","","","",""
"神戸電鉄株式会社","1918831648929","","","","","","","652-0811","兵庫県神戸市兵庫区新開地一丁目3-24","","","","","","","","","","","","","","","8140001015612","","","",""
"神戸リゾートサービス株式会社","4980036231752","","","","","","","650-0002","兵庫県神戸市中央区北野町一丁目4-3","","","","","","","","","","","","","","","7140001031957","","","",""
"神戸リフト工業有限会社","1066732614174","","","","","","","657-0862","兵庫県神戸市灘区浜田町二丁目3-11","","","","","","","","","","","","","","","9140002004051","","","",""
"神戸六甲鉄道株式会社","6538208833441","","","","","","","657-0101","兵庫県神戸市灘区六甲山町一ケ谷1-32 六甲山上駅2F","","","","","","","","","","","","","","","9140001004300","","","",""
"学校法人広陵学園","8915519900072","","","","","","","731-3164","広島県広島市安佐南区伴東三丁目14-1","","","","","","","","","","","","","","","3240005001520","","","",""
"小西軌道株式会社","1709100384909","","","","","","","583-0873","大阪府羽曳野市桃山台四丁目111-1 117","","","","","","","","","","","","","","","9120101035841","","","",""
"小湊鉄道株式会社","1106478884896","","","","","","","290-0054","千葉県市原市五井中央東一丁目1-2","","","","","","","","","","","","","","","8040001053928","","","",""
